dem_seats,probability
139,5e-05
157,5e-05
165,0.0002
166,0.0002
167,0.0001
169,0.0002
170,5e-05
171,0.0003
172,0.00015
173,0.00025
174,0.00025
175,0.00025
176,0.0003
177,0.0004
178,0.0006
179,0.0004
180,0.0005
181,0.0006
182,0.0006
183,0.0006
184,0.00095
185,0.00135
186,0.0021
187,0.00165
188,0.00195
189,0.00225
190,0.00185
191,0.0028
192,0.00305
193,0.00375
194,0.00385
195,0.0034
196,0.0052
197,0.0055
198,0.00595
199,0.0065
200,0.0071
201,0.0077
202,0.0085
203,0.0084
204,0.01185
205,0.0115
206,0.01275
207,0.013
208,0.01465
209,0.0148
210,0.0155
211,0.01715
212,0.01825
213,0.01825
214,0.0202
215,0.0185
216,0.0231
217,0.02185
218,0.02335
219,0.02055
220,0.02265
221,0.0219
222,0.0248
223,0.0252
224,0.0224
225,0.02325
226,0.0223
227,0.02235
228,0.02285
229,0.02105
230,0.022
231,0.02095
232,0.02015
233,0.01855
234,0.01895
235,0.0183
236,0.018
237,0.01965
238,0.0153
239,0.01535
240,0.0146
241,0.01455
242,0.01425
243,0.01285
244,0.01215
245,0.0114
246,0.00985
247,0.0092
248,0.0089
249,0.00865
250,0.0079
251,0.00745
252,0.0075
253,0.0063
254,0.0066
255,0.00535
256,0.00575
257,0.00425
258,0.00465
259,0.0043
260,0.0044
261,0.0036
262,0.0035
263,0.0028
264,0.0035
265,0.00205
266,0.0029
267,0.0018
268,0.0019
269,0.00185
270,0.0009
271,0.0012
272,0.00145
273,0.00125
274,0.00065
275,0.00085
276,0.0008
277,0.0007
278,0.00075
279,0.00045
280,0.0007
281,0.0005
282,0.00065
283,0.00045
284,0.00035
285,0.00035
286,0.00035
287,0.0004
288,5e-05
289,0.00015
290,0.0001
291,0.0001
292,0.00035
293,5e-05
297,5e-05
298,5e-05
299,0.0001
300,5e-05
303,5e-05
304,5e-05
306,5e-05
310,0.0001
319,5e-05
320,0.0001
