district_id,district_partisan_baseline_dem_before,district_environment_adjustment_dem_before,state_environment_adjustment_dem_before,incumbency_adjustment_dem_before,candidate_quality_adjustment_dem_before,special_adjustment_dem_before,poll_spillover_adjustment_dem_before,fundamentals_margin_dem_before,polling_margin_dem_before,poll_count_before,model_margin_dem_before,dem_win_probability_before,district_partisan_baseline_dem_after,district_environment_adjustment_dem_after,state_environment_adjustment_dem_after,incumbency_adjustment_dem_after,candidate_quality_adjustment_dem_after,special_adjustment_dem_after,poll_spillover_adjustment_dem_after,fundamentals_margin_dem_after,polling_margin_dem_after,poll_count_after,model_margin_dem_after,dem_win_probability_after,district_partisan_baseline_dem_change,district_environment_adjustment_dem_change,state_environment_adjustment_dem_change,incumbency_adjustment_dem_change,candidate_quality_adjustment_dem_change,special_adjustment_dem_change,poll_spillover_adjustment_dem_change,fundamentals_margin_dem_change,polling_margin_dem_change,poll_count_change,model_margin_dem_change,dem_win_probability_change
AL-1,-34.775999999999996,2.9700000000000006,0.0,0.0,0.0,0.0,0.0,-31.805999999999997,,0,-31.805999999999997,0.0049618619632461,-34.775999999999996,2.9700000000000006,0.0,0.0,0.0,0.0,0.0,-31.805999999999997,,0,-31.805999999999997,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.0049218619632461
AL-2,-15.956,3.51,0.0,0.0,0.0,0.0,0.0,-12.446,-2.0,1,-12.446,0.1116166286399108,-15.956,3.51,0.0,0.0,0.0,0.0,0.0,-12.446,-2.0,1,-11.87016425,0.07481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5758357499999995,-0.0368066286399108
AL-3,-44.466,2.9700000000000006,0.0,-1.5,0.0313125,0.0,0.0,-42.9646875,,0,-42.9646875,0.0007758453131027,-44.466,2.9700000000000006,0.0,-1.5,0.0313125,0.0,0.0,-42.9646875,,0,-42.9646875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.0007758453131027
AL-4,-66.876,2.9700000000000006,0.0,-1.5,0.0497596153846153,0.0,0.0,-65.35624038461539,,0,-65.35624038461539,1.85930012684702e-05,-66.876,2.9700000000000006,0.0,-1.5,0.0497596153846153,0.0,0.0,-65.35624038461539,,0,-65.35624038461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-1.85930012684702e-05
AL-5,-28.736,2.9700000000000006,0.0,0.0,-0.208125,0.0,0.0,-25.974124999999997,,0,-25.974124999999997,0.0130089828190962,-28.736,2.9700000000000006,0.0,0.0,-0.208125,0.0,0.0,-25.974124999999997,,0,-25.974124999999997,0.00082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.0121889828190962
AL-6,-35.18599999999999,2.9700000000000006,0.0,-1.5,-0.208125,0.0,0.0,-33.924125,,0,-33.924125,0.0034911708478558,-35.18599999999999,2.9700000000000006,0.0,-1.5,-0.208125,0.0,0.0,-33.924125,,0,-33.924125,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.0034711708478558
AL-7,26.144,2.9700000000000006,0.0,0.0,0.0,0.0,0.0,29.113999999999997,,0,29.113999999999997,0.992250392830851,26.144,2.9700000000000006,0.0,0.0,0.0,0.0,0.0,29.113999999999997,,0,29.113999999999997,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.007549607169148986
AK-AL,-12.476,5.13,0.0,0.0,0.0,0.0,0.000879007600603,-7.345120992399396,,0,-7.345120992399396,0.2272004853012498,-12.476,5.13,0.0,0.0,0.0,0.0,0.000879007600603,-7.345120992399396,,0,-7.345120992399396,0.18889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.03831048530124981
AZ-1,-2.026,6.480000000000001,0.0,0.0,0.0,0.0,-0.0177622191608357,4.436237780839166,,0,4.436237780839166,0.6768587253997055,-2.026,6.480000000000001,0.0,0.0,0.0,0.0,-0.0177622191608357,4.436237780839166,,0,4.436237780839166,0.70438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.02752127460029452
AZ-2,-13.106,5.13,0.0,0.0,0.0,0.0,0.0008619773735727,-7.975138022626427,,0,-7.975138022626427,0.209293434813656,-13.106,5.13,0.0,0.0,0.0,0.0,0.0008619773735727,-7.975138022626427,,0,-7.975138022626427,0.17101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.03828343481365601
AZ-3,42.594,4.050000000000001,0.0,0.0,0.0,0.0,0.0,46.644000000000005,,0,46.644000000000005,0.9995796489823344,42.594,4.050000000000001,0.0,0.0,0.0,0.0,0.0,46.644000000000005,,0,46.644000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0004203510176655767
AZ-4,7.894000000000002,5.940000000000001,0.0,0.0,0.0,0.0,-0.0082751620625258,13.825724837937477,,0,13.825724837937477,0.909231503704518,7.894000000000002,5.940000000000001,0.0,0.0,0.0,0.0,-0.0082751620625258,13.825724837937477,,0,13.825724837937477,0.9533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.04406849629548204
AZ-5,-19.156,5.4,0.0,0.0,0.0,0.0,0.0,-13.755999999999998,,0,-13.755999999999998,0.0917321283226691,-19.156,5.4,0.0,0.0,0.0,0.0,0.0,-13.755999999999998,,0,-13.755999999999998,0.04892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.0428121283226691
AZ-6,-0.7660000000000017,5.670000000000001,0.0,0.0,0.0,0.0,0.0006966938812879,4.904696693881287,2.0,1,4.904696693881287,0.6936946608596593,-0.7660000000000017,5.670000000000001,0.0,0.0,0.0,0.0,0.0006966938812879,4.904696693881287,2.0,1,4.691201486881012,0.71801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.2134952070002747,0.024315339140340786
AZ-7,24.973999999999997,4.59,0.0,0.0,0.0,0.0,0.0,29.563999999999997,,0,29.563999999999997,0.9928063242594528,24.973999999999997,4.59,0.0,0.0,0.0,0.0,0.0,29.563999999999997,,0,29.563999999999997,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.006993675740547212
AZ-8,-15.796,4.59,0.0,0.0,0.0,0.0,0.0022663744722486,-11.20373362552775,,0,-11.20373362552775,0.1338557268079898,-15.796,4.59,0.0,0.0,0.0,0.0,0.0022663744722486,-11.20373362552775,,0,-11.20373362552775,0.08852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.04533572680798979
AZ-9,-29.746,3.2400000000000007,0.0,0.0,0.0,0.0,0.0,-26.505999999999997,,0,-26.505999999999997,0.0119185789350307,-29.746,3.2400000000000007,0.0,0.0,0.0,0.0,0.0,-26.505999999999997,,0,-26.505999999999997,0.00078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.0111385789350307
AR-1,-44.285999999999994,3.2400000000000007,0.0,-1.5,-0.0985096153846153,0.0,0.0,-42.64450961538461,,0,-42.64450961538461,0.0008183364967347,-44.285999999999994,3.2400000000000007,0.0,-1.5,-0.0985096153846153,0.0,0.0,-42.64450961538461,,0,-42.64450961538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.0008183364967347
AR-2,-15.156,3.7800000000000007,0.0,-1.5,0.0581625,0.0,0.002700683702534,-12.815136816297464,,0,-12.815136816297464,0.1056603296294161,-15.156,3.7800000000000007,0.0,-1.5,0.0581625,0.0,0.002700683702534,-12.815136816297464,,0,-12.815136816297464,0.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.0448603296294161
AR-3,-24.756,3.7800000000000007,0.0,-1.5,-0.0571059782608695,0.0,0.0035615744656018,-22.529544403795263,,0,-22.529544403795263,0.0228670867684454,-24.756,3.7800000000000007,0.0,-1.5,-0.0571059782608695,0.0,0.0035615744656018,-22.529544403795263,,0,-22.529544403795263,0.00307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.0197970867684454
AR-4,-38.796,3.2400000000000007,0.0,-1.5,-0.084375,0.0,0.0,-37.140375,,0,-37.140375,0.0020455059722917,-38.796,3.2400000000000007,0.0,-1.5,-0.084375,0.0,0.0,-37.140375,,0,-37.140375,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,-0.0020255059722916998
CA-1,13.574,4.859999999999999,0.0,0.0,0.0,0.0,0.0,18.433999999999997,,0,18.433999999999997,0.9557369863084144,13.574,4.859999999999999,0.0,0.0,0.0,0.0,0.0,18.433999999999997,,0,18.433999999999997,0.98762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.03188301369158564
CA-2,25.433999999999997,3.78,0.0,0.0,-0.067725,0.0,0.0,29.146275,,0,29.146275,0.9922916468700514,25.433999999999997,3.78,0.0,0.0,-0.067725,0.0,0.0,29.146275,,0,29.146275,0.99975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.007458353129948581
