field,before,after,change
n_sims,20000.0,100000.0,80000.0
days_out,107.0,107.0,0.0
expected_dem_seats,226.28765,224.37573,-1.9119200000000092
median_dem_seats,225.0,223.0,-2.0
dem_seats_p25,214.0,215.0,1.0
dem_seats_p50,225.0,223.0,-2.0
dem_seats_p75,237.0,233.0,-4.0
total_error_sd,7.5,5.978414748178196,-1.5215852518218043
national_error_sd,4.125,3.736111111111111,-0.38888888888888884
region_error_sd,1.25,1.8916666666666664,0.6416666666666664
imported_national_environment_margin,5.4,5.4,0.0
house_environment_multiplier,0.9,1.0,0.09999999999999998
house_adjusted_national_environment,5.4,5.4,0.0
national_environment_margin,5.4,5.4,0.0
districts_with_polling,18.0,18.0,0.0
