cycle,snapshot_days_before_election,snapshot_date,election_date,question_rows,unique_questions,unique_polls,unique_pollsters,first_poll_end_date,latest_poll_end_date,minimum_poll_age_days,maximum_poll_age_days,mean_margin_dem,median_margin_dem,lv_questions,rv_questions,voter_questions,adult_questions,partisan_questions,internal_questions
2018,180,2018-05-10,2018-11-06,1064,1064,621,34,2016-11-04,2018-05-10,0,552,7.283740601503759,7.100000000000001,97,590,0,377,27,0
2018,150,2018-06-09,2018-11-06,1150,1150,676,34,2016-11-04,2018-06-09,0,582,7.105304347826087,7.0,104,639,0,407,30,0
2018,120,2018-07-09,2018-11-06,1242,1242,737,36,2016-11-04,2018-07-09,0,612,7.104186795491143,7.0,109,691,0,442,31,0
2018,90,2018-08-08,2018-11-06,1333,1333,796,37,2016-11-04,2018-08-08,0,642,7.0795948987246815,7.0,115,743,1,474,34,0
2018,75,2018-08-23,2018-11-06,1385,1385,826,38,2016-11-04,2018-08-23,0,657,6.991841155234658,7.0,128,768,2,487,34,0
2018,60,2018-09-07,2018-11-06,1441,1441,859,39,2016-11-04,2018-09-07,0,672,7.052324774462178,7.0,140,797,2,502,35,0
2018,45,2018-09-22,2018-11-06,1511,1511,891,39,2016-11-04,2018-09-22,0,687,7.087624090006618,7.0,164,826,2,519,35,0
2018,30,2018-10-07,2018-11-06,1594,1594,937,41,2016-11-04,2018-10-07,0,702,7.151756587202008,7.0,189,866,2,537,39,0
2018,21,2018-10-16,2018-11-06,1638,1638,955,43,2016-11-04,2018-10-16,0,711,7.202869352869352,7.049999999999997,208,881,2,547,39,0
2018,14,2018-10-23,2018-11-06,1677,1677,975,43,2016-11-04,2018-10-23,0,718,7.216159809183065,7.099999999999998,222,897,2,556,39,0
2018,10,2018-10-27,2018-11-06,1696,1696,984,44,2016-11-04,2018-10-27,0,722,7.21002358490566,7.0,231,903,2,560,39,0
2018,7,2018-10-30,2018-11-06,1714,1714,993,44,2016-11-04,2018-10-30,0,725,7.213127187864644,7.049999999999999,238,911,2,563,39,0
2018,5,2018-11-01,2018-11-06,1730,1730,999,44,2016-11-04,2018-11-01,0,727,7.199595375722543,7.0,247,916,2,565,39,0
2018,3,2018-11-03,2018-11-06,1753,1753,1010,44,2016-11-04,2018-11-03,0,729,7.1997718197375935,7.0,259,925,2,567,39,0
2018,1,2018-11-05,2018-11-06,1766,1766,1015,44,2016-11-04,2018-11-05,0,731,7.200736126840317,7.0,265,930,2,569,39,0
2018,0,2018-11-06,2018-11-06,1773,1773,1018,44,2016-11-04,2018-11-06,0,732,7.201917653694303,7.0,268,933,2,570,39,0
2020,180,2020-05-07,2020-11-03,541,541,530,28,2018-11-14,2020-05-07,0,540,6.401109057301294,6.0,35,496,0,10,51,2
2020,150,2020-06-06,2020-11-03,597,597,577,28,2018-11-14,2020-06-06,0,570,6.457286432160804,6.0,75,503,0,19,64,2
2020,120,2020-07-06,2020-11-03,650,650,626,32,2018-11-14,2020-07-06,0,600,6.500923076923078,6.0,112,515,0,23,68,2
2020,90,2020-08-05,2020-11-03,699,699,673,36,2018-11-14,2020-08-05,0,630,6.541659513590844,6.0,146,528,0,25,70,2
2020,75,2020-08-20,2020-11-03,723,723,697,36,2018-11-14,2020-08-20,0,645,6.557621023513139,6.0,164,533,0,26,70,2
2020,60,2020-09-04,2020-11-03,758,758,732,37,2018-11-14,2020-09-04,0,660,6.587058047493404,6.0,194,538,0,26,70,2
2020,45,2020-09-19,2020-11-03,802,802,773,38,2018-11-14,2020-09-19,0,675,6.571072319201995,6.0,231,545,0,26,71,2
2020,30,2020-10-04,2020-11-03,851,851,816,39,2018-11-14,2020-10-04,0,690,6.563678025851939,6.0,272,553,0,26,72,2
2020,21,2020-10-13,2020-11-03,876,876,839,40,2018-11-14,2020-10-13,0,699,6.57898401826484,6.0,293,557,0,26,72,2
2020,14,2020-10-20,2020-11-03,898,898,859,42,2018-11-14,2020-10-20,0,706,6.607861915367483,6.0,311,561,0,26,72,2
2020,10,2020-10-24,2020-11-03,906,906,867,42,2018-11-14,2020-10-24,0,710,6.605187637969095,6.0,319,561,0,26,72,2
2020,7,2020-10-27,2020-11-03,922,922,880,42,2018-11-14,2020-10-27,0,713,6.650032537960954,6.0,331,565,0,26,73,2
2020,5,2020-10-29,2020-11-03,929,929,886,42,2018-11-14,2020-10-29,0,715,6.650118406889128,6.0,336,567,0,26,73,2
2020,3,2020-10-31,2020-11-03,934,934,891,42,2018-11-14,2020-10-31,0,717,6.65161670235546,6.0,340,568,0,26,73,2
2020,1,2020-11-02,2020-11-03,943,943,897,42,2018-11-14,2020-11-02,0,719,6.655864262990455,6.049999999999997,346,571,0,26,73,2
2020,0,2020-11-03,2020-11-03,943,943,897,42,2018-11-14,2020-11-02,1,720,6.655864262990455,6.049999999999997,346,571,0,26,73,2
2022,180,2022-05-12,2022-11-08,807,807,764,49,2020-11-23,2022-05-12,0,535,1.5219083023543991,2.0,63,692,0,52,29,1
2022,150,2022-06-11,2022-11-08,874,874,823,51,2020-11-23,2022-06-11,0,565,1.38954233409611,2.0,73,741,0,60,31,1
2022,120,2022-07-11,2022-11-08,958,958,897,57,2020-11-23,2022-07-11,0,595,1.3208559498956158,2.0,90,799,0,69,39,1
2022,90,2022-08-10,2022-11-08,1039,1039,969,58,2020-11-23,2022-08-10,0,625,1.3520789220404235,2.0,105,856,0,78,45,1
2022,75,2022-08-25,2022-11-08,1084,1084,1010,61,2020-11-23,2022-08-25,0,640,1.3810977859778597,2.0,131,871,0,82,47,1
2022,60,2022-09-09,2022-11-08,1127,1127,1048,63,2020-11-23,2022-09-09,0,655,1.418447204968944,2.0,156,883,0,88,50,1
2022,45,2022-09-24,2022-11-08,1183,1183,1093,66,2020-11-23,2022-09-24,0,670,1.471935756551141,2.0,185,901,0,97,53,1
2022,30,2022-10-09,2022-11-08,1236,1236,1136,68,2020-11-23,2022-10-09,0,685,1.5131715210355987,2.0,214,919,0,103,54,1
2022,21,2022-10-18,2022-11-08,1281,1281,1170,71,2020-11-23,2022-10-18,0,694,1.4778844652615144,2.0,239,933,0,109,55,1
2022,14,2022-10-25,2022-11-08,1306,1306,1191,71,2020-11-23,2022-10-25,0,701,1.4706202143950997,2.0,253,940,0,113,57,1
2022,10,2022-10-29,2022-11-08,1324,1324,1207,72,2020-11-23,2022-10-29,0,705,1.4477567975830816,2.0,265,945,0,114,60,1
2022,7,2022-11-01,2022-11-08,1340,1340,1218,73,2020-11-23,2022-11-01,0,708,1.4246492537313433,2.0,271,952,1,116,60,1
2022,5,2022-11-03,2022-11-08,1347,1347,1222,73,2020-11-23,2022-11-03,0,710,1.4260801781737193,2.0,274,954,1,118,60,1
2022,3,2022-11-05,2022-11-08,1352,1352,1225,73,2020-11-23,2022-11-05,0,712,1.4295340236686391,2.0,276,956,1,119,60,1
2022,1,2022-11-07,2022-11-08,1362,1362,1231,75,2020-11-23,2022-11-07,0,714,1.407775330396476,2.0,282,958,1,121,62,1
2022,0,2022-11-08,2022-11-08,1364,1364,1233,75,2020-11-23,2022-11-08,0,715,1.4035117302052786,2.0,283,959,1,121,63,1
2024,180,2024-05-09,2024-11-05,525,525,500,39,2022-11-11,2024-05-09,0,545,0.8530095238095237,2.0,116,405,0,4,62,0
2024,150,2024-06-08,2024-11-05,549,549,521,41,2022-11-11,2024-06-06,2,575,0.7934608378870673,2.0,126,418,0,5,66,0
2024,120,2024-07-08,2024-11-05,576,576,544,47,2022-11-11,2024-07-08,0,605,0.7582638888888888,2.0,137,433,0,6,71,0
2024,90,2024-08-07,2024-11-05,615,615,575,49,2022-11-11,2024-08-06,1,635,0.720910569105691,2.0,152,457,0,6,75,0
2024,75,2024-08-22,2024-11-05,623,623,582,49,2022-11-11,2024-08-21,1,650,0.7410272873194221,2.0,155,461,0,7,75,0
2024,60,2024-09-06,2024-11-05,648,648,601,53,2022-11-11,2024-09-05,1,665,0.7767901234567901,2.0,166,473,0,9,78,0
2024,45,2024-09-21,2024-11-05,662,662,611,53,2022-11-11,2024-09-19,2,680,0.7890634441087612,2.0,172,481,0,9,79,0
2024,30,2024-10-06,2024-11-05,677,677,621,53,2022-11-11,2024-10-04,2,695,0.8122008862629245,2.0,181,487,0,9,79,0
2024,21,2024-10-15,2024-11-05,690,690,628,53,2022-11-11,2024-10-15,0,704,0.8041449275362318,2.0,188,493,0,9,80,0
2024,14,2024-10-22,2024-11-05,703,703,638,54,2022-11-11,2024-10-22,0,711,0.7901280227596016,2.0,195,499,0,9,81,0
2024,10,2024-10-26,2024-11-05,711,711,644,55,2022-11-11,2024-10-26,0,715,0.7723769338959212,2.0,201,501,0,9,82,0
2024,7,2024-10-29,2024-11-05,721,721,650,56,2022-11-11,2024-10-29,0,718,0.7450208044382801,2.0,207,505,0,9,82,0
2024,5,2024-10-31,2024-11-05,727,727,655,56,2022-11-11,2024-10-31,0,720,0.7457496561210454,2.0,211,507,0,9,83,0
2024,3,2024-11-02,2024-11-05,734,734,660,57,2022-11-11,2024-11-02,0,722,0.7537602179836512,2.0,215,510,0,9,83,0
2024,1,2024-11-04,2024-11-05,735,735,661,58,2022-11-11,2024-11-03,1,724,0.7546394557823128,2.0,216,510,0,9,83,0
2024,0,2024-11-05,2024-11-05,735,735,661,58,2022-11-11,2024-11-03,2,725,0.7546394557823128,2.0,216,510,0,9,83,0
