source,source_file,source_row_number,source_row_hash,poll_id,question_id,race_id,cycle,election_date,stage,office_type,seat_name,pollster_id,pollster,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,transparency_score,methodology,start_date,end_date,field_period_days,days_before_election,sample_size,population,population_full,tracking,internal,partisan,sponsors,notes,url,url_article,url_topline,url_crosstab,dem_pct,rep_pct,ind_pct,two_party_total,margin_dem,two_party_margin_dem,valid_major_party_values,pre_election
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4833,d560ddb151995516f66800920eedf40121f3ddd56cae0753d7f3953c27f75da5,49778,78181,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,4.0,Online Opt-In Panel,2016-10-31,2016-11-04,5,732,2855.0,rv,rv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/PD1:1,,,,45.3,37.1,4.5,82.4,8.199999999999996,9.951456310679605,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4831,ee062e6daf876d75e45e0473abbc9f79b8ae8030090428b2821ed828134d58a0,49777,78180,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,4.0,Online Opt-In Panel,2016-11-01,2016-11-05,5,731,2831.0,rv,rv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/PD1:1,,,,46.3,35.8,4.6,82.1,10.5,12.789281364190012,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4832,5e01a62f130f7ccd293c024a6b4fc0a3aaf7eedd7c36c7d9221f3f43c959c19c,49777,78190,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,4.0,Online Opt-In Panel,2016-11-01,2016-11-05,5,731,2258.0,lv,lv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/LIKELY:1,,,,44.6,38.3,3.4,82.9,6.300000000000004,7.599517490952961,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4829,53dd00444f414b8d83209ae1f377506ce38b79f8d62f9b281d5ce27c829ac0f3,49776,78179,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,4.0,Online Opt-In Panel,2016-11-02,2016-11-06,5,730,2753.0,rv,rv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/PD1:1,,,,47.2,35.4,4.6,82.6,11.800000000000004,14.285714285714292,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4830,b75bf25edf1ac40115619933e31d699baba5749835c69eb5e28cb713bdd1c595,49776,78189,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,4.0,Online Opt-In Panel,2016-11-02,2016-11-06,5,730,2195.0,lv,lv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/LIKELY:1,,,,45.0,38.6,3.6,83.6,6.399999999999999,7.655502392344497,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4827,9eb502704259fe84c8a32bf95840d060d405430a9272ceb448bb4e893811f3c5,49775,78176,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,4.0,Online Opt-In Panel,2016-11-03,2016-11-07,5,729,2812.0,rv,rv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/PD1:1,,,,46.8,36.0,4.1,82.8,10.799999999999997,13.043478260869563,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4828,0b81960b90f5f80c40858cd6132b8d2efd22124e6318b0349c9ef65024f4e872,49775,78186,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,4.0,Online Opt-In Panel,2016-11-03,2016-11-07,5,729,2223.0,lv,lv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/LIKELY:1,,,,44.7,38.9,3.4,83.6,5.800000000000004,6.937799043062207,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4824,2b93f9959e9bf1b4daeef585b67a857be7ad09e6e4710602d9a8df765a1c7c32,49774,78175,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,,Online Opt-In Panel,2016-11-04,2016-11-08,5,728,2531.0,rv,rv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/PD1:1,,,,46.9,36.7,4.1,83.6,10.199999999999996,12.200956937799038,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4825,a825932e35f6b1ec6478774075993c3ef148dc97a3ec1b5694b97473ecfd5202,49774,78185,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,,Online Opt-In Panel,2016-11-04,2016-11-08,5,728,2030.0,lv,lv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/LIKELY:1,,,,44.6,39.4,3.4,84.0,5.200000000000003,6.190476190476193,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4826,07074df488eae39f80572ebc92f9da907670cca3dd16766bb2479d5c540b4ef4,49774,78195,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,,Online Opt-In Panel,2016-11-04,2016-11-08,5,728,2972.0,a,a,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/,,,,41.7,33.1,4.0,74.80000000000001,8.600000000000001,11.497326203208557,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4821,5826d3e6eb7897e2031f7bab323fc723277542d65c130b113a8220c25ebdc0a0,49770,78171,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,,Online Opt-In Panel,2016-11-05,2016-11-09,5,727,2241.0,rv,rv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/PD1:1,,,,46.6,38.1,4.1,84.7,8.5,10.035419126328216,True,True
FiveThirtyEight historical polling archive,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,4822,506005fa97368b544834eb0f300e2dfde5b82fca5c1fafc94a84ff76c5ecf173,49770,78184,8273,2018,2018-11-06,general,U.S. House,Generic,241,Ipsos,Ipsos,154,Ipsos,2.8,-0.9,,Online Opt-In Panel,2016-11-05,2016-11-09,5,727,1790.0,lv,lv,True,,,Reuters,,http://polling.reuters.com/#poll/TM771Y16/filters/LIKELY:1,,,,44.7,40.4,3.0,85.1,4.300000000000004,5.05287896592245,True,True
