specification_id,baseline_type,baseline_label,model_family,model_label,generic_ballot_coefficient,approval_coefficient,midterm_coefficient,complexity_score,cycle,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins,predicted_dem_wins,expected_dem_wins,predicted_win_count_error,expected_win_count_error
raw_presidential_margin__generic_only__gb_0.00,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.0,0.0,0.0,1,2016,345,4.367336164582319,9.303946556519131,7.445608669999999,11.75130458745267,0.9391304347826087,0.053006140241977244,0.1817620109780871,149,164,172.36437455100543,15,23.364374551005426
raw_presidential_margin__generic_only__gb_0.00,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.0,0.0,0.0,1,2018,393,-5.1723891944473275,6.771395631351654,5.194277499999998,8.95370368214793,0.910941475826972,0.06028236044525878,0.202456890235439,200,169,174.71304417213486,-31,-25.286955827865143
raw_presidential_margin__generic_only__gb_0.00,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.0,0.0,0.0,1,2020,407,-0.02553236368056273,4.9814158532232655,3.5965680399999993,6.6210013838949155,0.9238329238329238,0.049752861371873736,0.16744857274673355,203,190,194.7494700846055,-13,-8.250529915394509
raw_presidential_margin__generic_only__gb_0.00,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.0,0.0,0.0,1,2022,400,5.03890540262625,6.36226873247075,5.505777780999999,7.935449279699145,0.95,0.042199756718057785,0.1489382678318903,204,214,215.34548810512274,10,11.34548810512274
raw_presidential_margin__generic_only__gb_0.05,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.05,0.0,0.0,1,2016,345,4.3973361645823195,9.312207426084347,7.47286341,11.762486968195166,0.9391304347826087,0.053126667151743155,0.18207541704488095,149,164,172.4898436169863,15,23.489843616986292
raw_presidential_margin__generic_only__gb_0.05,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.05,0.0,0.0,1,2018,393,-4.807389194447328,6.571192813830024,4.884117763000001,8.74792492627611,0.910941475826972,0.05887662678875795,0.19895312408608068,200,169,176.24553385240677,-31,-23.754466147593234
raw_presidential_margin__generic_only__gb_0.05,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.05,0.0,0.0,1,2020,407,0.31446763631943847,4.98030894290877,3.7409646999999993,6.628415898103832,0.9238329238329238,0.049072037697531413,0.16647894695159215,203,190,196.16272135536892,-13,-6.837278644631084
raw_presidential_margin__generic_only__gb_0.05,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.05,0.0,0.0,1,2022,400,4.97890540262625,6.322489101070751,5.453217476000001,7.897486095104097,0.95,0.04210035397640361,0.14867931759030148,204,214,215.09687385153035,10,11.096873851530347
raw_presidential_margin__generic_only__gb_0.10,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.1,0.0,0.0,1,2016,345,4.427336164582319,9.320641882490145,7.442863409999999,11.77373516972571,0.9391304347826087,0.053247875604573586,0.18239050207635293,149,164,172.61537976712384,15,23.61537976712384
raw_presidential_margin__generic_only__gb_0.10,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.1,0.0,0.0,1,2018,393,-4.442389194447329,6.382025980506871,4.608016469999999,8.552778577971974,0.9134860050890585,0.057548169590766536,0.19566906150003327,200,170,177.78831181408776,-30,-22.211688185912237
raw_presidential_margin__generic_only__gb_0.10,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.1,0.0,0.0,1,2020,407,0.6544676363194374,4.990528347690096,3.852730590000002,6.65321992052967,0.9238329238329238,0.04845806271070193,0.16569144861265844,203,190,197.58371572825877,-13,-5.416284271741233
raw_presidential_margin__generic_only__gb_0.10,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.1,0.0,0.0,1,2022,400,4.91890540262625,6.28318910107075,5.415172910000003,7.859797578439752,0.9525,0.04200322938390997,0.14842610407199555,204,213,214.8483052750478,9,10.848305275047807
raw_presidential_margin__generic_only__gb_0.15,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.15,0.0,0.0,1,2016,345,4.45733616458232,9.32907666509884,7.421298752,11.785049003576992,0.9391304347826087,0.053369765657796685,0.18270726696981676,149,164,172.7409829813477,15,23.740982981347713
raw_presidential_margin__generic_only__gb_0.15,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.15,0.0,0.0,1,2018,393,-4.077389194447329,6.207474079997965,4.372047230000003,8.36900844137881,0.9185750636132316,0.05629937108998954,0.19260618070017,200,172,179.34149072883883,-28,-20.658509271161165
raw_presidential_margin__generic_only__gb_0.15,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.15,0.0,0.0,1,2020,407,0.9944676363194379,5.013115166107786,3.834476670000001,6.695220183356933,0.9312039312039312,0.04791264461444125,0.1650870808043839,203,193,199.0125752107512,-10,-3.9874247892487915
raw_presidential_margin__generic_only__gb_0.15,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.15,0.0,0.0,1,2022,400,4.85890540262625,6.24388910107075,5.35517291,7.822387699784014,0.9525,0.04190838454394576,0.14817862623296482,204,213,214.5997815020334,9,10.599781502033409
raw_presidential_margin__generic_only__gb_0.20,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.2,0.0,0.0,1,2016,345,4.487336164582318,9.337511447707536,7.391298752000001,11.796428280907147,0.936231884057971,0.05349233736436509,0.18302571262231163,149,165,172.86665323869744,16,23.866653238697438
raw_presidential_margin__generic_only__gb_0.20,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.2,0.0,0.0,1,2018,393,-3.7123891944473275,6.0438521137384225,4.29549544,8.197379653274771,0.926208651399491,0.05513260601095025,0.18976597519268584,200,175,180.90517164669876,-25,-19.09482835330124
raw_presidential_margin__generic_only__gb_0.20,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.2,0.0,0.0,1,2020,407,1.334467636319437,5.053343031808032,3.821112570000004,6.754095890371062,0.9385749385749386,0.047437483897422916,0.16466686172490833,203,196,200.44941300473312,-7,-2.550586995266883
raw_presidential_margin__generic_only__gb_0.20,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.2,0.0,0.0,1,2022,400,4.79890540262625,6.204613187060749,5.307880134999998,7.785260475887565,0.955,0.04181582104919232,0.1479368830493678,204,212,214.35130165842176,8,10.351301658421761
raw_presidential_margin__generic_only__gb_0.25,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.25,0.0,0.0,1,2016,345,4.517336164582318,9.34606300562058,7.3958527400000005,11.807872812512036,0.936231884057971,0.05361559077284506,0.1833458399305904,149,165,172.99239051732172,16,23.992390517321724
raw_presidential_margin__generic_only__gb_0.25,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.25,0.0,0.0,1,2018,393,-3.3473891944473273,5.893155943438168,4.204544739999996,8.038669919083423,0.9287531806615776,0.05405023451855823,0.1871499520188491,200,178,182.47944276393233,-22,-17.520557236067674
raw_presidential_margin__generic_only__gb_0.25,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.25,0.0,0.0,1,2020,407,1.674467636319438,5.111957892962825,3.96802224,6.82941061066213,0.9434889434889435,0.047034268044875004,0.1644318235092355,203,198,201.89433264553873,-5,-1.105667354461275
