probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,96,0.032962996450211064,0.0,0.032962996450211064,0.0018531774678246262
10–20%,0.1,0.2,29,0.14962155261061524,0.0,0.14962155261061524,0.023096486996651712
20–30%,0.2,0.30000000000000004,18,0.24155194527980978,0.05555555555555555,0.18599638972425422,0.08928031667998082
30–40%,0.30000000000000004,0.4,14,0.3311755970700815,0.0,0.3311755970700815,0.11009808279284881
40–50%,0.4,0.5,16,0.46098558051034844,0.125,0.33598558051034844,0.22232447739239447
50–60%,0.5,0.6000000000000001,10,0.5433417433582284,0.0,0.5433417433582284,0.2959783904599812
60–70%,0.6000000000000001,0.7000000000000001,10,0.6446127637923365,0.6,0.044612763792336474,0.23822174702985283
70–80%,0.7000000000000001,0.8,13,0.7433196436037804,0.46153846153846156,0.2817811820653189,0.3252823475368599
80–90%,0.8,0.9,14,0.868584709404289,0.7857142857142857,0.0828704236900033,0.16542966612720553
90–100%,0.9,1.0,125,0.9810446769497282,0.984,-0.0029553230502717964,0.014708975584495807
