probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,132,0.022874338770840975,0.0,0.022874338770840975,0.0011512606683992193
10–20%,0.1,0.2,27,0.14301012420738204,0.037037037037037035,0.10597308717034501,0.04838807923527203
20–30%,0.2,0.30000000000000004,15,0.24050668163083375,0.13333333333333333,0.10717334829750041,0.12592149125108099
30–40%,0.30000000000000004,0.4,10,0.34201914065026656,0.2,0.14201914065026655,0.1841630378936127
40–50%,0.4,0.5,10,0.4466501983257659,0.3,0.14665019832576592,0.22919742669742343
50–60%,0.5,0.6000000000000001,7,0.5636383571395627,0.5714285714285714,-0.007790214289008723,0.25161799839066273
60–70%,0.6000000000000001,0.7000000000000001,12,0.664466616483836,0.8333333333333334,-0.1688667168494974,0.16293131539931086
70–80%,0.7000000000000001,0.8,20,0.7552947617668655,0.85,-0.09470523823313448,0.13593603194677106
80–90%,0.8,0.9,22,0.8515523918694213,0.9090909090909091,-0.05753851722148773,0.08151706415547715
90–100%,0.9,1.0,145,0.9821716067670117,1.0,-0.01782839323298835,0.0009516656041777288
