race_id,shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,layer_2_margin_dem,candidate_war_adjustment_dem,war_adjusted_margin_dem,actual_dem_margin,layer_2_absolute_error,war_adjusted_absolute_error,absolute_error_change
AK-AL,0.7,1.0,1.0,0.0,4.0,-10.236666666666666,0.0,-10.236666666666666,23.02150904745647,33.258175714123134,33.258175714123134,0.0
AL-2,0.7,1.0,1.0,0.0,4.0,-33.53666666666666,1.26,-32.276666666666664,-39.93043862867597,6.3937719620093105,7.6537719620093085,1.259999999999998
AL-3,0.7,1.0,1.0,0.0,4.0,-38.23666666666667,1.173529411764706,-37.06313725490197,-46.0820562377236,7.845389571056927,9.018918982821631,1.1735294117647044
AL-4,0.7,1.0,1.0,0.0,4.0,-65.93666666666667,2.1592307692307693,-63.7774358974359,-70.48428215988106,4.547615493214394,6.706846262445161,2.159230769230767
AL-5,0.7,1.0,1.0,0.0,4.0,-29.236666666666668,0.0,-29.236666666666668,-37.53585440638291,8.299187739716242,8.299187739716242,0.0
AL-7,0.7,1.0,1.0,0.0,4.0,31.863333333333333,0.0,31.863333333333333,28.780550685779108,3.0827826475542253,3.0827826475542253,0.0
AR-1,0.7,1.0,1.0,0.0,4.0,-45.03666666666667,0.0,-45.03666666666667,-47.59564624805636,2.5589795813896927,2.5589795813896927,0.0
AR-2,0.7,1.0,1.0,0.0,4.0,-17.236666666666665,0.5352941176470589,-16.701372549019606,-24.787580240701818,7.550913574035153,8.086207691682212,0.5352941176470587
AR-3,0.7,1.0,1.0,0.0,4.0,-27.536666666666665,-0.3607692307692308,-27.897435897435898,-30.797717229905004,3.2610505632383386,2.900281332469106,-0.3607692307692325
AR-4,0.7,1.0,1.0,0.0,4.0,-39.33666666666667,-0.49,-39.826666666666675,-44.81162550300883,5.474958836342154,4.984958836342152,-0.490000000000002
AZ-1,0.7,1.0,1.0,0.0,4.0,-2.636666666666667,0.7555882352941176,-1.8810784313725497,-0.8838736627779914,1.7527930038886756,0.9972047685945583,-0.7555882352941173
AZ-2,0.7,1.0,1.0,0.0,4.0,-10.036666666666667,1.7084374999999998,-8.328229166666667,-7.736026419621764,2.300640247044903,0.5922027470449027,-1.7084375000000005
AZ-3,0.7,1.0,1.0,0.0,4.0,50.46333333333333,0.9831818181818179,51.44651515151515,53.96033287494507,3.4969995416117357,2.5138177234299164,-0.9831818181818193
AZ-4,0.7,1.0,1.0,0.0,4.0,10.163333333333334,0.5223076923076923,10.685641025641026,12.21101477223934,2.0476814389060056,1.525373746598314,-0.5223076923076917
AZ-5,0.7,1.0,1.0,0.0,4.0,-20.536666666666665,0.98875,-19.547916666666666,-19.34792748530738,1.188739181359285,0.19998918135928534,-0.9887499999999996
AZ-6,0.7,1.0,1.0,0.0,4.0,-2.036666666666667,0.0,-2.036666666666667,-1.4979257507522554,0.5387409159144116,0.5387409159144116,0.0
AZ-7,0.7,1.0,1.0,0.0,4.0,32.66333333333333,0.0,32.66333333333333,29.088848270721225,3.5744850626121014,3.5744850626121014,0.0
CA-1,0.7,1.0,1.0,0.0,4.0,-23.236666666666668,2.524117647058824,-20.712549019607845,-24.145801604223777,0.9091349375571092,3.433252584615932,2.524117647058823
CA-2,0.7,1.0,1.0,0.0,4.0,49.36333333333333,0.13999999999999993,49.50333333333333,48.80695969865489,0.5563736346784367,0.6963736346784373,0.14000000000000057
CA-3,0.7,1.0,1.0,0.0,4.0,-3.9366666666666674,0.0,-3.9366666666666674,-7.296591651660709,3.3599249849940414,3.3599249849940414,0.0
CA-4,0.7,1.0,1.0,0.0,4.0,36.46333333333333,1.018181818181818,37.48151515151515,35.603874177388875,0.8594591559444567,1.8776409741262725,1.0181818181818159
CA-5,0.7,1.0,1.0,0.0,4.0,-16.436666666666667,0.9187500000000001,-15.517916666666668,-22.618803660389357,6.18213699372269,7.100886993722689,0.9187499999999993
CA-6,0.7,1.0,1.0,0.0,4.0,18.263333333333332,-2.4088235294117646,15.854509803921568,11.892339046967646,6.370994286365686,3.962170756953922,-2.408823529411764
CA-7,0.7,1.0,1.0,0.0,4.0,37.06333333333333,0.7262500000000001,37.78958333333333,36.52147508962117,0.5418582437121628,1.2681082437121631,0.7262500000000003
CA-8,0.7,1.0,1.0,0.0,4.0,53.86333333333333,-0.6258823529411764,53.237450980392154,51.45704842948968,2.4062849038436482,1.7804025509024726,-0.6258823529411757
CA-9,0.7,1.0,1.0,0.0,4.0,10.463333333333333,1.715,12.178333333333333,9.630733944954128,0.8325993883792044,2.5475993883792043,1.7149999999999999
CA-11,0.7,1.0,1.0,0.0,4.0,74.36333333333333,-4.0,70.36333333333333,67.90375002375839,6.459583309574938,2.4595833095749384,-4.0
CA-12,0.7,1.0,1.0,0.0,4.0,80.56333333333333,-0.90125,79.66208333333333,80.94837249811434,0.38503916478100564,1.2862891647810102,0.9012500000000045
CA-13,0.7,1.0,1.0,0.0,4.0,8.763333333333334,0.0,8.763333333333334,-0.4222947677378777,9.185628101071211,9.185628101071211,0.0
CA-14,0.7,1.0,1.0,0.0,4.0,45.36333333333333,-3.5020588235294117,41.86127450980392,38.67703966462432,6.686293668709013,3.1842348451796028,-3.50205882352941
