probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,115,0.027003893968972233,0.0,0.027003893968972233,0.0015341765148448572
10–20%,0.1,0.2,33,0.15916583813607987,0.0,0.15916583813607987,0.026202234745130174
20–30%,0.2,0.30000000000000004,16,0.2540248053303391,0.0,0.2540248053303391,0.06514301916009033
30–40%,0.30000000000000004,0.4,22,0.34485227112464756,0.09090909090909091,0.2539431802155566,0.14869986032655774
40–50%,0.4,0.5,11,0.4552571896294033,0.45454545454545453,0.0007117350839487835,0.23858925501271758
50–60%,0.5,0.6000000000000001,9,0.5557140586272041,0.5555555555555556,0.00015850307164855248,0.23837575766287689
60–70%,0.6000000000000001,0.7000000000000001,11,0.65508709737853,0.9090909090909091,-0.25400381171237907,0.14268974670842519
70–80%,0.7000000000000001,0.8,13,0.7603159681650573,0.8461538461538461,-0.08583787798878884,0.13784065539409515
80–90%,0.8,0.9,17,0.8509223214108073,0.7647058823529411,0.08621643905786613,0.18471378425861656
90–100%,0.9,1.0,160,0.9846989318886493,0.98125,0.0034489318886493647,0.01839609492487833
