forecast_cycle,cycle,race_id,district_id,state,district,chamber,election_date,election_type,actual_dem_margin,actual_winner,include_in_major_party_margin_scoring,major_party_contested,general_election_party_structure,uncontested,uncontested_dem,uncontested_gop,dem_candidate,gop_candidate,dem_vote_total,gop_vote_total,other_vote_total,total_vote,dem_vote_share,gop_vote_share,district_pres_margin_dem,presidential_result_year,boundary_cycle,boundary_compatibility,baseline_selection_method,generic_ballot_margin_dem,presidential_approval,presidential_disapproval,presidential_net_approval,president_party,national_environment_margin_dem,environment_as_of_date,environment_formula_version,incumbent_configuration,incumbent_party,dem_incumbent,gop_incumbent,double_incumbent_race,open_seat,results_available,presidential_baseline_feature_available,national_environment_feature_available,candidate_registry_feature_available,district_dna_joined_in_canonical_inputs,district_elasticity_joined_in_canonical_inputs,learned_district_features_required_oof,canonical_feature_set_complete,include_in_presidential_baseline_backtest,include_in_environment_backtest,include_in_incumbency_backtest,include_in_canonical_margin_backtest,approval_adjustment_dem,approval_coefficient,approval_contribution_dem,approval_source,candidate_registry_available,dem_candidate_name_canonical,dem_candidate_name_fec,dem_candidate_name_mit,dem_candidate_registry_source_file,dem_candidate_uid,dem_candidate_vote_share,dem_candidate_vote_total,dem_fec_candidate_id,dem_fec_candidate_status,dem_incumbent_challenger_status,dem_is_challenger,dem_is_incumbent,dem_is_open_seat_candidate,dem_match_method,dem_match_reason,dem_match_score,dem_presidential_candidate,dem_presidential_share,dem_principal_campaign_committee_id,environment_notes,environment_snapshot_label,environment_source_path,generic_ballot_coefficient,generic_ballot_contribution_dem,generic_ballot_source,gop_candidate_name_canonical,gop_candidate_name_fec,gop_candidate_name_mit,gop_candidate_registry_source_file,gop_candidate_uid,gop_candidate_vote_share,gop_candidate_vote_total,gop_fec_candidate_id,gop_fec_candidate_status,gop_incumbent_challenger_status,gop_is_challenger,gop_is_incumbent,gop_is_open_seat_candidate,gop_match_method,gop_match_reason,gop_match_score,gop_presidential_candidate,gop_presidential_share,gop_principal_campaign_committee_id,has_dem_candidate,has_gop_candidate,major_party_share_total,midterm_adjustment_dem,midterm_coefficient,midterm_contribution_dem,named_candidate_count,named_dem_count,named_gop_count,named_other_count,other_candidates,presidential_baseline_available,presidential_baseline_source_boundary_description,presidential_baseline_source_file,presidential_baseline_source_name,presidential_baseline_warehouse_version,presidential_result_available,retrieved_date,source_name,source_url,special_handling_notes,model_margin_dem,total_error_sd_used,dem_win_probability,actual_dem_win,predicted_dem_win,correct_winner,margin_error,abs_margin_error,squared_margin_error,brier_score,include_in_scoring
2022,2022,AK-AL,AK-AL,AK,AL,House,2022-11-08,General,23.02150905,D,True,True,D_vs_R,False,False,False,MARY SATTLER PELTOLA,SARAH PALIN,128553,67866,5678,263610,48.76635939,25.74485035,-10.1,2020,2022,authoritative_2022_boundary,most_recent_completed_presidential_election_on_authoritative_2022_house_boundaries,-1.2,41.3,54.2,-12.9,D,-2.136666667,2022-11-08,reduced_double_count_v1,D,D,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,-1.233333333,0.5,-0.6166666667,RealClearPolling 2022 Biden approval reference,True,MARY SATTLER PELTOLA,"PELTOLA, MARY",MARY SATTLER PELTOLA,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AK_AL_D_MARY_SATTLER_PELTOLA,0.4876635939,128553.0,H2AK01158,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Joe Biden,43.0,C00812388,Provisional Election Day snapshot; generic-ballot and approval source sensitivity tests required.,election_day,historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,0.85,-1.02,FiveThirtyEight final 2022 generic-ballot average,SARAH PALIN,"PALIN, SARAH",SARAH PALIN,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AK_AL_R_SARAH_PALIN,0.2574485035,67866.0,H2AK00226,C,O,False,False,True,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Donald Trump,53.1,C00811323,True,True,96.1,-1,0.5,-0.5,4,1,2,1,CHRIS BYE,True,2020 presidential election results calculated for congressional districts used in the 2022 elections,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,Daily Kos Elections / The Downballot,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-12.236666667,6.5,0.13209463294460383,True,False,False,-35.258175717,35.258175717,1243.1389548908485,0.7532597261635621,True
2022,2022,AL-1,AL-1,AL,1,House,2022-11-08,General,-83.61106155,R,False,False,R_vs_Other,False,False,False,,JERRY L CARL,0,140592,27558,168150,0.0,83.61106155,-28.3,2020,2022,authoritative_2022_boundary,most_recent_completed_presidential_election_on_authoritative_2022_house_boundaries,-1.2,41.3,54.2,-12.9,D,-2.136666667,2022-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,False,False,False,False,-1.233333333,0.5,-0.6166666667,RealClearPolling 2022 Biden approval reference,True,,,,,,,,,,,,,,,,,Joe Biden,35.3,,Provisional Election Day snapshot; generic-ballot and approval source sensitivity tests required.,election_day,historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,0.85,-1.02,FiveThirtyEight final 2022 generic-ballot average,JERRY L CARL,"CARL, JERRY LEE, JR",JERRY L CARL,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_1_R_JERRY_L_CARL,0.8361106155,140592.0,H0AL01055,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,92.5,Donald Trump,63.6,C00697789,False,True,98.9,-1,0.5,-0.5,2,0,1,1,ALEXANDER M REMREY,True,2020 presidential election results calculated for congressional districts used in the 2022 elections,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,Daily Kos Elections / The Downballot,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,Nonstandard general-election party structure: R_vs_Other,-30.436666667,6.5,0.00917037786200624,False,False,True,53.174394883000005,53.174394883000005,2827.5162711732173,8.409583013197412e-05,False
2022,2022,AL-2,AL-2,AL,2,House,2022-11-08,General,-39.93043863,R,True,True,D_vs_R,False,False,False,PHYLLIS HARVEY-HALL,BARRY MOORE,58014,137460,3487,198961,29.15847829,69.08891692,-29.4,2020,2022,authoritative_2022_boundary,most_recent_completed_presidential_election_on_authoritative_2022_house_boundaries,-1.2,41.3,54.2,-12.9,D,-2.136666667,2022-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,-1.233333333,0.5,-0.6166666667,RealClearPolling 2022 Biden approval reference,True,PHYLLIS HARVEY-HALL,"HARVEY-HALL, PHYLLIS",PHYLLIS HARVEY-HALL,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_2_D_PHYLLIS_HARVEY_HALL,0.2915847829,58014.0,H0AL02202,C,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Joe Biden,34.8,C00728873,Provisional Election Day snapshot; generic-ballot and approval source sensitivity tests required.,election_day,historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,0.85,-1.02,FiveThirtyEight final 2022 generic-ballot average,BARRY MOORE,"MOORE, FELIX BARRY",BARRY MOORE,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_2_R_BARRY_MOORE,0.6908891692,137460.0,H8AL02171,C,I,False,True,False,high_confidence_automatic,last_exact+alternate_given_name_match+token_overlap+scope_same_race,92.0,Donald Trump,64.2,C00720375,True,True,99.0,-1,0.5,-0.5,3,1,1,1,JONATHAN REALZ,True,2020 presidential election results calculated for congressional districts used in the 2022 elections,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,Daily Kos Elections / The Downballot,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-31.536666667,6.5,0.007753748793755921,False,False,True,8.393771962999999,8.393771962999999,70.45540776684486,6.0120620356671394e-05,True
2022,2022,AL-3,AL-3,AL,3,House,2022-11-08,General,-46.08205624,R,True,True,D_vs_R,False,False,False,LIN VEASEY,MIKE ROGERS,47859,135602,6945,190406,25.13523733,71.21729357,-34.1,2020,2022,authoritative_2022_boundary,most_recent_completed_presidential_election_on_authoritative_2022_house_boundaries,-1.2,41.3,54.2,-12.9,D,-2.136666667,2022-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,-1.233333333,0.5,-0.6166666667,RealClearPolling 2022 Biden approval reference,True,LIN VEASEY,"VEASEY, KAREN LIN MRS",LIN VEASEY,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_3_D_LIN_VEASEY,0.2513523733,47859.0,H2AL03131,C,C,True,False,False,manual_override,"Verified 2022 MIT-to-FEC identity; manual override resolves duplicate ID, nickname, or name-format ambiguity.",100.0,Joe Biden,32.5,C00817130,Provisional Election Day snapshot; generic-ballot and approval source sensitivity tests required.,election_day,historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,0.85,-1.02,FiveThirtyEight final 2022 generic-ballot average,MIKE ROGERS,"ROGERS, MICHAEL",MIKE ROGERS,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_3_R_MIKE_ROGERS,0.7121729357,135602.0,H2AL03032,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+scope_same_race,90.0,Donald Trump,66.6,C00367862,True,True,99.1,-1,0.5,-0.5,4,1,1,2,DOUGLAS A BELL | THOMAS SICKOFDC CASSON,True,2020 presidential election results calculated for congressional districts used in the 2022 elections,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,Daily Kos Elections / The Downballot,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-36.236666667,6.5,0.0037776370447388493,False,False,True,9.845389572999999,9.845389572999999,96.9316958441371,1.4270541641783266e-05,True
2022,2022,AL-4,AL-4,AL,4,House,2022-11-08,General,-70.48428216,R,True,True,D_vs_R,False,False,False,RICK NEIGHBORS,ROBERT B ADERHOLT,26694,164655,4384,195733,13.637966,84.12224816,-61.8,2020,2022,authoritative_2022_boundary,most_recent_completed_presidential_election_on_authoritative_2022_house_boundaries,-1.2,41.3,54.2,-12.9,D,-2.136666667,2022-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,-1.233333333,0.5,-0.6166666667,RealClearPolling 2022 Biden approval reference,True,RICK NEIGHBORS,"NEIGHBORS, RICKY",RICK NEIGHBORS,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_4_D_RICK_NEIGHBORS,0.13637966,26694.0,H8AL04086,C,C,True,False,False,probable_automatic,last_exact+first_initial+scope_same_race,72.0,Joe Biden,18.6,C00802025,Provisional Election Day snapshot; generic-ballot and approval source sensitivity tests required.,election_day,historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,0.85,-1.02,FiveThirtyEight final 2022 generic-ballot average,ROBERT B ADERHOLT,"ADERHOLT, ROBERT B. REP.",ROBERT B ADERHOLT,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_4_R_ROBERT_B_ADERHOLT,0.8412224816,164655.0,H6AL04098,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,96.25,Donald Trump,80.4,C00313247,True,True,99.0,-1,0.5,-0.5,3,1,1,1,JOHNNY C COCHRAN,True,2020 presidential election results calculated for congressional districts used in the 2022 elections,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,Daily Kos Elections / The Downballot,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-63.936666667,6.5,5.346604791447691e-05,False,False,True,6.547615493000009,6.547615493000009,42.87126864417375,2.858618279593141e-09,True
2022,2022,AL-5,AL-5,AL,5,House,2022-11-08,General,-37.53585441,R,True,True,D_vs_R,False,False,False,KATHY WARNER-STANTON,DALE STRONG,62740,142435,7142,212317,29.55015378,67.08600819,-27.1,2020,2022,authoritative_2022_boundary,most_recent_completed_presidential_election_on_authoritative_2022_house_boundaries,-1.2,41.3,54.2,-12.9,D,-2.136666667,2022-11-08,reduced_double_count_v1,OPEN,OPEN,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,-1.233333333,0.5,-0.6166666667,RealClearPolling 2022 Biden approval reference,True,KATHY WARNER-STANTON,"WARNER-STANTON, KATHY L",KATHY WARNER-STANTON,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_5_D_KATHY_WARNER_STANTON,0.2955015378,62740.0,H2AL05177,C,O,False,False,True,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,96.25,Joe Biden,35.6,C00791558,Provisional Election Day snapshot; generic-ballot and approval source sensitivity tests required.,election_day,historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,0.85,-1.02,FiveThirtyEight final 2022 generic-ballot average,DALE STRONG,"STRONG, DALE WHITNEY",DALE STRONG,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_5_R_DALE_STRONG,0.6708600819,142435.0,H2AL05102,C,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Donald Trump,62.7,C00774281,True,True,98.3,-1,0.5,-0.5,3,1,1,1,P J GREER,True,2020 presidential election results calculated for congressional districts used in the 2022 elections,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,Daily Kos Elections / The Downballot,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-29.236666667,6.5,0.011009254705531126,False,False,True,8.299187742999997,8.299187742999997,68.8765171935614,0.00012120368917125924,True
2022,2022,AL-6,AL-6,AL,6,House,2022-11-08,General,-83.72990668,R,False,False,R_vs_Other,False,False,False,,GARY J PALMER,0,154233,29970,184203,0.0,83.72990668,-29.9,2020,2022,authoritative_2022_boundary,most_recent_completed_presidential_election_on_authoritative_2022_house_boundaries,-1.2,41.3,54.2,-12.9,D,-2.136666667,2022-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,False,False,False,False,-1.233333333,0.5,-0.6166666667,RealClearPolling 2022 Biden approval reference,True,,,,,,,,,,,,,,,,,Joe Biden,34.4,,Provisional Election Day snapshot; generic-ballot and approval source sensitivity tests required.,election_day,historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,0.85,-1.02,FiveThirtyEight final 2022 generic-ballot average,GARY J PALMER,"PALMER, GARY",GARY J PALMER,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_6_R_GARY_J_PALMER,0.8372990668,154233.0,H4AL06098,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Donald Trump,64.4,C00551374,False,True,98.8,-1,0.5,-0.5,2,0,1,1,ANDRIA CHIEFFO,True,2020 presidential election results calculated for congressional districts used in the 2022 elections,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,Daily Kos Elections / The Downballot,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,Nonstandard general-election party structure: R_vs_Other,-32.036666667,6.5,0.007183793663086512,False,False,True,51.693240013,51.693240013,2672.191063041624,5.1606891393801925e-05,False
2022,2022,AL-7,AL-7,AL,7,House,2022-11-08,General,28.78055069,D,True,True,D_vs_R,False,False,False,TERRI A SEWELL,BEATRICE NICHOLS,123233,67416,3291,193940,63.54181706,34.76126637,32.0,2020,2022,authoritative_2022_boundary,most_recent_completed_presidential_election_on_authoritative_2022_house_boundaries,-1.2,41.3,54.2,-12.9,D,-2.136666667,2022-11-08,reduced_double_count_v1,D,D,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,-1.233333333,0.5,-0.6166666667,RealClearPolling 2022 Biden approval reference,True,TERRI A SEWELL,"SEWELL, TERRI A.",TERRI A SEWELL,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_7_D_TERRI_A_SEWELL,0.6354181706,123233.0,H0AL07086,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Joe Biden,65.6,C00458976,Provisional Election Day snapshot; generic-ballot and approval source sensitivity tests required.,election_day,historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,0.85,-1.02,FiveThirtyEight final 2022 generic-ballot average,BEATRICE NICHOLS,"NICHOLS, BEATRICE JACKSON",BEATRICE NICHOLS,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AL_7_R_BEATRICE_NICHOLS,0.3476126637,67416.0,H2AL07173,C,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Donald Trump,33.6,C00762344,True,True,99.2,-1,0.5,-0.5,3,1,1,1,GAVIN GOODMAN,True,2020 presidential election results calculated for congressional districts used in the 2022 elections,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,Daily Kos Elections / The Downballot,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,29.863333333,6.5,0.9899924645202307,True,True,True,1.0827826430000016,1.0827826430000016,1.172418251982069,0.00010015076637884119,True
2022,2022,AR-1,AR-1,AR,1,House,2022-11-08,General,-47.59564625,R,True,True,D_vs_R,False,False,False,MONTE HODGES,ERIC A âRICKâ CRAWFORD,54598,153774,0,208372,26.20217688,73.79782312,-40.9,2020,2022,authoritative_2022_boundary,most_recent_completed_presidential_election_on_authoritative_2022_house_boundaries,-1.2,41.3,54.2,-12.9,D,-2.136666667,2022-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,-1.233333333,0.5,-0.6166666667,RealClearPolling 2022 Biden approval reference,True,MONTE HODGES,"HODGES, MONTE",MONTE HODGES,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AR_1_D_MONTE_HODGES,0.2620217688,54598.0,H2AR01113,C,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Joe Biden,28.1,C00798892,Provisional Election Day snapshot; generic-ballot and approval source sensitivity tests required.,election_day,historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,0.85,-1.02,FiveThirtyEight final 2022 generic-ballot average,ERIC A âRICKâ CRAWFORD,"CRAWFORD, ERIC ALAN RICK",ERIC A âRICKâ CRAWFORD,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AR_1_R_ERIC_A_ARICKA_CRAWFORD,0.7379782312,153774.0,H0AR01083,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+scope_same_race,90.0,Donald Trump,69.0,C00462374,True,True,97.1,-1,0.5,-0.5,2,1,1,0,,True,2020 presidential election results calculated for congressional districts used in the 2022 elections,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,Daily Kos Elections / The Downballot,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-43.036666667,6.5,0.001330291991062742,False,False,True,4.558979583000003,4.558979583000003,20.78429483821088,1.7696767814856744e-06,True
2022,2022,AR-2,AR-2,AR,2,House,2022-11-08,General,-24.78758024,R,True,True,D_vs_R,False,False,False,QUINTESSA HATHAWAY,J FRENCH HILL,86887,147975,11584,246446,35.25599929,60.04357953,-13.1,2020,2022,authoritative_2022_boundary,most_recent_completed_presidential_election_on_authoritative_2022_house_boundaries,-1.2,41.3,54.2,-12.9,D,-2.136666667,2022-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,-1.233333333,0.5,-0.6166666667,RealClearPolling 2022 Biden approval reference,True,QUINTESSA HATHAWAY,"HATHAWAY, QUINTESSA DR.",QUINTESSA HATHAWAY,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AR_2_D_QUINTESSA_HATHAWAY,0.3525599929,86887.0,H2AR02095,N,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Joe Biden,42.1,C00788232,Provisional Election Day snapshot; generic-ballot and approval source sensitivity tests required.,election_day,historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,0.85,-1.02,FiveThirtyEight final 2022 generic-ballot average,J FRENCH HILL,"HILL, JAMES FRENCH",J FRENCH HILL,historical/house/processed/house_candidate_registry_2022.csv,HOUSE_2022_AR_2_R_J_FRENCH_HILL,0.6004357953,147975.0,H4AR02141,C,I,False,True,False,probable_automatic,last_exact+first_initial+token_overlap+scope_same_race,74.5,Donald Trump,55.2,C00551275,True,True,97.3,-1,0.5,-0.5,3,1,1,1,MICHAEL WHITE,True,2020 presidential election results calculated for congressional districts used in the 2022 elections,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,Daily Kos Elections / The Downballot,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-15.236666667,6.5,0.08753567500732652,False,False,True,9.550913573,9.550913573,91.21995007891564,0.007662494398988289,True
