forecast_cycle,cycle,race_id,district_id,state,district,chamber,election_date,election_type,actual_dem_margin,actual_winner,include_in_major_party_margin_scoring,major_party_contested,general_election_party_structure,uncontested,uncontested_dem,uncontested_gop,dem_candidate,gop_candidate,dem_vote_total,gop_vote_total,other_vote_total,total_vote,dem_vote_share,gop_vote_share,district_pres_margin_dem,presidential_result_year,boundary_cycle,boundary_compatibility,baseline_selection_method,generic_ballot_margin_dem,presidential_approval,presidential_disapproval,presidential_net_approval,president_party,national_environment_margin_dem,environment_as_of_date,environment_formula_version,incumbent_configuration,incumbent_party,dem_incumbent,gop_incumbent,double_incumbent_race,open_seat,results_available,presidential_baseline_feature_available,national_environment_feature_available,candidate_registry_feature_available,district_dna_joined_in_canonical_inputs,district_elasticity_joined_in_canonical_inputs,learned_district_features_required_oof,canonical_feature_set_complete,include_in_presidential_baseline_backtest,include_in_environment_backtest,include_in_incumbency_backtest,include_in_canonical_margin_backtest,approval_adjustment_dem,approval_coefficient,approval_contribution_dem,approval_source,candidate_registry_available,dem_candidate_name_canonical,dem_candidate_name_fec,dem_candidate_name_mit,dem_candidate_registry_source_file,dem_candidate_uid,dem_candidate_vote_share,dem_candidate_vote_total,dem_fec_candidate_id,dem_fec_candidate_status,dem_incumbent_challenger_status,dem_is_challenger,dem_is_incumbent,dem_is_open_seat_candidate,dem_match_method,dem_match_reason,dem_match_score,dem_presidential_candidate,dem_presidential_share,dem_principal_campaign_committee_id,environment_notes,environment_snapshot_label,environment_source_path,generic_ballot_coefficient,generic_ballot_contribution_dem,generic_ballot_source,gop_candidate_name_canonical,gop_candidate_name_fec,gop_candidate_name_mit,gop_candidate_registry_source_file,gop_candidate_uid,gop_candidate_vote_share,gop_candidate_vote_total,gop_fec_candidate_id,gop_fec_candidate_status,gop_incumbent_challenger_status,gop_is_challenger,gop_is_incumbent,gop_is_open_seat_candidate,gop_match_method,gop_match_reason,gop_match_score,gop_presidential_candidate,gop_presidential_share,gop_principal_campaign_committee_id,has_dem_candidate,has_gop_candidate,major_party_share_total,midterm_adjustment_dem,midterm_coefficient,midterm_contribution_dem,named_candidate_count,named_dem_count,named_gop_count,named_other_count,other_candidates,presidential_baseline_available,presidential_baseline_source_boundary_description,presidential_baseline_source_file,presidential_baseline_source_name,presidential_baseline_warehouse_version,presidential_result_available,retrieved_date,source_name,source_url,special_handling_notes,model_margin_dem,total_error_sd_used,dem_win_probability,actual_dem_win,predicted_dem_win,correct_winner,margin_error,abs_margin_error,squared_margin_error,brier_score,include_in_scoring,residual_observations,raw_residual_rmse,reliability,shrunk_residual_rmse,raw_uncertainty_multiplier,district_uncertainty_multiplier,training_pooled_residual_rmse,baseline_total_sd,baseline_district_component_sd,shared_variance,adjusted_district_component_sd,adjusted_total_error_sd,baseline_dem_win_probability,adjusted_dem_win_probability,held_out_cycle,shrinkage_strength,multiplier_floor,multiplier_ceiling
2016,2016,AK-AL,AK-AL,AK,AL,House,2016-11-08,General,-14.29892472,R,True,True,D_vs_R,False,False,False,STEVE LINDBECK,DON YOUNG,111019,155088,42091,308198,36.02197289,50.3208976,-14.1,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.5999999999999999,53.0,45.0,8.0,D,1.843333333,2016-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0.5,1.333333333,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,STEVE LINDBECK,"LINDBECK, STEVE",STEVE LINDBECK,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AK_AL_D_STEVE_LINDBECK,0.3602197288999999,111019.0,H6AK00235,C,,False,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Obama,41.2,C00615302,"Verified pre-election historical snapshot; presidential-election year, so no midterm adjustment.",election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.8499999999999999,0.51,RealClearPolitics final 2016 generic congressional ballot average,DON YOUNG,"YOUNG, DONALD E",DON YOUNG,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AK_AL_R_DON_YOUNG,0.503208976,155088.0,H6AK00045,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+scope_same_race,88.75,Romney,55.3,C00012229,True,True,96.5,0,0.5,0.0,4,1,1,2,BERNIE SOUPHANAVONG | JIM C MCDERMOTT,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-12.256666667,6.5,0.1317422762780338,0.0,False,True,2.042258053000001,2.042258053000001,4.170817955043356,0.0173560273589178,True,3,20.367461904768277,0.42857142857142855,14.565016236409084,1.8784682533843955,1.2,7.7536664301712905,6.5,4.0,26.25,4.8,7.020683727387241,0.029671672493725647,0.040423387620250516,2016,4.0,0.8,1.2
2016,2016,AL-2,AL-2,AL,2,House,2016-11-08,General,-8.24234229,R,True,True,D_vs_R,False,False,False,NATHAN MATHIS,MARTHA ROBY,112089,134886,29609,276584,40.52620542,48.76854771,-26.5,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.5999999999999999,53.0,45.0,8.0,D,1.843333333,2016-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0.5,1.333333333,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,NATHAN MATHIS,"MATHIS, NATHAN",NATHAN MATHIS,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_2_D_NATHAN_MATHIS,0.4052620542,112089.0,H6AL02167,N,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Obama,36.4,C00627976,"Verified pre-election historical snapshot; presidential-election year, so no midterm adjustment.",election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.8499999999999999,0.51,RealClearPolitics final 2016 generic congressional ballot average,MARTHA ROBY,"ROBY, MARTHA",MARTHA ROBY,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_2_R_MARTHA_ROBY,0.4876854770999999,134886.0,H0AL02087,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Romney,62.9,C00462143,True,True,99.3,0,0.5,0.0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-24.656666667,6.5,0.0220244098603448,0.0,False,True,-16.414324377,16.414324377,269.4300447533764,0.0004850746296964,True,3,5.492542679051499,0.42857142857142855,6.876268170672929,0.8868408555616728,0.8868408555616728,7.7536664301712905,6.5,4.0,26.25,3.547363422246691,6.231676118789691,7.431920485916653e-05,3.800139573662656e-05,2016,4.0,0.8,1.2
2016,2016,AL-3,AL-3,AL,3,House,2016-11-08,General,-33.99987461,R,True,True,D_vs_R,False,False,False,JESSE SMITH,MIKE ROGERS,94549,192164,391,287104,32.9319689,66.93184351,-25.5,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.5999999999999999,53.0,45.0,8.0,D,1.843333333,2016-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0.5,1.333333333,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,JESSE SMITH,"SMITH, JESSE TREMAIN",JESSE SMITH,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_3_D_JESSE_SMITH,0.329319689,94549.0,H4AL03061,C,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Obama,36.8,C00569699,"Verified pre-election historical snapshot; presidential-election year, so no midterm adjustment.",election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.8499999999999999,0.51,RealClearPolitics final 2016 generic congressional ballot average,MIKE ROGERS,"ROGERS, MICHAEL DENNIS",MIKE ROGERS,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_3_R_MIKE_ROGERS,0.6693184351,192164.0,H2AL03032,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+scope_same_race,88.75,Romney,62.3,C00367862,True,True,99.1,0,0.5,0.0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-23.656666667,6.5,0.0255935741963209,0.0,False,True,10.343207943,10.343207943,106.98195055213829,0.0006550310401425,True,3,7.281901877920413,0.42857142857142855,7.555089649845737,0.9743893057414946,0.9743893057414946,7.7536664301712905,6.5,4.0,26.25,3.8975572229659785,6.437464742139896,0.0001365907686687685,0.00011899826313439265,2016,4.0,0.8,1.2
2016,2016,AL-5,AL-5,AL,5,House,2016-11-08,General,-33.54014906,R,True,True,D_vs_R,False,False,False,WILL BOYD JR,MO BROOKS,102234,205647,445,308326,33.15776159,66.69791065,-29.0,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.5999999999999999,53.0,45.0,8.0,D,1.843333333,2016-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0.5,1.333333333,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,WILL BOYD JR,"BOYD, WILLIE ""WILL"" DR. JR.",WILL BOYD JR,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_5_D_WILL_BOYD,0.3315776159,102234.0,H6AL05202,C,C,True,False,False,high_confidence_automatic,last_exact+alternate_given_name_match+token_overlap+scope_same_race,92.0,Obama,34.9,C00581819,"Verified pre-election historical snapshot; presidential-election year, so no midterm adjustment.",election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.8499999999999999,0.51,RealClearPolitics final 2016 generic congressional ballot average,MO BROOKS,"BROOKS, MO",MO BROOKS,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_5_R_MO_BROOKS,0.6669791065,205647.0,H0AL05163,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Romney,63.9,C00464149,True,True,98.8,0,0.5,0.0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-27.156666667,6.5,0.0150984630770041,0.0,False,True,6.383482392999998,6.383482392999998,40.74884746174098,0.0002279635872876,True,2,6.435683532724684,0.3333333333333333,7.340679095608572,0.9467365099747276,0.9467365099747276,7.7536664301712905,6.5,4.0,26.25,3.7869460398989103,6.371103539349053,1.4707497645763522e-05,1.0108776693980473e-05,2016,4.0,0.8,1.2
2016,2016,AL-6,AL-6,AL,6,House,2016-11-08,General,-49.07411344,R,True,True,D_vs_R,False,False,False,DAVID J PUTNAM,GARY J PALMER,83709,245313,284,329306,25.41982229,74.49393573,-49.6,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.5999999999999999,53.0,45.0,8.0,D,1.843333333,2016-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0.5,1.333333333,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,DAVID J PUTNAM,,DAVID J PUTNAM,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_6_D_DAVID_J_PUTNAM,0.2541982228999999,83709.0,,,,False,False,False,unmatched,last_name_mismatch+scope_same_race,0.0,Obama,24.7,,"Verified pre-election historical snapshot; presidential-election year, so no midterm adjustment.",election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.8499999999999999,0.51,RealClearPolitics final 2016 generic congressional ballot average,GARY J PALMER,"PALMER, GARY",GARY J PALMER,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AL_6_R_GARY_J_PALMER,0.7449393573,245313.0,H4AL06098,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Romney,74.3,C00551374,True,True,99.0,0,0.5,0.0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-47.756666667000005,6.5,0.0006439923653039,0.0,False,True,1.3174467729999932,1.3174467729999932,1.7356659996880957,4.1472616656982243e-07,True,1,1.2455363429999975,0.2,6.957423851156326,0.8973076045783189,0.8973076045783189,7.7536664301712905,6.5,4.0,26.25,3.5892304183132757,6.255603487733641,1.0121647927314939e-13,1.1359394651023445e-14,2016,4.0,0.8,1.2
2016,2016,AR-2,AR-2,AR,2,House,2016-11-08,General,-21.53148804,R,True,True,D_vs_R,False,False,False,DIANNE CURRY,J FRENCH HILL,111347,176472,14645,302464,36.81330671,58.34479475,-11.8,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.5999999999999999,53.0,45.0,8.0,D,1.843333333,2016-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0.5,1.333333333,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,DIANNE CURRY,"CURRY, DIANNE",DIANNE CURRY,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AR_2_D_DIANNE_CURRY,0.3681330670999999,111347.0,H6AR02245,C,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Obama,42.9,C00587105,"Verified pre-election historical snapshot; presidential-election year, so no midterm adjustment.",election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.8499999999999999,0.51,RealClearPolitics final 2016 generic congressional ballot average,J FRENCH HILL,"HILL, JAMES FRENCH",J FRENCH HILL,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AR_2_R_J_FRENCH_HILL,0.5834479475,176472.0,H4AR02141,C,I,False,True,False,probable_automatic,last_exact+first_initial+token_overlap+scope_same_race,74.5,Romney,54.7,C00551275,True,True,97.6,0,0.5,0.0,3,1,1,1,CHRIS HAYES,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-9.956666667,6.5,0.1777312263773784,0.0,False,True,11.574821373,11.574821373,133.9764898168576,0.0315883888296068,True,3,6.6580885091273565,0.42857142857142855,7.304282503412267,0.9420423962255627,0.9420423962255627,7.7536664301712905,6.5,4.0,26.25,3.768169584902251,6.3599608505542236,0.06278653097052489,0.0587301335049959,2016,4.0,0.8,1.2
2016,2016,AZ-1,AZ-1,AZ,1,House,2016-11-08,General,7.293648249,D,True,True,D_vs_R,False,False,False,TOM O'HALLERAN,PAUL BABEU,142219,121745,16746,280710,50.66403049,43.37038225,-2.5,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.5999999999999999,53.0,45.0,8.0,D,1.843333333,2016-11-08,reduced_double_count_v1,OPEN,OPEN,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0.5,1.333333333,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,TOM O'HALLERAN,"O'HALLERAN, TOM",TOM O'HALLERAN,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AZ_1_D_TOM_O_HALLERAN,0.5066403049,142219.0,H6AZ01199,C,O,False,False,True,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Obama,47.9,C00582890,"Verified pre-election historical snapshot; presidential-election year, so no midterm adjustment.",election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.8499999999999999,0.51,RealClearPolitics final 2016 generic congressional ballot average,PAUL BABEU,"BABEU, PAUL RAYMOND",PAUL BABEU,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AZ_1_R_PAUL_BABEU,0.4337038225,121745.0,H2AZ04127,C,O,False,False,True,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Romney,50.4,C00588673,True,True,98.3,0,0.5,0.0,3,1,1,1,RAY PARRISH,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-0.656666667,6.5,0.4747650487856435,1.0,False,False,-7.950314916,7.950314916,63.20750726357208,0.2758717539771473,True,3,1.0478111569619815,0.42857142857142855,5.901223808952353,0.7610881719117217,0.8,7.7536664301712905,6.5,4.0,26.25,3.2,6.040695324215583,0.45976505283385516,0.4567173922344453,2016,4.0,0.8,1.2
2016,2016,AZ-2,AZ-2,AZ,2,House,2016-11-08,General,-13.91698529,R,True,True,D_vs_R,False,False,False,MATT HEINZ,MARTHA MCSALLY,135873,179806,0,315679,43.04150735,56.95849265,-1.5,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.5999999999999999,53.0,45.0,8.0,D,1.843333333,2016-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0.5,1.333333333,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,MATT HEINZ,"HEINZ, MATTHEW GERALD DR.",MATT HEINZ,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AZ_2_D_MATT_HEINZ,0.4304150735,135873.0,H6AZ02189,C,C,True,False,False,high_confidence_automatic,last_exact+first_match+scope_same_race,88.75,Obama,48.4,C00582221,"Verified pre-election historical snapshot; presidential-election year, so no midterm adjustment.",election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.8499999999999999,0.51,RealClearPolitics final 2016 generic congressional ballot average,MARTHA MCSALLY,"MCSALLY, MARTHA E. MS.",MARTHA MCSALLY,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AZ_2_R_MARTHA_MCSALLY,0.5695849265,179806.0,H2AZ08102,C,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Romney,49.9,C00512236,True,True,98.3,0,0.5,0.0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,0.3433333329999999,6.5,0.5132020588491198,0.0,True,False,14.260318623,14.260318623,203.3566872294806,0.2633763532069756,True,3,2.1651560121705096,0.42857142857142855,6.030175004716756,0.7777191679605876,0.8,7.7536664301712905,6.5,4.0,26.25,3.2,6.040695324215583,0.5210625412562908,0.522662370162701,2016,4.0,0.8,1.2
2016,2016,AZ-4,AZ-4,AZ,4,House,2016-11-08,General,-42.9067044,R,True,True,D_vs_R,False,False,False,MIKEL WEISSER,PAUL A GOSAR,81296,203487,0,284783,28.5466478,71.4533522,-36.2,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.5999999999999999,53.0,45.0,8.0,D,1.843333333,2016-11-08,reduced_double_count_v1,R,R,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0.5,1.333333333,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,MIKEL WEISSER,"WEISSER, MIKEL",MIKEL WEISSER,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AZ_4_D_MIKEL_WEISSER,0.285466478,81296.0,H2AZ04143,C,C,True,False,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Obama,31.0,C00605741,"Verified pre-election historical snapshot; presidential-election year, so no midterm adjustment.",election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.8499999999999999,0.51,RealClearPolitics final 2016 generic congressional ballot average,PAUL A GOSAR,"GOSAR, PAUL DR.",PAUL A GOSAR,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AZ_4_R_PAUL_A_GOSAR,0.7145335219999999,203487.0,H0AZ01259,P,I,False,True,False,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,95.0,Romney,67.2,C00461806,True,True,98.2,0,0.5,0.0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-34.356666667000006,6.5,0.0050382724023014,0.0,False,True,8.550037732999996,8.550037732999996,73.10314523572372,2.538418879979264e-05,True,3,4.677012276183859,0.42857142857142855,6.6127658351769485,0.8528566317278189,0.8528566317278189,7.7536664301712905,6.5,4.0,26.25,3.4114265269112756,6.155309167581587,6.263266273755319e-08,1.191364970449724e-08,2016,4.0,0.8,1.2
2016,2016,AZ-5,AZ-5,AZ,5,House,2016-11-08,General,-28.19032625,R,True,True,D_vs_R,False,False,False,TALIA FUENTES,ANDY BIGGS,114940,205184,0,320124,35.90483688,64.09516312,-29.2,2012,2016,same_election_boundary_set,most_recent_completed_presidential_election_on_target_house_boundaries,0.5999999999999999,53.0,45.0,8.0,D,1.843333333,2016-11-08,reduced_double_count_v1,OPEN,OPEN,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,2.666666667,0.5,1.333333333,"Gallup presidential job approval, 2016-10-31 through 2016-11-06",True,TALIA FUENTES,"FUENTES, TALIA",TALIA FUENTES,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AZ_5_D_TALIA_FUENTES,0.3590483688,114940.0,H6AZ05133,C,O,False,False,True,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Obama,34.6,C00615542,"Verified pre-election historical snapshot; presidential-election year, so no midterm adjustment.",election_day,historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,0.8499999999999999,0.51,RealClearPolitics final 2016 generic congressional ballot average,ANDY BIGGS,"BIGGS, ANDY",ANDY BIGGS,historical/house/processed/house_candidate_registry_2016.csv,HOUSE_2016_AZ_5_R_ANDY_BIGGS,0.6409516311999999,205184.0,H6AZ05083,C,O,False,False,True,high_confidence_automatic,last_exact+first_match+token_overlap+scope_same_race,100.0,Romney,63.8,C00610451,True,True,98.4,0,0.5,0.0,2,1,1,0,,True,Congressional district lines used in the 2016 elections,presidential_results_on_2016_districts.csv,Daily Kos Elections presidential results by congressional district,1,True,2026-07-15,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,,-27.356666667,6.5,0.0146476706557107,0.0,False,True,0.8336595829999993,0.8336595829999993,0.6949883003277327,0.0002145542556381,True,3,3.3605886312183397,0.42857142857142855,6.260511620880775,0.8074259677356885,0.8074259677356885,7.7536664301712905,6.5,4.0,26.25,3.229703870942754,6.0564830631301705,1.2841186565036206e-05,3.1372378092326283e-06,2016,4.0,0.8,1.2
