specification_id,model_family,model_label,generic_ballot_coefficient,approval_coefficient,midterm_coefficient,complexity_score,cycle,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins,predicted_dem_wins,expected_dem_wins,predicted_win_count_error,expected_win_count_error
generic_only__gb_0.00,generic_only,Generic ballot only,0.0,0.0,0.0,1,2016,345,4.367336164582319,9.303946556519131,7.445608669999999,11.75130458745267,0.9391304347826087,0.053006140241977244,0.1817620109780871,149,164,172.36437455100543,15,23.364374551005426
generic_only__gb_0.05,generic_only,Generic ballot only,0.05,0.0,0.0,1,2016,345,4.3973361645823195,9.312207426084347,7.47286341,11.762486968195166,0.9391304347826087,0.053126667151743155,0.18207541704488095,149,164,172.4898436169863,15,23.489843616986292
generic_only__gb_0.10,generic_only,Generic ballot only,0.1,0.0,0.0,1,2016,345,4.427336164582319,9.320641882490145,7.442863409999999,11.77373516972571,0.9391304347826087,0.053247875604573586,0.18239050207635293,149,164,172.61537976712384,15,23.61537976712384
generic_only__gb_0.15,generic_only,Generic ballot only,0.15,0.0,0.0,1,2016,345,4.45733616458232,9.32907666509884,7.421298752,11.785049003576992,0.9391304347826087,0.053369765657796685,0.18270726696981676,149,164,172.7409829813477,15,23.740982981347713
generic_only__gb_0.20,generic_only,Generic ballot only,0.2,0.0,0.0,1,2016,345,4.487336164582318,9.337511447707536,7.391298752000001,11.796428280907147,0.936231884057971,0.05349233736436509,0.18302571262231163,149,165,172.86665323869744,16,23.866653238697438
generic_only__gb_0.25,generic_only,Generic ballot only,0.25,0.0,0.0,1,2016,345,4.517336164582318,9.34606300562058,7.3958527400000005,11.807872812512036,0.936231884057971,0.05361559077284506,0.1833458399305904,149,165,172.99239051732172,16,23.992390517321724
generic_only__gb_0.30,generic_only,Generic ballot only,0.3,0.0,0.0,1,2016,345,4.547336164582319,9.354774940113332,7.42585274,11.819382408837436,0.936231884057971,0.05373952592740589,0.18366764979110758,149,165,173.11819479447803,16,24.11819479447803
generic_only__gb_0.35,generic_only,Generic ballot only,0.35,0.0,0.0,1,2016,345,4.577336164582319,9.363557548808984,7.455852740000001,11.830956879991186,0.936231884057971,0.05386414286780942,0.18399114310000755,149,165,173.2440660465317,16,24.244066046531714
generic_only__gb_0.40,generic_only,Generic ballot only,0.4,0.0,0.0,1,2016,345,4.607336164582319,9.372466053794492,7.48585274,11.84259603575524,0.936231884057971,0.05398944162939984,0.18431632075311244,149,165,173.37000424895564,16,24.370004248955638
generic_only__gb_0.45,generic_only,Generic ballot only,0.45,0.0,0.0,1,2016,345,4.637336164582319,9.381422575533621,7.51585274,11.854299685597653,0.936231884057971,0.054115422243093604,0.1846431836459104,149,165,173.49600937632943,16,24.496009376329425
generic_only__gb_0.50,generic_only,Generic ballot only,0.5,0.0,0.0,1,2016,345,4.667336164582318,9.390379097272755,7.545852740000001,11.866067638684502,0.9333333333333333,0.05424208473536954,0.18497173267354342,149,166,173.62208140233912,17,24.62208140233912
generic_only__gb_0.55,generic_only,Generic ballot only,0.55,0.0,0.0,1,2016,345,4.6973361645823175,9.399335619011884,7.57585274,11.8778997038917,0.9333333333333333,0.05436942912825921,0.18530196873079552,149,166,173.74822029977653,17,24.748220299776534
generic_only__gb_0.60,generic_only,Generic ballot only,0.6,0.0,0.0,1,2016,345,4.727336164582319,9.40833956851913,7.604799159999999,11.88979568981677,0.9333333333333333,0.05449745543933742,0.18563389271208083,149,166,173.87442604053885,17,24.87442604053885
generic_only__gb_0.65,generic_only,Generic ballot only,0.65,0.0,0.0,1,2016,345,4.757336164582319,9.41747000330174,7.574799159999998,11.901755404790523,0.9333333333333333,0.05462616368171288,0.18596750551143137,149,166,174.00069859562814,17,25.000698595628137
generic_only__gb_0.70,generic_only,Generic ballot only,0.7,0.0,0.0,1,2016,345,4.78733616458232,9.426600438084348,7.544799159999997,11.913778656888642,0.9304347826086956,0.05475555386401911,0.18630280802248542,149,167,174.12703793515084,18,25.127037935150838
generic_only__gb_0.75,generic_only,Generic ballot only,0.75,0.0,0.0,1,2016,345,4.817336164582319,9.435730872866957,7.514799159999999,11.925865253943224,0.9304347826086956,0.054885625990405605,0.1866398011384752,149,167,174.25344402831757,18,25.253444028317574
generic_only__gb_0.80,generic_only,Generic ballot only,0.8,0.0,0.0,1,2016,345,4.847336164582319,9.444930893075654,7.501824650000003,11.9380150035542,0.9304347826086956,0.055016380060529,0.18697848575221518,149,167,174.37991684344243,18,25.37991684344243
generic_only__gb_0.85,generic_only,Generic ballot only,0.85,0.0,0.0,1,2016,345,4.877336164582319,9.454235240901738,7.510914817,11.950227713100707,0.9304347826086956,0.05514781606954461,0.18731886275608975,149,167,174.5064563479429,18,25.5064563479429
generic_only__gb_0.90,generic_only,Generic ballot only,0.9,0.0,0.0,1,2016,345,4.907336164582318,9.463621405771304,7.540914817000001,11.962503189752347,0.9304347826086956,0.05527993400809808,0.18766093304204162,149,167,174.63306250833932,18,25.63306250833932
generic_only__gb_0.95,generic_only,Generic ballot only,0.95,0.0,0.0,1,2016,345,4.937336164582319,9.473099666640868,7.570914817,11.974841240480394,0.9304347826086956,0.05541273386231725,0.1880046975015595,149,167,174.7597352902547,18,25.759735290254696
generic_only__gb_1.00,generic_only,Generic ballot only,1.0,0.0,0.0,1,2016,345,4.96733616458232,9.482737013597392,7.561061389999999,11.98724167206889,0.9304347826086956,0.05554621561380416,0.18835015702566615,149,167,174.88647465841436,18,25.886474658414357
generic_only__gb_1.05,generic_only,Generic ballot only,1.05,0.0,0.0,1,2016,345,4.997336164582319,9.492563100553912,7.54625753,11.999704291125676,0.9304347826086956,0.05568037923962736,0.1886973125049066,149,167,175.01328057664568,18,26.013280576645684
generic_only__gb_1.10,generic_only,Generic ballot only,1.1,0.0,0.0,1,2016,345,5.0273361645823185,9.502389187510435,7.516257530000001,12.012228904093314,0.9304347826086956,0.05581522471231429,0.18904616482933576,149,167,175.14015300787776,18,26.140153007877757
generic_plus_approval__gb_0.00,generic_plus_approval,Generic ballot + approval,0.0,0.5,0.0,2,2016,345,5.700669498082318,9.736694020636522,7.7840865765,12.309230969438493,0.9246376811594202,0.05902102819889831,0.1973242998436811,149,169,178.0051420005774,20,29.005142000577393
generic_plus_approval__gb_0.05,generic_plus_approval,Generic ballot + approval,0.05,0.5,0.0,2,2016,345,5.730669498082318,9.748223890164057,7.754086576499999,12.323153298927538,0.9246376811594202,0.059171840179578855,0.19771318741620622,149,169,178.13356098474281,20,29.133560984742815
generic_plus_approval__gb_0.10,generic_plus_approval,Generic ballot + approval,0.1,0.5,0.0,2,2016,345,5.760669498082319,9.759789107555362,7.7240865764999995,12.337132867840632,0.9246376811594202,0.059323331906224123,0.19810379340549025,149,169,178.26204529612323,20,29.262045296123233
generic_plus_approval__gb_0.15,generic_plus_approval,Generic ballot + approval,0.15,0.5,0.0,2,2016,345,5.790669498082317,9.771433214474202,7.6940865765,12.351169481819872,0.9217391304347826,0.05947550323386129,0.19849611868507597,149,170,178.39059487477516,21,29.39059487477516
generic_plus_approval__gb_0.20,generic_plus_approval,Generic ballot + approval,0.2,0.5,0.0,2,2016,345,5.820669498082318,9.783172344908985,7.664086576499999,12.365262946598566,0.9217391304347826,0.05962835401284571,0.1988901641276981,149,170,178.51920965985812,21,29.51920965985812
generic_plus_approval__gb_0.25,generic_plus_approval,Generic ballot + approval,0.25,0.5,0.0,2,2016,345,5.850669498082319,9.794911475343767,7.6340865765,12.379413068009661,0.9217391304347826,0.05978188408885868,0.1992859306052716,149,170,178.64788958963464,21,29.647889589634644
