specification_id,cycle,estimate_margin_dem,environment_margin_dem,input_questions,retained_questions,aggregated_rows,unique_polls,unique_pollsters,effective_sample_size,weighted_mean_poll_age_days
lb21__equal__q_all__sample_equal__quality_off__partisan_include__poll_level,2018,8.344946560152216,7.510451904136995,1773,141,66,66,19,66.0,9.909090909090908
lb21__equal__q_all__sample_equal__quality_off__partisan_include__poll_level,2020,7.964985117580555,7.168486605822499,943,71,61,61,14,61.0,10.540983606557377
lb21__equal__q_all__sample_equal__quality_off__partisan_include__poll_level,2022,-0.01065398397386611,-0.0095885855764795,1364,93,69,69,33,69.0,11.594202898550725
lb21__equal__q_all__sample_equal__quality_off__partisan_include__poll_level,2024,-0.0864910694265159,-0.07784196248386431,735,47,34,34,22,34.0,10.235294117647058
lb21__equal__q_all__sample_equal__quality_off__partisan_downweight__poll_level,2018,8.344946560152216,7.510451904136995,1773,141,66,66,19,66.0,9.909090909090908
lb21__equal__q_all__sample_equal__quality_off__partisan_downweight__poll_level,2020,7.964985117580555,7.168486605822499,943,71,61,61,14,61.0,10.540983606557377
lb21__equal__q_all__sample_equal__quality_off__partisan_downweight__poll_level,2022,-0.01065398397386611,-0.0095885855764795,1364,93,69,69,33,69.0,11.594202898550725
lb21__equal__q_all__sample_equal__quality_off__partisan_downweight__poll_level,2024,-0.0864910694265159,-0.07784196248386431,735,47,34,34,22,34.0,10.235294117647058
lb21__equal__q_all__sample_equal__quality_off__partisan_exclude__poll_level,2018,8.344946560152216,7.510451904136995,1773,141,66,66,19,66.0,9.909090909090908
lb21__equal__q_all__sample_equal__quality_off__partisan_exclude__poll_level,2020,7.964985117580555,7.168486605822499,943,71,61,61,14,61.0,10.540983606557377
lb21__equal__q_all__sample_equal__quality_off__partisan_exclude__poll_level,2022,-0.01065398397386611,-0.0095885855764795,1364,93,69,69,33,69.0,11.594202898550725
lb21__equal__q_all__sample_equal__quality_off__partisan_exclude__poll_level,2024,-0.0864910694265159,-0.07784196248386431,735,47,34,34,22,34.0,10.235294117647058
lb21__equal__q_all__sample_equal__quality_on__partisan_include__poll_level,2018,8.40228205603204,7.562053850428837,1773,141,66,66,19,64.33472584856398,10.074707185818298
lb21__equal__q_all__sample_equal__quality_on__partisan_include__poll_level,2020,8.066419427599884,7.259777484839896,943,71,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_all__sample_equal__quality_on__partisan_include__poll_level,2022,-0.06954012646065393,-0.06258611381458853,1364,93,69,69,33,67.11910000106286,11.704735376044564
lb21__equal__q_all__sample_equal__quality_on__partisan_include__poll_level,2024,0.08933966236980084,0.08040569613282077,735,47,34,34,22,32.84174097399764,10.386634844868734
lb21__equal__q_all__sample_equal__quality_on__partisan_downweight__poll_level,2018,8.40228205603204,7.562053850428837,1773,141,66,66,19,64.33472584856398,10.074707185818298
lb21__equal__q_all__sample_equal__quality_on__partisan_downweight__poll_level,2020,8.066419427599884,7.259777484839896,943,71,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_all__sample_equal__quality_on__partisan_downweight__poll_level,2022,-0.06954012646065393,-0.06258611381458853,1364,93,69,69,33,67.11910000106286,11.704735376044564
lb21__equal__q_all__sample_equal__quality_on__partisan_downweight__poll_level,2024,0.08933966236980084,0.08040569613282077,735,47,34,34,22,32.84174097399764,10.386634844868734
lb21__equal__q_all__sample_equal__quality_on__partisan_exclude__poll_level,2018,8.40228205603204,7.562053850428837,1773,141,66,66,19,64.33472584856398,10.074707185818298
lb21__equal__q_all__sample_equal__quality_on__partisan_exclude__poll_level,2020,8.066419427599884,7.259777484839896,943,71,61,61,14,60.020289455230994,10.490153172866522
lb21__equal__q_all__sample_equal__quality_on__partisan_exclude__poll_level,2022,-0.06954012646065393,-0.06258611381458853,1364,93,69,69,33,67.11910000106286,11.704735376044564
lb21__equal__q_all__sample_equal__quality_on__partisan_exclude__poll_level,2024,0.08933966236980084,0.08040569613282077,735,47,34,34,22,32.84174097399764,10.386634844868734
lb21__equal__q_all__sample_sqrt__quality_off__partisan_include__poll_level,2018,8.364101804760827,7.527691624284744,1773,141,66,66,19,63.06316447866428,9.756646460564687
lb21__equal__q_all__sample_sqrt__quality_off__partisan_include__poll_level,2020,7.726439521842942,6.953795569658648,943,71,61,61,14,51.92370711793631,11.076464915712585
lb21__equal__q_all__sample_sqrt__quality_off__partisan_include__poll_level,2022,0.08203245377098871,0.07382920839388984,1364,93,69,69,33,42.575155883601035,12.942482986292356
lb21__equal__q_all__sample_sqrt__quality_off__partisan_include__poll_level,2024,-0.07870140014448403,-0.07083126013003563,735,47,34,34,22,32.09971288447408,10.047870859326569
lb21__equal__q_all__sample_sqrt__quality_off__partisan_downweight__poll_level,2018,8.364101804760827,7.527691624284744,1773,141,66,66,19,63.06316447866428,9.756646460564687
lb21__equal__q_all__sample_sqrt__quality_off__partisan_downweight__poll_level,2020,7.726439521842942,6.953795569658648,943,71,61,61,14,51.92370711793631,11.076464915712585
