specification_id,training_environment_mae,training_environment_max_error,training_raw_mae,complexity_score,training_simplicity_adjusted_score,held_out_cycle
lb21__equal__q_all__sample_equal__quality_off__partisan_downweight__poll_level,3.900586250628751,4.707674873660787,4.298302807309085,1,3.930586250628751,2018
lb21__equal__q_all__sample_equal__quality_off__partisan_exclude__poll_level,3.900586250628751,4.707674873660787,4.298302807309085,1,3.930586250628751,2018
lb21__equal__q_all__sample_equal__quality_off__partisan_include__poll_level,3.900586250628751,4.707674873660787,4.298302807309085,0,3.900586250628751,2018
lb21__equal__q_all__sample_equal__quality_on__partisan_downweight__poll_level,3.919732926018395,4.798965752678184,4.319576891075356,2,3.979732926018395,2018
lb21__equal__q_all__sample_equal__quality_on__partisan_exclude__poll_level,3.919732926018395,4.798965752678184,4.319576891075356,2,3.979732926018395,2018
lb21__equal__q_all__sample_equal__quality_on__partisan_include__poll_level,3.919732926018395,4.798965752678184,4.319576891075356,1,3.949732926018395,2018
lb21__equal__q_all__sample_sqrt__quality_off__partisan_downweight__poll_level,3.8349496295320096,4.492983837496935,4.225373228312706,2,3.8949496295320096,2018
lb21__equal__q_all__sample_sqrt__quality_off__partisan_exclude__poll_level,3.8349496295320096,4.492983837496935,4.225373228312706,2,3.8949496295320096,2018
lb21__equal__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3.8349496295320096,4.492983837496935,4.225373228312706,1,3.8649496295320094,2018
lb21__equal__q_all__sample_sqrt__quality_on__partisan_downweight__poll_level,3.8460527201603827,4.5581014190162215,4.237709995677565,3,3.9360527201603825,2018
lb21__equal__q_all__sample_sqrt__quality_on__partisan_exclude__poll_level,3.8460527201603827,4.5581014190162215,4.237709995677565,3,3.9360527201603825,2018
lb21__equal__q_all__sample_sqrt__quality_on__partisan_include__poll_level,3.8460527201603827,4.5581014190162215,4.237709995677565,2,3.9060527201603827,2018
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_downweight__poll_level,3.96909505041244,4.720285302327062,4.374423695957629,2,4.029095050412439,2018
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_exclude__poll_level,3.96909505041244,4.720285302327062,4.374423695957629,2,4.029095050412439,2018
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_include__poll_level,3.96909505041244,4.720285302327062,4.374423695957629,1,3.9990950504124396,2018
lb21__equal__q_largest_sample__sample_equal__quality_on__partisan_downweight__poll_level,3.999695439675884,4.815825120687501,4.408424128472567,3,4.089695439675884,2018
lb21__equal__q_largest_sample__sample_equal__quality_on__partisan_exclude__poll_level,3.999695439675884,4.815825120687501,4.408424128472567,3,4.089695439675884,2018
lb21__equal__q_largest_sample__sample_equal__quality_on__partisan_include__poll_level,3.999695439675884,4.815825120687501,4.408424128472567,2,4.059695439675884,2018
lb21__equal__q_largest_sample__sample_sqrt__quality_off__partisan_downweight__poll_level,3.8878950110583457,4.500400159894697,4.284201430008635,3,3.9778950110583455,2018
lb21__equal__q_largest_sample__sample_sqrt__quality_off__partisan_exclude__poll_level,3.8878950110583457,4.500400159894697,4.284201430008635,3,3.9778950110583455,2018
lb21__equal__q_largest_sample__sample_sqrt__quality_off__partisan_include__poll_level,3.8878950110583457,4.500400159894697,4.284201430008635,2,3.9478950110583457,2018
lb21__equal__q_largest_sample__sample_sqrt__quality_on__partisan_downweight__poll_level,3.9074073805382312,4.56914399865955,4.305881840541841,4,4.027407380538231,2018
lb21__equal__q_largest_sample__sample_sqrt__quality_on__partisan_exclude__poll_level,3.9074073805382312,4.56914399865955,4.305881840541841,4,4.027407380538231,2018
lb21__equal__q_largest_sample__sample_sqrt__quality_on__partisan_include__poll_level,3.9074073805382312,4.56914399865955,4.305881840541841,3,3.997407380538231,2018
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_downweight__poll_level,3.8203709966849875,4.695064444994513,4.20917474737157,2,3.8803709966849875,2018
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_exclude__poll_level,3.8203709966849875,4.695064444994513,4.20917474737157,2,3.8803709966849875,2018
lb21__equal__q_prefer_lv__sample_equal__quality_off__partisan_include__poll_level,3.8203709966849875,4.695064444994513,4.20917474737157,1,3.8503709966849873,2018
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_downweight__poll_level,3.826047385522232,4.7821063846688645,4.215481846079621,3,3.9160473855222317,2018
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_exclude__poll_level,3.826047385522232,4.7821063846688645,4.215481846079621,3,3.9160473855222317,2018
lb21__equal__q_prefer_lv__sample_equal__quality_on__partisan_include__poll_level,3.826047385522232,4.7821063846688645,4.215481846079621,2,3.886047385522232,2018
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_downweight__poll_level,3.774121967776306,4.485529049465677,4.157786937473035,3,3.8641219677763057,2018
lb21__equal__q_prefer_lv__sample_sqrt__quality_off__partisan_exclude__poll_level,3.774121967776306,4.485529049465677,4.157786937473035,3,3.8641219677763057,2018
