specification_id,scored_cycles,raw_mae,raw_rmse,raw_mean_error,raw_max_absolute_error,environment_mae,environment_rmse,environment_mean_error,environment_max_absolute_error,mean_effective_sample_size,mean_weighted_poll_age_days,minimum_unique_polls,lookback_days,recency_mode,recency_half_life_days,population_mode,question_selection_mode,duplicate_mode,sample_size_weighting,pollster_quality_weighting,partisan_mode,partisan_weight,complexity_score,estimate_2024_margin_dem,environment_2024_margin_dem,unique_polls_2024,unique_pollsters_2024,effective_sample_size_2024,weighted_mean_poll_age_days_2024,simplicity_adjusted_score,environment_rank,simplicity_adjusted_rank,pareto_optimal
lb21__equal__q_largest_sample__sample_sqrt__quality_on__partisan_include__poll_level,3,3.025328638729752,3.6275864168777154,3.025328638729752,5.350250190973023,2.748794553271243,3.2453919790400185,2.4610819541130655,4.56914399865955,53.32497017936375,11.336545399734652,61,21,equal,,all,largest_sample,poll,True,True,include,0.5,3,0.1231477304896907,0.11083295744072164,34,22,31.412702687167133,10.234342690174623,2.8387945532712426,1,2,True
lb21__equal__q_largest_sample__sample_sqrt__quality_off__partisan_include__poll_level,3,2.9719301219588226,3.5957531566191943,2.9719301219588226,5.273868147900966,2.7708367257252333,3.228510950555658,2.413023289019228,4.500400159894697,52.5345051067751,11.234602929312132,61,21,equal,,all,largest_sample,poll,True,False,include,0.5,2,-0.02261687238926474,-0.020355185150338267,34,22,31.8728628634861,10.029911531190557,2.8308367257252334,4,1,True
lb30__equal__q_largest_sample__sample_sqrt__quality_on__partisan_include__poll_level,3,3.2787326277032296,3.7661494661008565,3.2787326277032296,5.220487611992098,2.7851386218230814,3.3652547413988696,2.689145544189195,4.4523576775767175,74.26312745011059,15.65268001714364,83,30,equal,,all,largest_sample,poll,True,True,include,0.5,3,0.1589497939239253,0.14305481453153276,40,25,37.298465568298425,12.802546389917582,2.875138621823081,13,7,True
lb30__equal__q_largest_sample__sample_sqrt__quality_off__partisan_include__poll_level,3,3.203338528422075,3.7351856779270016,3.203338528422075,5.157678890692619,2.8323846357306692,3.3539732502231274,2.6212908548361553,4.3958298284071855,73.30097386492007,15.572829295226944,83,30,equal,,all,largest_sample,poll,True,False,include,0.5,2,0.02477147293128042,0.02229432563815238,40,25,37.493222900617006,12.733540579023083,2.8923846357306693,37,13,True
lb45__hl14__q_largest_sample__sample_sqrt__quality_on__partisan_include__poll_level,3,3.1796206518436776,3.7277477770525014,3.1796206518436776,5.146308324840685,2.8485147783605367,3.352339944446944,2.599944765915598,4.385596319140445,88.3367733346497,15.266159314945476,126,45,half_life,14.0,all,largest_sample,poll,True,True,include,0.5,4,0.3862556533629914,0.34763008802669226,50,25,37.868242436423024,12.023850092049196,2.968514778360537,52,113,True
lb21__equal__q_largest_sample__sample_equal__quality_off__partisan_include__poll_level,3,3.0038414424364865,3.6948858454547495,3.0038414424364865,5.518184972825814,2.8503832564341276,3.3172139003858954,2.441743477449126,4.720285302327062,65.33333333333333,10.681425804733003,61,21,equal,,all,largest_sample,poll,False,False,include,0.5,1,-0.049413911556408244,-0.04447252040076742,34,22,34.0,10.235294117647058,2.8803832564341274,58,9,True
lb45__hl21__q_largest_sample__sample_sqrt__quality_on__partisan_include__poll_level,3,3.281292546099825,3.786537656844728,3.281292546099825,5.076232060447808,2.8562091397558507,3.402793286231432,2.691449470746129,4.322527681186855,99.79034646533937,17.587925624700436,126,45,half_life,21.0,all,largest_sample,poll,True,True,include,0.5,4,0.4146796955106105,0.3732117259595495,50,25,41.97493146215082,13.659402662008494,2.9762091397558508,70,139,True
lb45__hl30__q_largest_sample__sample_sqrt__quality_on__partisan_include__poll_level,3,3.342915773014736,3.8263326424570723,3.342915773014736,5.027916440165148,2.8640520846227404,3.4379823803206113,2.74691037496955,4.279043622932463,105.66742849008881,19.10930521846887,126,45,half_life,30.0,all,largest_sample,poll,True,True,include,0.5,4,0.44506483048668966,0.4005583474380207,50,25,44.22760148837958,14.795227575674394,2.9840520846227405,82,163,True
lb45__hl14__q_largest_sample__sample_sqrt__quality_off__partisan_include__poll_level,3,3.1132777075801346,3.692543010232446,3.1132777075801346,5.0638792770258885,2.873255038857106,3.3339139185636038,2.540236116078409,4.3114101761071275,85.31667653510188,15.135540445128363,126,45,half_life,14.0,all,largest_sample,poll,True,False,include,0.5,3,0.2504776302413092,0.22542986721717828,50,25,37.11881113829785,11.780850116224899,2.9632550388571057,97,107,True
lb21__equal__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3,2.8601112517291445,3.5538059321394257,2.7737197193544634,5.265627789681229,2.878632246034041,3.2255669521965395,2.2346339266753046,4.492983837496935,52.52067582673387,11.258531454189876,61,21,equal,,all,all,poll,True,False,include,0.5,1,-0.07870140014448403,-0.07083126013003563,34,22,32.09971288447408,10.047870859326569,2.908632246034041,106,20,True
lb60__hl21__q_largest_sample__sample_sqrt__quality_on__partisan_include__poll_level,3,3.332794892172655,3.823438424486228,3.332794892172655,4.966139285861242,2.878678486388664,3.441552668098755,2.7378015822116772,4.2234441840589465,117.87852528734739,20.844320906932445,161,60,half_life,21.0,all,largest_sample,poll,True,True,include,0.5,4,0.494739388493012,0.44526544964371084,60,26,46.46078364847473,15.802426989445111,2.998678486388664,109,210,True
lb45__hl21__q_largest_sample__sample_sqrt__quality_off__partisan_include__poll_level,3,3.2135497761624694,3.7540021623969815,3.2135497761624694,4.999146294451419,2.8871353747238504,3.387439244788066,2.63048097780251,4.253150491790105,97.23613260731571,17.46607903465592,126,45,half_life,21.0,all,largest_sample,poll,True,False,include,0.5,3,0.26879463328486164,0.2419151699563755,50,25,41.360353736716476,13.361596532356133,2.9771353747238503,136,142,True
