retention_level,group_type,group_value,races,layer_2_mae,layer_3_mae,mae_change,layer_2_rmse,layer_3_rmse,improved_races,worsened_races,unchanged_races,mean_margin_change,mean_absolute_margin_change,maximum_absolute_margin_change
0.0,overall,All scored races,400,4.889977875468015,4.889977875468015,0.0,6.475034390695038,6.475034390695038,0,0,400,0.0,0.0,0.0
0.0,reliability,high,282,4.527212393522313,4.527212393522313,0.0,6.11229256460485,6.11229256460485,0,0,282,0.0,0.0,0.0
0.0,reliability,insufficient_single_cycle,4,9.90387383881809,9.90387383881809,0.0,11.807154905976516,11.807154905976516,0,0,4,0.0,0.0,0.0
0.0,reliability,low,45,4.247917724327875,4.247917724327875,0.0,5.3796991344465335,5.3796991344465335,0,0,45,0.0,0.0,0.0
0.0,reliability,medium,58,6.642783895945366,6.642783895945366,0.0,8.10456189013636,8.10456189013636,0,0,58,0.0,0.0,0.0
0.0,reliability,no_scorable_history,11,5.751272390823274,5.751272390823274,0.0,7.168229659240941,7.168229659240941,0,0,11,0.0,0.0,0.0
0.0,prediction_source,Characteristics fallback,15,6.858632776955225,6.858632776955225,0.0,8.651991326928684,8.651991326928684,0,0,15,0.0,0.0,0.0
0.0,prediction_source,District DNA,385,4.813277035150332,4.813277035150332,0.0,6.375190108793527,6.375190108793527,0,0,385,0.0,0.0,0.0
0.0,competitiveness,Within 5,26,5.075360196193751,5.075360196193751,0.0,6.323407802877534,6.323407802877534,0,0,26,0.0,0.0,0.0
0.0,competitiveness,5 to 10,41,5.20584070074331,5.20584070074331,0.0,6.773652040809527,6.773652040809527,0,0,41,0.0,0.0,0.0
0.0,competitiveness,10 to 20,90,5.297625605836458,5.297625605836458,0.0,7.111752847138969,7.111752847138969,0,0,90,0.0,0.0,0.0
0.0,competitiveness,Over 20,243,4.6658683614420235,4.6658683614420235,0.0,6.185638514414538,6.185638514414538,0,0,243,0.0,0.0,0.0
0.0,boundary_status,Configured boundary-break state,64,5.724516986163392,5.724516986163392,0.0,7.198093761780297,7.198093761780297,0,0,64,0.0,0.0,0.0
0.0,boundary_status,Other state,336,4.731018044859373,4.731018044859373,0.0,6.327948376631451,6.327948376631451,0,0,336,0.0,0.0,0.0
0.0,district_type,Exurban,14,4.152407123846518,4.152407123846518,0.0,4.684413331041608,4.684413331041608,0,0,14,0.0,0.0,0.0
0.0,district_type,Mixed,107,5.226749318157319,5.226749318157319,0.0,7.302365227022569,7.302365227022569,0,0,107,0.0,0.0,0.0
0.0,district_type,Rural,138,4.33709595653513,4.33709595653513,0.0,5.657310534134516,5.657310534134516,0,0,138,0.0,0.0,0.0
0.0,district_type,Suburban,69,5.018642171823824,5.018642171823824,0.0,6.498979342501003,6.498979342501003,0,0,69,0.0,0.0,0.0
0.0,district_type,Urban,72,5.469301688233751,5.469301688233751,0.0,6.8985137571554676,6.8985137571554676,0,0,72,0.0,0.0,0.0
0.3,overall,All scored races,400,4.889977875468015,4.882460811496975,-0.007517063971040283,6.475034390695038,6.46880350995698,197,203,0,9.570122472268849e-16,0.23992838838245725,0.4940403717885822
0.3,reliability,high,282,4.527212393522313,4.531505916172514,0.004293522650200425,6.11229256460485,6.11713284146121,132,150,0,-0.008820560323193772,0.2520243066775894,0.4940403717885822
0.3,reliability,insufficient_single_cycle,4,9.90387383881809,10.07768706295057,0.17381322413247924,11.807154905976516,11.858238994276105,2,2,0,0.17381322413248093,0.20693999565838223,0.4433188672715253
0.3,reliability,low,45,4.247917724327875,4.172982207677848,-0.07493551665002586,5.3796991344465335,5.358085082960249,30,15,0,0.036755458834050105,0.16065749922542483,0.4805030443060594
0.3,reliability,medium,58,6.642783895945366,6.614533974392666,-0.028249921552700837,8.10456189013636,8.066766744346138,29,29,0,0.014049214106400632,0.2556130061419311,0.4940403717885822
0.3,reliability,no_scorable_history,11,5.751272390823274,5.760158011460117,0.008885620636842052,7.168229659240941,7.117986867410612,4,7,0,-0.061518631917489894,0.18341809689936756,0.3645857455521621
0.3,prediction_source,Characteristics fallback,15,6.858632776955225,6.9114990918575705,0.0528663149023453,8.651991326928684,8.640194579878438,6,9,0,0.0012365296958356605,0.1896906032351048,0.4433188672715253
0.3,prediction_source,District DNA,385,4.813277035150332,4.803407372002407,-0.009869663147925437,6.375190108793527,6.369238798226356,191,194,0,-4.8176481654939085e-05,0.24188570468689954,0.4940403717885822
0.3,competitiveness,Within 5,26,5.075360196193751,4.9113654197031575,-0.16399477649059288,6.323407802877534,6.206673294201641,18,8,0,-0.07151276091761251,0.27155077681417983,0.4940403717885822
0.3,competitiveness,5 to 10,41,5.20584070074331,5.15920070982672,-0.046639990916590005,6.773652040809527,6.727697262461511,22,19,0,-0.12273482255951307,0.27133298258841865,0.4940403717885822
0.3,competitiveness,10 to 20,90,5.297625605836458,5.294306290958504,-0.003319314877953556,7.111752847138969,7.103100367976787,44,46,0,-0.018135534988308406,0.23559775522772053,0.4940403717885822
0.3,competitiveness,Over 20,243,4.6658683614420235,4.680140034556984,0.01427167311496013,6.185638514414538,6.199685856975607,113,130,0,0.03507678048455185,0.2328501436180832,0.4940403717885822
0.3,boundary_status,Configured boundary-break state,64,5.724516986163392,5.640421054303978,-0.08409593185941423,7.198093761780297,7.154719758188129,40,24,0,-0.02559035954654644,0.21678023720316741,0.4940403717885822
0.3,boundary_status,Other state,336,4.731018044859373,4.738087431914689,0.00706938705531666,6.327948376631451,6.329731100840749,157,179,0,0.004874354199343313,0.24433756003565532,0.4940403717885822
0.3,district_type,Exurban,14,4.152407123846518,3.9400322780421173,-0.21237484580440086,4.684413331041608,4.4572114853065035,11,3,0,-0.1919094693985515,0.37334374449173763,0.4940403717885822
0.3,district_type,Mixed,107,5.226749318157319,5.219529808098074,-0.0072195100592449745,7.302365227022569,7.281460165589781,49,58,0,-0.046859213915151486,0.21813245427110256,0.4940403717885822
0.3,district_type,Rural,138,4.33709595653513,4.371455461771432,0.034359505236300825,5.657310534134516,5.696421184544805,62,76,0,0.029079385723855513,0.23360421540618906,0.4940403717885822
0.3,district_type,Suburban,69,5.018642171823824,4.9456662676508145,-0.07297590417300912,6.498979342501003,6.462840857805865,44,25,0,-0.07103854011174969,0.25942761130082087,0.4940403717885822
0.3,district_type,Urban,72,5.469301688233751,5.483643847879762,0.014342159646011488,6.8985137571554676,6.89899782569036,31,41,0,0.11929684025444415,0.23981226968444272,0.4940403717885822
0.35,overall,All scored races,400,4.889977875468015,4.8814915293776595,-0.008486346090356518,6.475034390695038,6.468994119295896,197,203,0,1.6653345369377348e-16,0.2798563608049033,0.5762566967234442
0.35,reliability,high,282,4.527212393522313,4.532619972831408,0.005407579309095659,6.11229256460485,6.119317761873401,132,150,0,-0.010288444518597176,0.2939652359467355,0.5762566967234442
0.35,reliability,insufficient_single_cycle,4,9.90387383881809,10.106612400492352,0.20273856167426274,11.807154905976516,11.867334991407644,2,2,0,0.20273856167426252,0.24137816487818342,0.5170943117952156
0.35,reliability,low,45,4.247917724327875,4.1605117232035616,-0.08740600112431274,5.3796991344465335,5.355281298370266,30,15,0,0.04287216289143195,0.18739351092365963,0.5604665385440613
0.35,reliability,medium,58,6.642783895945366,6.609832729590843,-0.03295116635452293,8.10456189013636,8.061576487339124,29,29,0,0.01638723103378039,0.2981511531651359,0.5762566967234442
0.35,reliability,no_scorable_history,11,5.751272390823274,5.761636722746163,0.010364331922888083,7.168229659240941,7.1102598493623095,4,7,0,-0.07175632932057102,0.2139418409387816,0.4252587225690263
0.35,prediction_source,Characteristics fallback,15,6.858632776955225,6.920296903478479,0.06166412652325466,8.651991326928684,8.638859128276698,6,9,0,0.001442308278051252,0.22125819398928878,0.5170943117952156
0.35,prediction_source,District DNA,385,4.813277035150332,4.802057553763341,-0.011219481386990719,6.375190108793527,6.369510503450052,191,194,0,-5.61938290148114e-05,0.2821394062652519,0.5762566967234442
0.35,competitiveness,Within 5,26,5.075360196193751,4.884074030979686,-0.191286165214064,6.323407802877534,6.188580656166446,18,8,0,-0.0834136433643365,0.31674122718575887,0.5762566967234428
0.35,competitiveness,5 to 10,41,5.20584070074331,5.152238799992863,-0.05360190075044648,6.773652040809527,6.721456327826395,22,19,0,-0.1431598862356735,0.31648718847097107,0.5762566967234442
0.35,competitiveness,10 to 20,90,5.297625605836458,5.294126662413469,-0.0034989434229886307,7.111752847138969,7.102752296093356,44,46,0,-0.021153581938740017,0.27480504010527107,0.5762566967234442
0.35,competitiveness,Over 20,243,4.6658683614420235,4.682705747031572,0.016837385589548715,6.185638514414538,6.203237265228154,113,130,0,0.04091412525770383,0.271600181392376,0.5762566967234442
0.35,boundary_status,Configured boundary-break state,64,5.724516986163392,5.626426128273089,-0.09809085789030253,7.198093761780297,7.148458030840966,40,24,0,-0.029849010126178833,0.2528559820999403,0.5762566967234442
0.35,boundary_status,Other state,336,4.731018044859373,4.739599224826148,0.008581179966776056,6.327948376631451,6.331310381227958,157,179,0,0.0056855257383199775,0.2849992900820391,0.5762566967234442
0.35,district_type,Exurban,14,4.152407123846518,3.9046896616736744,-0.24771746217284282,4.684413331041608,4.421644746063118,11,3,0,-0.22384631544420358,0.4354741944758252,0.5762566967234442
0.35,district_type,Mixed,107,5.226749318157319,5.21863480726127,-0.008114510896049715,7.302365227022569,7.278950278089791,49,58,0,-0.054657346572798665,0.2544332300037912,0.5762566967234442
0.35,district_type,Rural,138,4.33709595653513,4.3777522975619885,0.04065634102685753,5.657310534134516,5.7041864697902165,62,76,0,0.03391866680714597,0.27247974294750366,0.5762566967234442
0.35,district_type,Suburban,69,5.018642171823824,4.933521894452765,-0.08512027737105839,6.498979342501003,6.458195583359065,44,25,0,-0.08286050453053079,0.3026005704469827,0.5762566967234442
