shrinkage_strength,elasticity_variation_retained,pre_normalization_scored_mean_elasticity,normalized_scored_mean_elasticity,normalized_scored_sd_elasticity,normalized_scored_min_elasticity,normalized_scored_max_elasticity,layer_2_mean_absolute_error,layer_3_mean_absolute_error,layer_3_minus_layer_2_mean_absolute_error,layer_2_median_absolute_error,layer_3_median_absolute_error,layer_3_minus_layer_2_median_absolute_error,layer_2_rmse,layer_3_rmse,layer_3_minus_layer_2_rmse,layer_2_winner_accuracy,layer_3_winner_accuracy,layer_3_minus_layer_2_winner_accuracy,layer_2_brier_score,layer_3_brier_score,layer_3_minus_layer_2_brier_score,layer_2_log_loss,layer_3_log_loss,layer_3_minus_layer_2_log_loss,layer_2_mean_margin_error_dem_bias,layer_3_mean_margin_error_dem_bias,layer_3_minus_layer_2_mean_margin_error_dem_bias,layer_2_predicted_dem_wins_in_scored_sample,layer_3_predicted_dem_wins_in_scored_sample,layer_3_minus_layer_2_predicted_dem_wins_in_scored_sample,layer_2_expected_dem_wins_in_scored_sample,layer_3_expected_dem_wins_in_scored_sample,layer_3_minus_layer_2_expected_dem_wins_in_scored_sample,layer_2_predicted_win_count_error,layer_3_predicted_win_count_error,layer_3_minus_layer_2_predicted_win_count_error,layer_2_expected_win_count_error,layer_3_expected_win_count_error,layer_3_minus_layer_2_expected_win_count_error,mae_rank,rmse_rank,brier_rank,log_loss_rank,combined_rank
0.8,0.19999999999999996,0.9747177505138839,1.0,0.15791223519181877,0.1805088355953704,1.8048202301284562,4.889977875468015,4.892583641820564,0.0026057663525484998,3.5144323278454603,3.6360626464754855,0.12163031863002516,6.475034390695038,6.4657797358349045,-0.009254654860133549,0.9575,0.955,-0.0025000000000000577,0.03472005640995939,0.03470882665643017,-1.1229753529219677e-05,0.12563117592765052,0.1252615706732502,-0.0003696052544003292,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,208.0,-1.0,206.49352343247423,206.35424257411552,-0.13928085835871684,5.0,4.0,-1.0,2.493523432474234,2.354242574115517,-0.13928085835871684,3.0,1.0,2.0,6.0,12.0
0.7,0.30000000000000004,0.9750521618699787,1.0000000000000002,0.23678711460358864,-0.22881515815919862,2.206816304228886,4.889977875468015,4.896719203947536,0.006741328479520803,3.5144323278454603,3.6657071406049657,0.15127481275950538,6.475034390695038,6.467747113748962,-0.0072872769460756714,0.9575,0.955,-0.0025000000000000577,0.03472005640995939,0.03472688262522341,6.826215264016389e-06,0.12563117592765052,0.12514966811018946,-0.0004815078174610632,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,208.0,-1.0,206.49352343247423,206.28337073032483,-0.21015270214940074,5.0,4.0,-1.0,2.493523432474234,2.283370730324833,-0.21015270214940074,4.0,2.0,4.0,4.0,14.0
0.9,0.09999999999999998,0.9743833391577889,1.0000000000000002,0.07898321557808555,0.5901137918548026,1.4025482234522486,4.889977875468015,4.890687091676028,0.0007092162080128972,3.5144323278454603,3.6222013843178154,0.10776905647235502,6.475034390695038,6.468207460986879,-0.00682692970815868,0.9575,0.9575,0.0,0.03472005640995939,0.03470617827683165,-1.3878133127739889e-05,0.12563117592765052,0.12542204094457554,-0.00020913498307498224,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,209.0,0.0,206.49352343247423,206.42417853525245,-0.06934489722178228,5.0,5.0,0.0,2.493523432474234,2.4241785352524516,-0.06934489722178228,2.0,3.0,1.0,8.0,14.0
0.6,0.4,0.9753865732260738,1.0,0.31560790949931117,-0.6378584783929474,2.608536729564046,4.889977875468015,4.90578530367898,0.015807428210964147,3.5144323278454603,3.7352645471609254,0.22083221931546504,6.475034390695038,6.474096560083812,-0.0009378306112264312,0.9575,0.955,-0.0025000000000000577,0.03472005640995939,0.0347591803974683,3.9123987508909996e-05,0.12563117592765052,0.12508618418550035,-0.0005449917421501693,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,208.0,-1.0,206.49352343247423,206.21123723045605,-0.28228620201818444,5.0,4.0,-1.0,2.493523432474234,2.2112372304560495,-0.28228620201818444,5.0,4.0,5.0,2.0,16.0
0.5,0.5,0.9757209845821686,1.0,0.3943746754885615,-1.0466214136937448,3.009981789555363,4.889977875468015,4.92325253217743,0.03327465670941443,3.5144323278454603,3.72479086666171,0.21035853881624966,6.475034390695038,6.484806208669561,0.009771817974522534,0.9575,0.955,-0.0025000000000000577,0.03472005640995939,0.03480456809516241,8.451168520301477e-05,0.12563117592765052,0.12507092984925716,-0.0005602460783933616,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,208.0,-1.0,206.49352343247423,206.1375429708537,-0.35598046162053265,5.0,4.0,-1.0,2.493523432474234,2.1375429708537013,-0.35598046162053265,6.0,6.0,6.0,1.0,19.0
1.0,0.0,0.9740489278016944,0.9999999999999999,2.220446049250313e-16,0.9999999999999997,0.9999999999999997,4.889977875468015,4.889977875468016,8.881784197001252e-16,3.5144323278454603,3.514432327845464,3.552713678800501e-15,6.475034390695038,6.475034390695038,0.0,0.9575,0.9575,0.0,0.03472005640995939,0.034720056409959385,-6.938893903907228e-18,0.12563117592765052,0.12563117592765052,0.0,2.94223873597903,2.9422387359790325,2.6645352591003757e-15,209.0,209.0,0.0,206.49352343247423,206.49352343247423,0.0,5.0,5.0,0.0,2.493523432474234,2.493523432474234,0.0,1.0,5.0,3.0,10.0,19.0
0.4,0.6,0.9760553959382636,1.0,0.4730874681047034,-1.4551042522539592,3.411151767235844,4.889977875468015,4.945257761119305,0.05527988565128972,3.5144323278454603,3.87049179802964,0.3560594701841797,6.475034390695038,6.499845551806403,0.024811161111364832,0.9575,0.955,-0.0025000000000000577,0.03472005640995939,0.03486196751215846,0.00014191110219907016,0.12563117592765052,0.12510368991819706,-0.0005274860094534595,2.94223873597903,2.9422387359790316,1.7763568394002505e-15,209.0,208.0,-1.0,206.49352343247423,206.06202111650208,-0.4315023159721534,5.0,4.0,-1.0,2.493523432474234,2.0620211165020805,-0.4315023159721534,7.0,7.0,7.0,3.0,24.0
0.3,0.7,0.9763898072943584,1.0,0.5517463428050209,-1.8633072818711391,3.812046945250744,4.889977875468015,4.968504862394528,0.07852698692651217,3.5144323278454603,3.858440951148662,0.3440086233032016,6.475034390695038,6.519175714331576,0.04414132363653778,0.9575,0.9525,-0.0050000000000000044,0.03472005640995939,0.034930427877469035,0.00021037146750964297,0.12563117592765052,0.12518423781175958,-0.00044693811589094357,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,207.0,-2.0,206.49352343247423,205.98444058796247,-0.5090828445117666,5.0,3.0,-2.0,2.493523432474234,1.9844405879624674,-0.5090828445117666,8.0,8.0,8.0,5.0,29.0
0.2,0.8,0.9767242186504533,1.0,0.6303513549708478,-2.2712307899486874,4.212667605858229,4.889977875468015,4.993810387327479,0.10383251185946385,3.5144323278454603,3.824128775886244,0.3096964480407838,6.475034390695038,6.542749805600704,0.06771541490566602,0.9575,0.9525,-0.0050000000000000044,0.03472005640995939,0.035009169731053995,0.00028911332109460286,0.12563117592765052,0.12531235029921936,-0.000318825628431163,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,207.0,-2.0,206.49352343247423,205.90460757693108,-0.5889158555431493,5.0,3.0,-2.0,2.493523432474234,1.9046075769310846,-0.5889158555431493,9.0,9.0,9.0,7.0,34.0
0.1,0.9,0.9770586300065482,1.0,0.708902559907698,-2.678875063496536,4.613014030930038,4.889977875468015,5.021187837091459,0.13120996162344323,3.5144323278454603,3.8683023999774733,0.35387007213201294,6.475034390695038,6.570513341608616,0.09547895091357805,0.9575,0.955,-0.0025000000000000577,0.03472005640995939,0.03509761646659127,0.00037756005663187875,0.12563117592765052,0.1254878214444937,-0.0001433544831568323,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,206.0,-3.0,206.49352343247423,205.82236540776174,-0.6711580247124971,5.0,2.0,-3.0,2.493523432474234,1.8223654077617368,-0.6711580247124971,10.0,10.0,10.0,9.0,39.0
