model_name,probability_bucket,races,average_dem_probability,actual_dem_win_rate,calibration_error,bucket_brier_score
baseline_only,0–10%,125,0.026106561158906437,0.0,0.026106561158906437,0.001396596405408584
baseline_only,10–20%,25,0.15419238081621123,0.04,0.11419238081621122,0.050474271631002626
baseline_only,20–30%,16,0.24343770789903674,0.0625,0.18093770789903674,0.08720457213067226
baseline_only,30–40%,13,0.35680176724463514,0.23076923076923078,0.12603253647540436,0.1859559335702733
baseline_only,40–50%,7,0.4562547255927315,0.0,0.4562547255927315,0.20873722478199652
baseline_only,50–60%,9,0.5441906196893055,0.4444444444444444,0.09974617524486107,0.2561484038471555
baseline_only,60–70%,6,0.6546444773198649,0.5,0.15464447731986486,0.28162972703708977
baseline_only,70–80%,22,0.7571382114827867,0.8181818181818182,-0.06104360669903153,0.15285456114556456
baseline_only,80–90%,24,0.8590843129321765,0.875,-0.015915687067823536,0.11142395857071731
baseline_only,90–100%,153,0.9830032840262989,1.0,-0.016996715973701115,0.0008988309414844284
layer_1_baseline_plus_environment,0–10%,133,0.023422317940184383,0.0,0.023422317940184383,0.0012112047872903824
layer_1_baseline_plus_environment,10–20%,27,0.14539945095410545,0.037037037037037035,0.10836241391706841,0.049069135600623814
layer_1_baseline_plus_environment,20–30%,14,0.24321322651328534,0.14285714285714285,0.10035608365614249,0.1325199022081189
layer_1_baseline_plus_environment,30–40%,10,0.338969916008915,0.2,0.138969916008915,0.1894840664724299
layer_1_baseline_plus_environment,40–50%,11,0.4524478604641574,0.36363636363636365,0.08881149682779377,0.2319120822857884
layer_1_baseline_plus_environment,50–60%,6,0.5772807622321728,0.5,0.07728076223217284,0.264201337944175
layer_1_baseline_plus_environment,60–70%,12,0.664953768860379,0.8333333333333334,-0.16837956447295432,0.16366324009549277
layer_1_baseline_plus_environment,70–80%,19,0.753034361973779,0.8421052631578947,-0.08907090118411565,0.14097559141942084
layer_1_baseline_plus_environment,80–90%,23,0.8496159882323195,0.9130434782608695,-0.06342749002854997,0.08158538339278949
layer_1_baseline_plus_environment,90–100%,145,0.9821359823045825,1.0,-0.017864017695417456,0.0009547576561577603
layer_2_plus_incumbency,0–10%,138,0.022091737975567006,0.0,0.022091737975567006,0.0011251478728038543
layer_2_plus_incumbency,10–20%,25,0.13928814943790338,0.04,0.09928814943790337,0.04722893164488417
layer_2_plus_incumbency,20–30%,13,0.24304090232894665,0.15384615384615385,0.0891947484827928,0.13123470157230513
layer_2_plus_incumbency,30–40%,9,0.34230939800467225,0.2222222222222222,0.12008717578245004,0.17688186018051166
layer_2_plus_incumbency,40–50%,8,0.4551367663875949,0.375,0.08013676638759493,0.21401950825607827
layer_2_plus_incumbency,50–60%,8,0.5667401809982203,0.5,0.06674018099822032,0.2575450865689535
layer_2_plus_incumbency,60–70%,8,0.6575684695457085,0.75,-0.09243153045429153,0.17437879949054041
layer_2_plus_incumbency,70–80%,16,0.7433547584412514,0.75,-0.006645241558748571,0.19722958240910568
layer_2_plus_incumbency,80–90%,27,0.8442991972675122,0.9629629629629629,-0.11866376569545067,0.04768536105892323
layer_2_plus_incumbency,90–100%,148,0.9837776922056765,1.0,-0.016222307794323543,0.0008033300837107387
