race_id,baseline_only_presidential_baseline,layer_1_presidential_baseline,layer_1_national_environment,layer_2_presidential_baseline,layer_2_national_environment,layer_2_incumbency,baseline_only_margin_dem,layer_1_margin_dem,layer_2_margin_dem
AK-AL,-10.1,-10.1,-2.136666666666667,-10.1,-2.136666666666667,1.5,-10.1,-12.236666666666666,-10.736666666666666
AL-1,-28.3,-28.3,-2.136666666666667,-28.3,-2.136666666666667,-1.5,-28.3,-30.436666666666667,-31.936666666666667
AL-2,-29.4,-29.4,-2.136666666666667,-29.4,-2.136666666666667,-1.5,-29.4,-31.536666666666665,-33.03666666666666
AL-3,-34.1,-34.1,-2.136666666666667,-34.1,-2.136666666666667,-1.5,-34.1,-36.23666666666667,-37.73666666666667
AL-4,-61.8,-61.8,-2.136666666666667,-61.8,-2.136666666666667,-1.5,-61.8,-63.93666666666667,-65.43666666666667
AL-5,-27.1,-27.1,-2.136666666666667,-27.1,-2.136666666666667,0.0,-27.1,-29.236666666666668,-29.236666666666668
AL-6,-29.9,-29.9,-2.136666666666667,-29.9,-2.136666666666667,-1.5,-29.9,-32.03666666666667,-33.53666666666667
AL-7,32.0,32.0,-2.136666666666667,32.0,-2.136666666666667,1.5,32.0,29.863333333333333,31.363333333333333
AR-1,-40.9,-40.9,-2.136666666666667,-40.9,-2.136666666666667,-1.5,-40.9,-43.03666666666667,-44.53666666666667
AR-2,-13.1,-13.1,-2.136666666666667,-13.1,-2.136666666666667,-1.5,-13.1,-15.236666666666666,-16.736666666666665
AR-3,-23.4,-23.4,-2.136666666666667,-23.4,-2.136666666666667,-1.5,-23.4,-25.536666666666665,-27.036666666666665
AR-4,-35.2,-35.2,-2.136666666666667,-35.2,-2.136666666666667,-1.5,-35.2,-37.33666666666667,-38.83666666666667
AZ-1,1.5,1.5,-2.136666666666667,1.5,-2.136666666666667,-1.5,1.5,-0.6366666666666672,-2.136666666666667
AZ-2,-7.9,-7.9,-2.136666666666667,-7.9,-2.136666666666667,0.0,-7.9,-10.036666666666667,-10.036666666666667
AZ-3,50.6,50.6,-2.136666666666667,50.6,-2.136666666666667,1.5,50.6,48.46333333333333,49.96333333333333
AZ-4,10.3,10.3,-2.136666666666667,10.3,-2.136666666666667,1.5,10.3,8.163333333333334,9.663333333333334
AZ-5,-16.4,-16.4,-2.136666666666667,-16.4,-2.136666666666667,-1.5,-16.4,-18.536666666666665,-20.036666666666665
AZ-6,0.1,0.1,-2.136666666666667,0.1,-2.136666666666667,0.0,0.1,-2.036666666666667,-2.036666666666667
AZ-7,32.8,32.8,-2.136666666666667,32.8,-2.136666666666667,1.5,32.8,30.66333333333333,32.16333333333333
AZ-8,-13.5,-13.5,-2.136666666666667,-13.5,-2.136666666666667,-1.5,-13.5,-15.636666666666667,-17.136666666666667
AZ-9,-25.8,-25.8,-2.136666666666667,-25.8,-2.136666666666667,-1.5,-25.8,-27.936666666666667,-29.436666666666667
CA-1,-19.1,-19.1,-2.136666666666667,-19.1,-2.136666666666667,-1.5,-19.1,-21.236666666666668,-22.736666666666668
CA-2,49.5,49.5,-2.136666666666667,49.5,-2.136666666666667,1.5,49.5,47.36333333333333,48.86333333333333
CA-3,-1.8,-1.8,-2.136666666666667,-1.8,-2.136666666666667,0.0,-1.8,-3.9366666666666674,-3.9366666666666674
CA-4,36.6,36.6,-2.136666666666667,36.6,-2.136666666666667,1.5,36.6,34.46333333333333,35.96333333333333
CA-5,-12.3,-12.3,-2.136666666666667,-12.3,-2.136666666666667,-1.5,-12.3,-14.436666666666667,-15.936666666666667
CA-6,18.4,18.4,-2.136666666666667,18.4,-2.136666666666667,1.5,18.4,16.263333333333332,17.763333333333332
CA-7,37.2,37.2,-2.136666666666667,37.2,-2.136666666666667,1.5,37.2,35.06333333333333,36.56333333333333
CA-8,54.0,54.0,-2.136666666666667,54.0,-2.136666666666667,1.5,54.0,51.86333333333333,53.36333333333333
CA-9,12.6,12.6,-2.136666666666667,12.6,-2.136666666666667,0.0,12.6,10.463333333333333,10.463333333333333
CA-10,39.4,39.4,-2.136666666666667,39.4,-2.136666666666667,1.5,39.4,37.26333333333333,38.76333333333333
CA-11,74.5,74.5,-2.136666666666667,74.5,-2.136666666666667,1.5,74.5,72.36333333333333,73.86333333333333
CA-12,80.7,80.7,-2.136666666666667,80.7,-2.136666666666667,1.5,80.7,78.56333333333333,80.06333333333333
CA-13,10.9,10.9,-2.136666666666667,10.9,-2.136666666666667,0.0,10.9,8.763333333333334,8.763333333333334
CA-14,45.5,45.5,-2.136666666666667,45.5,-2.136666666666667,1.5,45.5,43.36333333333333,44.86333333333333
CA-15,57.3,57.3,-2.136666666666667,57.3,-2.136666666666667,0.0,57.3,55.16333333333333,55.16333333333333
CA-16,53.0,53.0,-2.136666666666667,53.0,-2.136666666666667,1.5,53.0,50.86333333333333,52.36333333333333
CA-17,47.4,47.4,-2.136666666666667,47.4,-2.136666666666667,1.5,47.4,45.26333333333333,46.76333333333333
CA-18,44.1,44.1,-2.136666666666667,44.1,-2.136666666666667,1.5,44.1,41.96333333333333,43.46333333333333
CA-19,39.6,39.6,-2.136666666666667,39.6,-2.136666666666667,1.5,39.6,37.46333333333333,38.96333333333333
CA-20,-24.9,-24.9,-2.136666666666667,-24.9,-2.136666666666667,-1.5,-24.9,-27.036666666666665,-28.536666666666665
CA-21,20.3,20.3,-2.136666666666667,20.3,-2.136666666666667,1.5,20.3,18.163333333333334,19.663333333333334
CA-22,12.9,12.9,-2.136666666666667,12.9,-2.136666666666667,-1.5,12.9,10.763333333333334,9.263333333333334
CA-23,-9.8,-9.8,-2.136666666666667,-9.8,-2.136666666666667,-1.5,-9.8,-11.936666666666667,-13.436666666666667
CA-24,29.1,29.1,-2.136666666666667,29.1,-2.136666666666667,1.5,29.1,26.963333333333335,28.463333333333335
CA-25,15.3,15.3,-2.136666666666667,15.3,-2.136666666666667,1.5,15.3,13.163333333333334,14.663333333333334
CA-26,20.0,20.0,-2.136666666666667,20.0,-2.136666666666667,1.5,20.0,17.863333333333333,19.363333333333333
CA-27,12.4,12.4,-2.136666666666667,12.4,-2.136666666666667,-1.5,12.4,10.263333333333334,8.763333333333334
CA-28,34.2,34.2,-2.136666666666667,34.2,-2.136666666666667,1.5,34.2,32.06333333333333,33.56333333333333
CA-29,51.3,51.3,-2.136666666666667,51.3,-2.136666666666667,1.5,51.3,49.16333333333333,50.66333333333333
CA-30,46.2,46.2,-2.136666666666667,46.2,-2.136666666666667,1.5,46.2,44.06333333333333,45.56333333333333
CA-31,31.1,31.1,-2.136666666666667,31.1,-2.136666666666667,1.5,31.1,28.963333333333335,30.463333333333335
CA-32,40.8,40.8,-2.136666666666667,40.8,-2.136666666666667,1.5,40.8,38.66333333333333,40.16333333333333
CA-33,25.3,25.3,-2.136666666666667,25.3,-2.136666666666667,1.5,25.3,23.163333333333334,24.663333333333334
CA-34,64.2,64.2,-2.136666666666667,64.2,-2.136666666666667,1.5,64.2,62.06333333333333,63.56333333333333
CA-35,27.6,27.6,-2.136666666666667,27.6,-2.136666666666667,0.0,27.6,25.463333333333335,25.463333333333335
CA-36,44.1,44.1,-2.136666666666667,44.1,-2.136666666666667,1.5,44.1,41.96333333333333,43.46333333333333
CA-37,73.3,73.3,-2.136666666666667,73.3,-2.136666666666667,0.0,73.3,71.16333333333333,71.16333333333333
CA-38,30.2,30.2,-2.136666666666667,30.2,-2.136666666666667,1.5,30.2,28.063333333333333,29.563333333333333
CA-39,26.1,26.1,-2.136666666666667,26.1,-2.136666666666667,1.5,26.1,23.963333333333335,25.463333333333335
CA-40,1.9,1.9,-2.136666666666667,1.9,-2.136666666666667,-1.5,1.9,-0.23666666666666725,-1.7366666666666672
CA-41,-1.1,-1.1,-2.136666666666667,-1.1,-2.136666666666667,-1.5,-1.1,-3.2366666666666672,-4.736666666666667
CA-42,45.8,45.8,-2.136666666666667,45.8,-2.136666666666667,0.0,45.8,43.66333333333333,43.66333333333333
CA-43,63.8,63.8,-2.136666666666667,63.8,-2.136666666666667,1.5,63.8,61.66333333333333,63.16333333333333
CA-44,48.2,48.2,-2.136666666666667,48.2,-2.136666666666667,1.5,48.2,46.06333333333333,47.56333333333333
CA-45,6.2,6.2,-2.136666666666667,6.2,-2.136666666666667,-1.5,6.2,4.063333333333333,2.5633333333333326
CA-46,30.4,30.4,-2.136666666666667,30.4,-2.136666666666667,1.5,30.4,28.263333333333332,29.763333333333332
CA-47,11.1,11.1,-2.136666666666667,11.1,-2.136666666666667,1.5,11.1,8.963333333333333,10.463333333333333
CA-48,-12.3,-12.3,-2.136666666666667,-12.3,-2.136666666666667,-1.5,-12.3,-14.436666666666667,-15.936666666666667
CA-49,11.4,11.4,-2.136666666666667,11.4,-2.136666666666667,1.5,11.4,9.263333333333334,10.763333333333334
CA-50,33.1,33.1,-2.136666666666667,33.1,-2.136666666666667,1.5,33.1,30.963333333333335,32.46333333333334
CA-51,27.3,27.3,-2.136666666666667,27.3,-2.136666666666667,0.0,27.3,25.163333333333334,25.163333333333334
CA-52,36.9,36.9,-2.136666666666667,36.9,-2.136666666666667,1.5,36.9,34.76333333333333,36.26333333333333
CO-1,61.3,61.3,-2.136666666666667,61.3,-2.136666666666667,1.5,61.3,59.16333333333333,60.66333333333333
CO-2,39.9,39.9,-2.136666666666667,39.9,-2.136666666666667,1.5,39.9,37.76333333333333,39.26333333333333
CO-3,-8.3,-8.3,-2.136666666666667,-8.3,-2.136666666666667,-1.5,-8.3,-10.436666666666667,-11.936666666666667
CO-4,-18.6,-18.6,-2.136666666666667,-18.6,-2.136666666666667,-1.5,-18.6,-20.736666666666668,-22.236666666666668
CO-5,-10.1,-10.1,-2.136666666666667,-10.1,-2.136666666666667,-1.5,-10.1,-12.236666666666666,-13.736666666666666
CO-6,23.8,23.8,-2.136666666666667,23.8,-2.136666666666667,1.5,23.8,21.663333333333334,23.163333333333334
CO-7,14.2,14.2,-2.136666666666667,14.2,-2.136666666666667,0.0,14.2,12.063333333333333,12.063333333333333
CO-8,4.6,4.6,-2.136666666666667,4.6,-2.136666666666667,0.0,4.6,2.4633333333333325,2.4633333333333325
CT-1,28.1,28.1,-2.136666666666667,28.1,-2.136666666666667,1.5,28.1,25.963333333333335,27.463333333333335
CT-2,11.4,11.4,-2.136666666666667,11.4,-2.136666666666667,1.5,11.4,9.263333333333334,10.763333333333334
CT-3,19.7,19.7,-2.136666666666667,19.7,-2.136666666666667,1.5,19.7,17.563333333333333,19.063333333333333
CT-4,31.0,31.0,-2.136666666666667,31.0,-2.136666666666667,1.5,31.0,28.863333333333333,30.363333333333333
CT-5,10.7,10.7,-2.136666666666667,10.7,-2.136666666666667,1.5,10.7,8.563333333333333,10.063333333333333
DE-AL,19.0,19.0,-2.136666666666667,19.0,-2.136666666666667,1.5,19.0,16.863333333333333,18.363333333333333
FL-1,-32.3,-32.3,-2.136666666666667,-32.3,-2.136666666666667,-1.5,-32.3,-34.43666666666667,-35.93666666666667
FL-2,-11.0,-11.0,-2.136666666666667,-11.0,-2.136666666666667,0.0,-11.0,-13.136666666666667,-13.136666666666667
FL-3,-14.1,-14.1,-2.136666666666667,-14.1,-2.136666666666667,-1.5,-14.1,-16.236666666666668,-17.736666666666668
FL-4,-6.7,-6.7,-2.136666666666667,-6.7,-2.136666666666667,0.0,-6.7,-8.836666666666668,-8.836666666666668
FL-5,-15.8,-15.8,-2.136666666666667,-15.8,-2.136666666666667,-1.5,-15.8,-17.936666666666667,-19.436666666666667
FL-6,-23.7,-23.7,-2.136666666666667,-23.7,-2.136666666666667,-1.5,-23.7,-25.836666666666666,-27.336666666666666
FL-7,-5.5,-5.5,-2.136666666666667,-5.5,-2.136666666666667,0.0,-5.5,-7.636666666666667,-7.636666666666667
FL-8,-17.6,-17.6,-2.136666666666667,-17.6,-2.136666666666667,-1.5,-17.6,-19.736666666666668,-21.236666666666668
FL-9,17.4,17.4,-2.136666666666667,17.4,-2.136666666666667,1.5,17.4,15.263333333333332,16.763333333333332
FL-10,31.8,31.8,-2.136666666666667,31.8,-2.136666666666667,0.0,31.8,29.663333333333334,29.663333333333334
FL-11,-10.9,-10.9,-2.136666666666667,-10.9,-2.136666666666667,-1.5,-10.9,-13.036666666666667,-14.536666666666667
FL-12,-28.7,-28.7,-2.136666666666667,-28.7,-2.136666666666667,-1.5,-28.7,-30.836666666666666,-32.336666666666666
FL-13,-6.8,-6.8,-2.136666666666667,-6.8,-2.136666666666667,0.0,-6.8,-8.936666666666667,-8.936666666666667
FL-14,19.1,19.1,-2.136666666666667,19.1,-2.136666666666667,1.5,19.1,16.963333333333335,18.463333333333335
FL-15,-3.2,-3.2,-2.136666666666667,-3.2,-2.136666666666667,0.0,-3.2,-5.336666666666668,-5.336666666666668
FL-16,-8.9,-8.9,-2.136666666666667,-8.9,-2.136666666666667,-1.5,-8.9,-11.036666666666667,-12.536666666666667
FL-17,-16.0,-16.0,-2.136666666666667,-16.0,-2.136666666666667,-1.5,-16.0,-18.136666666666667,-19.636666666666667
FL-18,-22.8,-22.8,-2.136666666666667,-22.8,-2.136666666666667,-1.5,-22.8,-24.936666666666667,-26.436666666666667
FL-19,-21.0,-21.0,-2.136666666666667,-21.0,-2.136666666666667,0.0,-21.0,-23.136666666666667,-23.136666666666667
FL-20,52.4,52.4,-2.136666666666667,52.4,-2.136666666666667,1.5,52.4,50.26333333333333,51.76333333333333
FL-21,-9.4,-9.4,-2.136666666666667,-9.4,-2.136666666666667,-1.5,-9.4,-11.536666666666667,-13.036666666666667
FL-22,17.6,17.6,-2.136666666666667,17.6,-2.136666666666667,1.5,17.6,15.463333333333335,16.963333333333335
FL-23,13.2,13.2,-2.136666666666667,13.2,-2.136666666666667,0.0,13.2,11.063333333333333,11.063333333333333
FL-24,49.1,49.1,-2.136666666666667,49.1,-2.136666666666667,1.5,49.1,46.96333333333333,48.46333333333333
FL-25,19.9,19.9,-2.136666666666667,19.9,-2.136666666666667,1.5,19.9,17.763333333333332,19.263333333333332
FL-26,-18.3,-18.3,-2.136666666666667,-18.3,-2.136666666666667,-1.5,-18.3,-20.436666666666667,-21.936666666666667
FL-27,-0.3,-0.3,-2.136666666666667,-0.3,-2.136666666666667,-1.5,-0.3,-2.436666666666667,-3.936666666666667
FL-28,-6.3,-6.3,-2.136666666666667,-6.3,-2.136666666666667,-1.5,-6.3,-8.436666666666667,-9.936666666666667
GA-1,-13.4,-13.4,-2.136666666666667,-13.4,-2.136666666666667,-1.5,-13.4,-15.536666666666667,-17.03666666666667
GA-2,10.3,10.3,-2.136666666666667,10.3,-2.136666666666667,1.5,10.3,8.163333333333334,9.663333333333334
GA-3,-30.1,-30.1,-2.136666666666667,-30.1,-2.136666666666667,-1.5,-30.1,-32.23666666666667,-33.73666666666667
GA-4,57.7,57.7,-2.136666666666667,57.7,-2.136666666666667,1.5,57.7,55.56333333333333,57.06333333333333
GA-5,66.5,66.5,-2.136666666666667,66.5,-2.136666666666667,1.5,66.5,64.36333333333333,65.86333333333333
GA-6,-14.9,-14.9,-2.136666666666667,-14.9,-2.136666666666667,0.0,-14.9,-17.03666666666667,-17.03666666666667
GA-7,25.8,25.8,-2.136666666666667,25.8,-2.136666666666667,1.5,25.8,23.663333333333334,25.163333333333334
GA-8,-27.6,-27.6,-2.136666666666667,-27.6,-2.136666666666667,-1.5,-27.6,-29.736666666666668,-31.236666666666668
GA-9,-37.9,-37.9,-2.136666666666667,-37.9,-2.136666666666667,-1.5,-37.9,-40.03666666666667,-41.53666666666667
GA-10,-23.4,-23.4,-2.136666666666667,-23.4,-2.136666666666667,0.0,-23.4,-25.536666666666665,-25.536666666666665
GA-11,-15.3,-15.3,-2.136666666666667,-15.3,-2.136666666666667,-1.5,-15.3,-17.436666666666667,-18.936666666666667
GA-12,-10.1,-10.1,-2.136666666666667,-10.1,-2.136666666666667,-1.5,-10.1,-12.236666666666666,-13.736666666666666
GA-13,60.4,60.4,-2.136666666666667,60.4,-2.136666666666667,1.5,60.4,58.26333333333333,59.76333333333333
GA-14,-37.4,-37.4,-2.136666666666667,-37.4,-2.136666666666667,-1.5,-37.4,-39.53666666666667,-41.03666666666667
HI-1,29.4,29.4,-2.136666666666667,29.4,-2.136666666666667,1.5,29.4,27.263333333333332,28.763333333333332
HI-2,29.5,29.5,-2.136666666666667,29.5,-2.136666666666667,0.0,29.5,27.363333333333333,27.363333333333333
IA-1,-2.9,-2.9,-2.136666666666667,-2.9,-2.136666666666667,-1.5,-2.9,-5.036666666666667,-6.536666666666667
IA-2,-4.4,-4.4,-2.136666666666667,-4.4,-2.136666666666667,-1.5,-4.4,-6.536666666666667,-8.036666666666667
IA-3,-0.3,-0.3,-2.136666666666667,-0.3,-2.136666666666667,1.5,-0.3,-2.436666666666667,-0.936666666666667
IA-4,-26.0,-26.0,-2.136666666666667,-26.0,-2.136666666666667,-1.5,-26.0,-28.136666666666667,-29.636666666666667
ID-1,-38.2,-38.2,-2.136666666666667,-38.2,-2.136666666666667,-1.5,-38.2,-40.33666666666667,-41.83666666666667
ID-2,-22.9,-22.9,-2.136666666666667,-22.9,-2.136666666666667,-1.5,-22.9,-25.036666666666665,-26.536666666666665
IL-1,42.4,42.4,-2.136666666666667,42.4,-2.136666666666667,0.0,42.4,40.26333333333333,40.26333333333333
IL-2,40.0,40.0,-2.136666666666667,40.0,-2.136666666666667,1.5,40.0,37.86333333333333,39.36333333333333
IL-3,41.4,41.4,-2.136666666666667,41.4,-2.136666666666667,0.0,41.4,39.26333333333333,39.26333333333333
IL-4,46.4,46.4,-2.136666666666667,46.4,-2.136666666666667,1.5,46.4,44.26333333333333,45.76333333333333
IL-5,39.6,39.6,-2.136666666666667,39.6,-2.136666666666667,1.5,39.6,37.46333333333333,38.96333333333333
IL-6,10.9,10.9,-2.136666666666667,10.9,-2.136666666666667,1.5,10.9,8.763333333333334,10.263333333333334
IL-7,72.8,72.8,-2.136666666666667,72.8,-2.136666666666667,1.5,72.8,70.66333333333333,72.16333333333333
IL-8,15.4,15.4,-2.136666666666667,15.4,-2.136666666666667,1.5,15.4,13.263333333333334,14.763333333333334
IL-9,41.6,41.6,-2.136666666666667,41.6,-2.136666666666667,1.5,41.6,39.46333333333333,40.96333333333333
IL-10,25.9,25.9,-2.136666666666667,25.9,-2.136666666666667,1.5,25.9,23.763333333333332,25.263333333333332
IL-11,15.3,15.3,-2.136666666666667,15.3,-2.136666666666667,1.5,15.3,13.163333333333334,14.663333333333334
IL-12,-42.8,-42.8,-2.136666666666667,-42.8,-2.136666666666667,-1.5,-42.8,-44.93666666666667,-46.43666666666667
IL-13,11.2,11.2,-2.136666666666667,11.2,-2.136666666666667,0.0,11.2,9.063333333333333,9.063333333333333
IL-14,11.5,11.5,-2.136666666666667,11.5,-2.136666666666667,1.5,11.5,9.363333333333333,10.863333333333333
IL-15,-38.7,-38.7,-2.136666666666667,-38.7,-2.136666666666667,-1.5,-38.7,-40.83666666666667,-42.33666666666667
IL-16,-21.5,-21.5,-2.136666666666667,-21.5,-2.136666666666667,-1.5,-21.5,-23.636666666666667,-25.136666666666667
IL-17,7.8,7.8,-2.136666666666667,7.8,-2.136666666666667,0.0,7.8,5.663333333333332,5.663333333333332
IN-1,8.4,8.4,-2.136666666666667,8.4,-2.136666666666667,1.5,8.4,6.263333333333334,7.763333333333334
IN-2,-22.6,-22.6,-2.136666666666667,-22.6,-2.136666666666667,0.0,-22.6,-24.736666666666668,-24.736666666666668
IN-3,-29.9,-29.9,-2.136666666666667,-29.9,-2.136666666666667,-1.5,-29.9,-32.03666666666667,-33.53666666666667
IN-4,-29.1,-29.1,-2.136666666666667,-29.1,-2.136666666666667,-1.5,-29.1,-31.236666666666668,-32.736666666666665
IN-5,-15.9,-15.9,-2.136666666666667,-15.9,-2.136666666666667,-1.5,-15.9,-18.03666666666667,-19.53666666666667
IN-6,-31.9,-31.9,-2.136666666666667,-31.9,-2.136666666666667,-1.5,-31.9,-34.03666666666667,-35.53666666666667
IN-7,42.4,42.4,-2.136666666666667,42.4,-2.136666666666667,1.5,42.4,40.26333333333333,41.76333333333333
IN-8,-32.8,-32.8,-2.136666666666667,-32.8,-2.136666666666667,-1.5,-32.8,-34.93666666666667,-36.43666666666667
IN-9,-27.3,-27.3,-2.136666666666667,-27.3,-2.136666666666667,0.0,-27.3,-29.436666666666667,-29.436666666666667
KS-1,-29.6,-29.6,-2.136666666666667,-29.6,-2.136666666666667,-1.5,-29.6,-31.736666666666668,-33.236666666666665
KS-2,-16.3,-16.3,-2.136666666666667,-16.3,-2.136666666666667,-1.5,-16.3,-18.436666666666667,-19.936666666666667
KS-3,4.5,4.5,-2.136666666666667,4.5,-2.136666666666667,1.5,4.5,2.363333333333333,3.863333333333333
KS-4,-21.7,-21.7,-2.136666666666667,-21.7,-2.136666666666667,-1.5,-21.7,-23.836666666666666,-25.336666666666666
KY-1,-42.7,-42.7,-2.136666666666667,-42.7,-2.136666666666667,-1.5,-42.7,-44.83666666666667,-46.33666666666667
KY-2,-36.7,-36.7,-2.136666666666667,-36.7,-2.136666666666667,-1.5,-36.7,-38.83666666666667,-40.33666666666667
KY-3,22.3,22.3,-2.136666666666667,22.3,-2.136666666666667,0.0,22.3,20.163333333333334,20.163333333333334
KY-4,-32.5,-32.5,-2.136666666666667,-32.5,-2.136666666666667,-1.5,-32.5,-34.63666666666667,-36.13666666666667
