house_environment_multiplier,mean_cycle_winner_accuracy,mean_cycle_winner_error_rate,mean_cycle_brier_score,mean_cycle_absolute_expected_seat_error,mean_cycle_expected_seat_error_rate,mean_cycle_absolute_deterministic_seat_error,mean_cycle_deterministic_seat_error_rate,mean_cycle_margin_mae,mean_cycle_margin_rmse,mean_cycle_margin_bias_dem,cycles,winner_error_rate_normalized_penalty,brier_score_normalized_penalty,expected_seat_error_rate_normalized_penalty,deterministic_seat_error_rate_normalized_penalty,margin_mae_normalized_penalty,majority_composite_score,composite_rank,winner_accuracy_rank,brier_rank,expected_seat_error_rank,deterministic_seat_error_rank,margin_mae_rank
1.01,0.9478999501002073,0.052100049899792666,0.044342912649310166,8.925813151240838,0.02319049444459949,6.0,0.015610277420557872,6.176288672401482,8.05305956275077,0.9599550022701694,4,0.001837029261249528,0.0015827252487752262,0.11689038270694949,0.0051046920054609165,0.7646620309249945,0.06341552344208991,1,5,5,35,7,52
1.02,0.9479218318014784,0.05207816819852168,0.04434038244705765,8.93520807567964,0.023209820231479807,6.0,0.015588395719286859,6.184300255870416,8.060118469562656,0.9903300022701692,4,0.0,0.00041244590448313455,0.1203772104199469,0.003428120375760485,0.8198692800501246,0.06568623561898047,2,1,3,36,3,53
1.03,0.9479218318014784,0.05207816819852168,0.044339490718461695,8.944584424338053,0.023229092154952793,6.0,0.015588395719286859,6.192833128041048,8.067415649886529,1.0207050022701691,4,0.0,0.0,0.12385431990400227,0.003428120375760485,0.878668692364012,0.06921851665536513,3,1,1,37,3,54
1.04,0.9479218318014784,0.05207816819852168,0.044340243032138835,8.953941759626623,0.023248309146854128,6.0,0.015588395719286859,6.201531480035511,8.07495031671658,1.0510800022701696,4,0.0,0.00034796315429331696,0.12732151843708095,0.003428120375760485,0.938608414317662,0.0729959332482367,4,1,2,38,3,55
1.05,0.9479218318014784,0.05207816819852168,0.044342644905061936,8.963279983544766,0.02326747097407613,6.0,0.015588395719286859,6.210440524061043,8.082721655127797,1.0814550022701694,4,0.0,0.0014588870998896524,0.1307787639610603,0.003428120375760485,1.0,0.07703469262354856,5,1,4,39,3,56
0.99,0.9472638177846857,0.05273618221531429,0.04435286595297144,8.906967296333754,0.023151680571294832,6.25,0.0162464097360795,6.160888232800053,8.039659578143269,0.8992050022701693,4,0.05524209421335496,0.006186367376864291,0.10988744461570354,0.05384502438318303,0.6585387022460398,0.08386250251181046,6,6,7,33,11,50
1.0,0.9472638177846857,0.05273618221531429,0.04434707570702681,8.916399589793592,0.02317111463755998,6.25,0.0162464097360795,6.168571990946591,8.046239688542972,0.9295800022701696,4,0.05524209421335496,0.003508239483870596,0.11339380848327628,0.05384502438318303,0.7114869305030413,0.08654165472492666,7,6,6,34,11,51
0.97,0.9460134348549134,0.05398656514508654,0.04436930510412958,8.88804570122715,0.023112647607601143,6.25,0.016268291437350514,6.14644668034782,8.027221434426593,0.8384550022701696,4,0.1602151948563163,0.013789869831636709,0.10284497745147093,0.055521596012883596,0.559022996383948,0.11637117036904401,8,8,9,31,13,48
0.98,0.9460134348549134,0.05398656514508654,0.044360277672639274,8.897515566571649,0.023132190456864345,6.25,0.016268291437350514,6.153483578278257,8.033319934911843,0.8688300022701696,4,0.1602151948563163,0.00961446583196928,0.10637096833732067,0.055521596012883596,0.607513757120592,0.1184570555831293,9,8,8,32,13,49
0.95,0.945288797173754,0.054711202826245975,0.04439218382602707,8.86905185906177,0.023073404472658567,6.0,0.015543653756191093,6.1332458193814,8.015750425572524,0.7777050022701695,4,0.2210505297148036,0.024371828500685228,0.09576459043747317,0.0,0.4680568068827964,0.12601640095698702,10,10,11,29,1,45
