cycle,house_environment_multiplier,districts,actual_dem_seats,baseline_dem_seats,deterministic_forecast_dem_seats,expected_dem_seats,baseline_seat_error,deterministic_seat_error,expected_seat_error,baseline_winner_accuracy,forecast_winner_accuracy,districts_environment_helped,districts_environment_hurt,net_correct_winner_gain,margin_mae,margin_rmse,mean_margin_bias_dem
2018,0.0,393,200,161,161,165.42457565038796,-39,-39,-34.575424349612035,0.8956743002544529,0.8956743002544529,0,0,0,8.194078803117558,10.310327067769876,-7.272389194447328
2018,0.5,393,200,161,174,179.01986132448073,-39,-26,-20.98013867551927,0.8956743002544529,0.9236641221374046,12,1,11,6.166515454196438,8.325531348620894,-3.987389194447328
2018,0.7,393,200,161,180,184.7093370919772,-39,-20,-15.290662908022796,0.8956743002544529,0.9287531806615776,16,3,13,5.668374050700256,7.782172539455911,-2.6733891944473287
2018,0.73,393,200,161,181,185.5758304366631,-39,-19,-14.424169563336903,0.8956743002544529,0.9312977099236641,17,3,14,5.614509667402545,7.716683732239551,-2.4762891944473284
2018,0.8,393,200,161,181,187.61114542959703,-39,-19,-12.38885457040297,0.8956743002544529,0.9312977099236641,17,3,14,5.503863197239695,7.5816241684983225,-2.0163891944473282
2018,0.9,393,200,161,184,190.55165228299302,-39,-16,-9.448347717006982,0.8956743002544529,0.9389312977099237,20,3,17,5.3986954730514,7.43391812107546,-1.3593891944473284
2018,1.0,393,200,161,187,193.53100658974463,-39,-13,-6.468993410255365,0.8956743002544529,0.9465648854961832,23,3,20,5.355738070908906,7.3422442229437115,-0.7023891944473281
2020,0.0,407,203,182,182,185.6405323306531,-21,-21,-17.359467669346913,0.914004914004914,0.914004914004914,0,0,0,5.42304068571958,6.953768421007185,-2.1255323636805628
2020,0.5,407,203,182,192,198.15225800500713,-21,-11,-4.847741994992873,0.914004914004914,0.9287469287469288,8,2,6,5.007894497272406,6.686571407475711,0.9344676363194369
2020,0.7,407,203,182,199,203.34767836719737,-21,-4,0.3476783671973749,0.914004914004914,0.9459459459459459,15,2,13,5.226344740412455,6.963906228617794,2.1584676363194366
2020,0.73,407,203,182,200,204.1370781518714,-21,-3,1.1370781518714068,0.914004914004914,0.9434889434889435,15,3,12,5.277487760225722,7.022982858945207,2.342067636319437
2020,0.8,407,203,182,201,205.98950711009866,-21,-2,2.989507110098657,0.914004914004914,0.9459459459459459,16,3,13,5.410107210987393,7.177220795533372,2.7704676363194376
2020,0.9,407,203,182,202,208.6616214842483,-21,-1,5.661621484248286,0.914004914004914,0.9484029484029484,17,3,14,5.641729483287148,7.434923989839552,3.3824676363194373
2020,1.0,407,203,182,205,211.3644628160498,-21,2,8.364462816049809,0.914004914004914,0.9508599508599509,19,4,15,5.924049274697467,7.732579073087236,3.994467636319437
