cycle,house_environment_multiplier,district_id,change_direction,change_correct,selected_baseline_margin_dem,district_environment_adjustment_dem,forecast_margin_dem,actual_dem_margin,actual_dem_win
2018,0.5,PA-1,R baseline to D forecast,False,-0.1,3.285,3.185,-2.519117763,0
2018,0.5,AZ-1,R baseline to D forecast,True,-3.2,3.285,0.0849999999999999,7.687653379,1
2018,0.5,CA-48,R baseline to D forecast,True,-0.4000000000000001,3.285,2.885,7.103984583,1
2018,0.5,IL-17,R baseline to D forecast,True,-2.8,3.285,0.4850000000000003,24.18682998,1
2018,0.5,KS-3,R baseline to D forecast,True,-0.9000000000000001,3.285,2.385,9.662552113,1
2018,0.5,NJ-11,R baseline to D forecast,True,-3.0,3.285,0.2850000000000001,14.63714637,1
2018,0.5,NJ-5,R baseline to D forecast,True,-3.2,3.285,0.0849999999999999,13.68053462,1
2018,0.5,NJ-7,R baseline to D forecast,True,-1.0,3.285,2.285,5.019489251,1
2018,0.5,NV-3,R baseline to D forecast,True,-3.1,3.285,0.185,9.062858181,1
2018,0.5,OR-4,R baseline to D forecast,True,-2.0,3.285,1.285,15.0970922,1
2018,0.5,PA-7,R baseline to D forecast,True,-1.0,3.285,2.285,10.01895457,1
2018,0.5,TX-32,R baseline to D forecast,True,-0.2000000000000001,3.285,3.085,6.518394892,1
2018,0.5,TX-7,R baseline to D forecast,True,-0.7000000000000002,3.285,2.585,5.056218981,1
2018,0.7,FL-25,R baseline to D forecast,False,-3.9,4.599,0.6989999999999998,-20.90676314,0
2018,0.7,NE-2,R baseline to D forecast,False,-4.300000000000001,4.599,0.2989999999999995,-1.990059762,0
2018,0.7,PA-1,R baseline to D forecast,False,-0.1,4.599,4.4990000000000006,-2.519117763,0
2018,0.7,AZ-1,R baseline to D forecast,True,-3.2,4.599,1.399,7.687653379,1
2018,0.7,CA-48,R baseline to D forecast,True,-0.4000000000000001,4.599,4.199,7.103984583,1
2018,0.7,GA-6,R baseline to D forecast,True,-3.6,4.599,0.999,1.029549068,1
2018,0.7,IL-17,R baseline to D forecast,True,-2.8,4.599,1.7990000000000004,24.18682998,1
2018,0.7,KS-3,R baseline to D forecast,True,-0.9000000000000001,4.599,3.699,9.662552113,1
2018,0.7,MN-2,R baseline to D forecast,True,-3.3,4.599,1.2990000000000004,5.507622023,1
2018,0.7,NH-1,R baseline to D forecast,True,-3.7,4.599,0.899,8.551431251,1
2018,0.7,NJ-11,R baseline to D forecast,True,-3.0,4.599,1.5990000000000002,14.63714637,1
2018,0.7,NJ-5,R baseline to D forecast,True,-3.2,4.599,1.399,13.68053462,1
2018,0.7,NJ-7,R baseline to D forecast,True,-1.0,4.599,3.599,5.019489251,1
2018,0.7,NV-3,R baseline to D forecast,True,-3.1,4.599,1.499,9.062858181,1
2018,0.7,NY-18,R baseline to D forecast,True,-4.0,4.599,0.5990000000000002,11.92856291,1
2018,0.7,OR-4,R baseline to D forecast,True,-2.0,4.599,2.599,15.0970922,1
2018,0.7,PA-7,R baseline to D forecast,True,-1.0,4.599,3.599,10.01895457,1
2018,0.7,TX-32,R baseline to D forecast,True,-0.2000000000000001,4.599,4.399,6.518394892,1
2018,0.7,TX-7,R baseline to D forecast,True,-0.7000000000000002,4.599,3.899,5.056218981,1
2018,0.73,FL-25,R baseline to D forecast,False,-3.9,4.7961,0.8960999999999997,-20.90676314,0
2018,0.73,NE-2,R baseline to D forecast,False,-4.300000000000001,4.7961,0.4960999999999993,-1.990059762,0
2018,0.73,PA-1,R baseline to D forecast,False,-0.1,4.7961,4.6960999999999995,-2.519117763,0
2018,0.73,AZ-1,R baseline to D forecast,True,-3.2,4.7961,1.5961,7.687653379,1
2018,0.73,CA-48,R baseline to D forecast,True,-0.4000000000000001,4.7961,4.3961,7.103984583,1
2018,0.73,GA-6,R baseline to D forecast,True,-3.6,4.7961,1.1961,1.029549068,1
2018,0.73,IL-17,R baseline to D forecast,True,-2.8,4.7961,1.9961,24.18682998,1
2018,0.73,KS-3,R baseline to D forecast,True,-0.9000000000000001,4.7961,3.8961,9.662552113,1
2018,0.73,MN-2,R baseline to D forecast,True,-3.3,4.7961,1.4961000000000002,5.507622023,1
