generic_ballot_coefficient,cycle,observation_count,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins,predicted_dem_wins,expected_dem_wins,predicted_win_count_error,expected_win_count_error
0.5,2016,345,345,0.7473361645823179,8.760869115511015,7.626777050000005,10.93517469798769,0.9391304347826087,0.04341099393536353,0.15599968852611595,149,152,157.7149253861106,3,8.714925386110593
0.5,2018,393,393,-3.6223891944473294,6.005393956277864,4.327691100000024,8.157015577092071,0.9287531806615776,0.05485779006341158,0.1891000461057436,200,176,181.2923612765427,-24,-18.707638723457308
0.5,2020,407,407,1.2744676363194363,5.04524915883506,3.839029650000004,6.742497695955775,0.9385749385749386,0.047516155838405086,0.16472759156748948,203,196,200.19526895015565,-7,-2.8047310498443494
0.5,2022,400,400,-0.08109459737375016,4.59998032912225,3.5088340795000015,6.130853443672005,0.9525,0.04204500961721651,0.1474182574481879,204,199,194.2139925669482,-5,-9.786007433051793
0.55,2016,345,345,0.7773361645823174,8.761477811163187,7.656777050000002,10.93726592185566,0.936231884057971,0.04345087597749691,0.15611706191569408,149,153,157.83240692157636,4,8.832406921576364
0.55,2018,393,393,-3.2573891944473283,5.858822496364377,4.1145447399999995,8.001611338535266,0.9312977099236641,0.053796588309557435,0.18653953376117424,200,179,182.8692556339882,-21,-17.13074436601181
0.55,2020,407,407,1.6144676363194375,5.100901381906312,3.9200658599999976,6.814947774757056,0.9434889434889435,0.04710012195911811,0.16445979880050865,203,198,201.63875531357579,-5,-1.3612446864242145
0.55,2022,400,400,-0.14109459737374844,4.60178032912225,3.5299146500000083,6.1319405818606665,0.9525,0.0421441543659471,0.14764694358080277,204,199,193.96654112216527,-5,-10.033458877834732
0.6,2016,345,345,0.8073361645823178,8.762089875974782,7.6825747,10.939439017392989,0.936231884057971,0.04349140528885949,0.15623600738881896,149,153,157.94995188871025,4,8.949951888710245
0.6,2018,393,393,-2.892389194447328,5.734176106934351,4.028052589999998,7.8600963671592226,0.9287531806615776,0.052822690537966385,0.18420509840772234,200,180,184.45683022917524,-20,-15.543169770824761
0.6,2020,407,407,1.9544676363194362,5.17271507638297,3.9248473500000003,6.9034014199786595,0.9459459459459459,0.04675740894988507,0.1643780464414089,203,199,203.0904009105254,-4,0.09040091052540333
0.6,2022,400,400,-0.20109459737374885,4.60397919389325,3.5698513799999994,6.133614485045061,0.9525,0.042245643935761905,0.14788134023485863,204,199,193.71908067767134,-5,-10.280919322328657
0.65,2016,345,345,0.837336164582319,8.762872484670437,7.660136924999999,10.94169393581885,0.936231884057971,0.043532582329057795,0.15635652579456952,149,153,158.0675603613754,4,9.0675603613754
0.65,2018,393,393,-2.5273891944473292,5.628130136155726,4.058889830000002,7.7332332041057095,0.9312977099236641,0.0519383963800561,0.18209827019556882,200,181,186.05513977365683,-19,-13.944860226343167
0.65,2020,407,407,2.2944676363194376,5.2636381522650355,4.006083189999998,7.007252611263603,0.9434889434889435,0.04648966606663923,0.16448338861631912,203,200,204.55028938341195,-3,1.5502893834119504
0.65,2022,400,400,-0.26109459737375024,4.60667919389325,3.6262009250000005,6.13587467300624,0.9525,0.04234947761957273,0.14812144762013602,204,199,193.4716110543065,-5,-10.528388945693507
0.7,2016,345,345,0.8673361645823197,8.763655093366086,7.690136924999998,10.944030626556652,0.936231884057971,0.043574407555637004,0.15647861798300883,149,153,158.18523241284117,4,9.185232412841174
0.7,2018,393,393,-2.162389194447329,5.53653531229313,4.00863753,7.6217535172121975,0.9312977099236641,0.05114596519751105,0.18022058589451417,200,181,187.66422199928823,-19,-12.33577800071177
