specification_id,baseline_type,baseline_label,environment_family,house_environment_multiplier,observations,mean_absolute_error,rmse,brier_score,winner_accuracy,mean_margin_error_dem_bias,absolute_margin_bias,actual_dem_seats,expected_dem_seats,expected_win_count_error,max_cycle_mae,mean_cycle_mae,max_cycle_rmse,max_cycle_absolute_bias,mean_cycle_seat_error,max_cycle_seat_error,mean_absolute_error_rank_pct,rmse_rank_pct,brier_score_rank_pct,absolute_margin_bias_rank_pct,expected_win_count_error_rank_pct,max_cycle_mae_rank_pct,max_cycle_absolute_bias_rank_pct,joint_performance_score
normalized_partisan_baseline_dem__production_composite__multiplier_0.70,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.7,1545,5.932243149699893,8.014570768417983,0.0457120632060989,0.940453074433657,0.10270874588712657,0.10270874588712657,756.0,740.9760351939653,15.023964806034655,8.815496792484927,6.032937104751572,11.047127663632933,1.9955558611139952,9.74450449673629,13.535096705068781,0.03333333333333333,0.03333333333333333,0.26666666666666666,0.06666666666666667,0.36666666666666664,0.16666666666666666,0.03333333333333333,0.13809523809523808
normalized_partisan_baseline_dem__production_composite__multiplier_0.75,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.75,1545,5.940109269309818,8.019022641124614,0.04554820847188832,0.9436893203883495,0.2654425646573533,0.2654425646573533,756.0,743.784811238907,12.215188761093032,8.82559999039797,6.040287924484751,11.061999580628763,2.0844676363194363,9.241024000632457,13.976341168585577,0.1,0.1,0.2,0.13333333333333333,0.3,0.2,0.06666666666666667,0.1571428571428571
normalized_partisan_baseline_dem__production_composite__multiplier_0.65,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.65,1545,5.934824384301836,8.017820522042324,0.045920401585385295,0.9398058252427185,-0.06002507288309977,0.06002507288309977,756.0,738.186700037772,17.81329996222803,8.807025940697487,6.035760940646831,11.033005660302456,2.372472527780661,10.258594949450881,13.966375882027592,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.03333333333333333,0.4,0.13333333333333333,0.13333333333333333,0.16666666666666669
normalized_partisan_baseline_dem__production_composite__multiplier_0.80,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.8,1545,5.955975177239916,8.031163332565873,0.045429831849898294,0.944336569579288,0.4281763834275796,0.4281763834275796,756.0,746.6131633214222,9.386836678577765,8.83755367455256,6.055469213111008,11.077618390969546,2.3651343029861027,9.320941832988986,14.417694109356376,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.2,0.23333333333333334,0.23333333333333334,0.1,0.17619047619047623
normalized_partisan_baseline_dem__production_composite__multiplier_0.85,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.85,1545,5.979604507322763,8.050958059040191,0.04535790269953845,0.9462783171521035,0.590910202197806,0.590910202197806,756.0,749.4611742153318,6.538825784668234,8.850109713199904,6.07823083985536,11.093980940084194,2.645800969652769,9.39942989785986,14.859153801482535,0.23333333333333334,0.23333333333333334,0.1,0.26666666666666666,0.16666666666666666,0.26666666666666666,0.16666666666666666,0.20476190476190476
normalized_partisan_baseline_dem__production_composite__multiplier_0.60,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.6,1545,5.944012097362893,8.028762549981058,0.046172208370130016,0.9398058252427185,-0.22275889165332674,0.22275889165332674,756.0,735.4166974796333,20.583302520366715,8.799278597702317,6.045003521626812,11.019636453750048,2.7493891944473288,10.768187492195388,15.623854063460271,0.13333333333333333,0.13333333333333333,0.4,0.1,0.43333333333333335,0.1,0.2,0.21428571428571433
normalized_partisan_baseline_dem__production_composite__multiplier_0.90,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.9,1545,6.012976022837327,8.078350555719286,0.04533336078970512,0.948220064724919,0.7536440209680324,0.7536440209680324,756.0,752.3288519518964,3.671148048103646,8.862665751847246,6.110468253211478,11.111083942210362,2.926467636319436,9.47651593658449,15.300718428057678,0.3,0.3,0.03333333333333333,0.3,0.1,0.3,0.23333333333333334,0.22380952380952385
normalized_partisan_baseline_dem__production_composite__multiplier_0.95,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.95,1545,6.054869160947272,8.113263866801585,0.045357111539677676,0.948220064724919,0.9163778397382591,0.9163778397382591,756.0,755.2162472063583,0.7837527936417246,8.875467951924541,6.150989551146664,11.128923983549686,3.207134302986103,9.552214502229575,15.742390136576432,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.03333333333333333,0.3333333333333333,0.3,0.24761904761904763
normalized_partisan_baseline_dem__production_composite__multiplier_0.55,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,0.55,1545,5.9614997650983845,8.047365474667213,0.04646645167326894,0.9385113268608414,-0.3854927104235531,0.3854927104235531,756.0,732.6658241901303,23.33417580986975,8.792135702726473,6.062305913934507,11.00702278703268,3.1263058611139956,11.273331744405802,17.26875391472862,0.2,0.2,0.4666666666666667,0.16666666666666666,0.4666666666666667,0.06666666666666667,0.26666666666666666,0.2619047619047619
normalized_partisan_baseline_dem__production_composite__multiplier_1.00,normalized_partisan_baseline_dem,Normalized partisan baseline,production_composite,1.0,1545,6.105224425245439,8.15560140530412,0.045430021250150214,0.948220064724919,1.0791116585084852,1.0791116585084852,756.0,758.1233235565524,2.12332355655235,8.88855829008879,6.199740012363451,11.147497525512115,3.4878009696527688,9.626555166041285,16.184170301164954,0.36666666666666664,0.36666666666666664,0.16666666666666666,0.36666666666666664,0.06666666666666667,0.36666666666666664,0.3333333333333333,0.29047619047619044
