replay_spec,probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
canonical_fixed_6_5,0–10%,0.0,0.1,113,0.029276094631040236,0.0,0.029276094631040236,0.0016069303627876247
canonical_fixed_6_5,10–20%,0.1,0.2,28,0.13798409354401503,0.0,0.13798409354401503,0.019698972367693187
canonical_fixed_6_5,20–30%,0.2,0.30000000000000004,16,0.24297491448602568,0.0625,0.18047491448602568,0.09067454192007646
canonical_fixed_6_5,30–40%,0.30000000000000004,0.4,19,0.3501541559232957,0.05263157894736842,0.29752257697592727,0.1419987011227389
canonical_fixed_6_5,40–50%,0.4,0.5,7,0.46571638012808175,0.2857142857142857,0.18000209441379605,0.24024474096334217
canonical_fixed_6_5,50–60%,0.5,0.6000000000000001,8,0.5465750483752874,0.125,0.42157504837528736,0.28716984959206376
canonical_fixed_6_5,60–70%,0.6000000000000001,0.7000000000000001,6,0.6293089086168137,0.3333333333333333,0.29597557528348034,0.30511979325729993
canonical_fixed_6_5,70–80%,0.7000000000000001,0.8,11,0.750871281298501,0.7272727272727273,0.02359855402577371,0.1911209569231824
canonical_fixed_6_5,80–90%,0.8,0.9,11,0.8615720517282774,0.7272727272727273,0.13429932445555015,0.21519126534702762
canonical_fixed_6_5,90–100%,0.9,1.0,126,0.9815688648679891,1.0,-0.01843113513201089,0.0010076871494189188
production_election_day_v1,0–10%,0.0,0.1,136,0.014817420902963023,0.0,0.014817420902963023,0.0007566443478511736
production_election_day_v1,10–20%,0.1,0.2,17,0.14629098054232417,0.058823529411764705,0.08746745113055947,0.05867461317098795
production_election_day_v1,20–30%,0.2,0.30000000000000004,14,0.26361910233592933,0.07142857142857142,0.1921905309073579,0.10248209629233085
production_election_day_v1,30–40%,0.30000000000000004,0.4,9,0.34130709650511115,0.0,0.34130709650511115,0.11666607523747308
production_election_day_v1,40–50%,0.4,0.5,7,0.4555890453671917,0.2857142857142857,0.169874759652906,0.23808300759853404
production_election_day_v1,50–60%,0.5,0.6000000000000001,6,0.538801133064902,0.16666666666666666,0.37213446639823533,0.2690912685812639
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,7,0.648435770730732,0.2857142857142857,0.3627214850164463,0.3203393578277121
production_election_day_v1,70–80%,0.7000000000000001,0.8,4,0.7625595259213038,0.5,0.2625595259213038,0.30561608413967534
production_election_day_v1,80–90%,0.8,0.9,11,0.8414463533238048,0.7272727272727273,0.1141736260510775,0.20483373255544163
production_election_day_v1,90–100%,0.9,1.0,134,0.9936488613623479,0.9850746268656716,0.00857423449667627,0.013593766191091667
canonical_fixed_6_5,0–10%,0.0,0.1,120,0.023998582364276207,0.016666666666666666,0.007331915697609541,0.016625725318547793
canonical_fixed_6_5,10–20%,0.1,0.2,35,0.14693053243157306,0.05714285714285714,0.08978767528871592,0.059459841943891395
canonical_fixed_6_5,20–30%,0.2,0.30000000000000004,19,0.24927025067151926,0.15789473684210525,0.091375513829414,0.1387235805285466
canonical_fixed_6_5,30–40%,0.30000000000000004,0.4,20,0.3421109558159201,0.1,0.2421109558159201,0.1514268844728098
canonical_fixed_6_5,40–50%,0.4,0.5,10,0.42604138251370827,0.6,-0.1739586174862917,0.27393792179198606
canonical_fixed_6_5,50–60%,0.5,0.6000000000000001,8,0.5561133781870089,0.75,-0.1938866218129911,0.24198438242803819
canonical_fixed_6_5,60–70%,0.6000000000000001,0.7000000000000001,7,0.6552050653394895,1.0,-0.3447949346605105,0.11983680511042596
canonical_fixed_6_5,70–80%,0.7000000000000001,0.8,16,0.7430121280142,0.875,-0.13198787198579998,0.12846382123907765
canonical_fixed_6_5,80–90%,0.8,0.9,15,0.8585613653010724,1.0,-0.1414386346989276,0.02059801910856423
canonical_fixed_6_5,90–100%,0.9,1.0,143,0.9858203685824223,1.0,-0.01417963141757772,0.0007151579290638894
production_election_day_v1,0–10%,0.0,0.1,150,0.017486398466320507,0.02,-0.0025136015336794937,0.019950243337656434
production_election_day_v1,10–20%,0.1,0.2,17,0.15011252583001664,0.11764705882352941,0.032465467006487225,0.1070317764572716
production_election_day_v1,20–30%,0.2,0.30000000000000004,18,0.2500356597824733,0.16666666666666666,0.08336899311580662,0.15413667073243725
production_election_day_v1,30–40%,0.30000000000000004,0.4,14,0.3529101689203848,0.35714285714285715,-0.004232688222472358,0.2165312684425336
production_election_day_v1,40–50%,0.4,0.5,5,0.42375013300546327,0.4,0.023750133005463248,0.2328374359965148
production_election_day_v1,50–60%,0.5,0.6000000000000001,5,0.5491543068275696,1.0,-0.4508456931724304,0.2039147699830935
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,6,0.6358630857847434,0.6666666666666666,-0.030803580881923254,0.20954684558855208
