allocation_id,cycle,forecast_source,national_error_sd,district_error_sd,marginal_total_error_sd,is_current_production,is_empirical_residual_allocation,n_sims,seed,actual_dem_seats,expected_dem_seats,median_dem_seats,simulation_dem_seat_sd,expected_seat_error,absolute_expected_seat_error,median_seat_error,absolute_median_seat_error,crps,realized_seat_probability,realized_seat_log_loss,dem_control_probability,p025,p10,p25,p50,p75,p90,p975,interval_50_width,interval_80_width,interval_95_width,actual_in_50_interval,actual_in_80_interval,actual_in_95_interval
national_0.0000_district_7.9946,2016,calculated_from_components,0.0,7.994627101997941,7.994627101997941,False,False,20000,20362736,194,228.15045,228.0,5.097912732992951,34.150450000000006,34.150450000000006,34.0,34.0,31.2800657925,4.893325504012527e-05,9.92505333045069,0.9818,218.0,222.0,225.0,228.0,232.0,235.0,238.0,7.0,13.0,20.0,0.0,0.0,0.0
national_0.0000_district_7.9946,2018,calculated_from_components,0.0,7.994627101997941,7.994627101997941,False,False,20000,20363738,238,244.4197,244.0,4.777802139024175,6.419700000000006,6.419700000000006,6.0,6.0,4.110481010000001,0.03508514386376982,3.349977489851068,1.0,235.0,238.0,241.0,244.0,248.0,251.0,254.0,7.0,13.0,19.0,0.0,1.0,1.0
national_0.0000_district_7.9946,2020,calculated_from_components,0.0,7.994627101997941,7.994627101997941,False,False,20000,20364740,222,235.8406,236.0,4.6128467953941295,13.840599999999995,13.840599999999995,14.0,14.0,11.245125265,0.0009297318457623801,6.980614351284248,1.0,227.0,230.0,233.0,236.0,239.0,242.0,245.0,6.0,12.0,18.0,0.0,0.0,0.0
national_0.0000_district_7.9946,2022,calculated_from_components,0.0,7.994627101997941,7.994627101997941,False,False,20000,20365742,215,218.21075,218.0,4.259218412405524,3.2107499999999902,3.2107499999999902,3.0,3.0,1.9162742025,0.06826189078097475,2.684403636195223,0.56605,210.0,213.0,215.0,218.0,221.0,224.0,227.0,6.0,11.0,17.0,1.0,1.0,1.0
national_0.5000_district_7.9790,2016,calculated_from_components,0.5,7.978976281453655,7.994627101997941,False,False,20000,20462736,194,228.1833,228.0,5.859540751704953,34.1833,34.1833,34.0,34.0,30.880933635,4.893325504012527e-05,9.92505333045069,0.9646,217.0,221.0,224.0,228.0,232.0,236.0,240.0,8.0,15.0,23.0,0.0,0.0,0.0
national_0.5000_district_7.9790,2018,calculated_from_components,0.5,7.978976281453655,7.994627101997941,False,False,20000,20463738,238,244.3389,244.0,5.345023410029435,6.338899999999995,6.338899999999995,6.0,6.0,3.9281346700000004,0.037385006850655704,3.286485541284168,1.0,234.0,238.0,241.0,244.0,248.0,251.0,255.0,7.0,13.0,21.0,0.0,1.0,1.0
national_0.5000_district_7.9790,2020,calculated_from_components,0.5,7.978976281453655,7.994627101997941,False,False,20000,20464740,222,235.8391,236.0,5.135331515246953,13.839100000000002,13.839100000000002,14.0,14.0,10.9562007,0.0015169309062438834,6.491066125965542,0.99995,226.0,229.0,232.0,236.0,239.0,242.0,246.0,7.0,13.0,20.0,0.0,0.0,0.0
national_0.5000_district_7.9790,2022,calculated_from_components,0.5,7.978976281453655,7.994627101997941,False,False,20000,20465742,215,218.14655,218.0,4.7333596242168845,3.1465499999999906,3.1465499999999906,3.0,3.0,1.9055707725,0.06586416128400861,2.7201608202460155,0.5531,209.0,212.0,215.0,218.0,221.0,224.0,227.0,6.0,12.0,18.0,1.0,1.0,1.0
national_1.0000_district_7.9318,2016,calculated_from_components,1.0,7.93183853214373,7.994627101997941,False,False,20000,20562736,194,228.2793,228.0,7.601274924578373,34.279300000000006,34.279300000000006,34.0,34.0,29.994771505,4.893325504012527e-05,9.92505333045069,0.92535,213.0,219.0,223.0,228.0,233.0,238.0,243.0,10.0,19.0,30.0,0.0,0.0,0.0
national_1.0000_district_7.9318,2018,calculated_from_components,1.0,7.93183853214373,7.994627101997941,False,False,20000,20563738,238,244.3206,244.0,6.90630150587306,6.320600000000013,6.320600000000013,6.0,6.0,3.7344794099999996,0.038657271481698965,3.2530203849896213,1.0,231.0,236.0,240.0,244.0,249.0,253.0,258.0,9.0,17.0,27.0,0.0,1.0,1.0
national_1.0000_district_7.9318,2020,calculated_from_components,1.0,7.93183853214373,7.994627101997941,False,False,20000,20564740,222,235.93325,236.0,6.522179189394365,13.933249999999987,13.933249999999987,14.0,14.0,10.3102961575,0.006018790369935408,5.112868975078271,0.9986,223.0,228.0,231.0,236.0,240.0,244.0,249.0,9.0,16.0,26.0,0.0,0.0,0.0
national_1.0000_district_7.9318,2022,calculated_from_components,1.0,7.93183853214373,7.994627101997941,False,False,20000,20565742,215,218.2702,218.0,5.9216083315482475,3.2701999999999884,3.2701999999999884,3.0,3.0,2.0914533099999995,0.05764337443726757,2.853479966239157,0.55455,207.0,211.0,214.0,218.0,222.0,226.0,230.0,8.0,15.0,23.0,1.0,1.0,1.0
national_1.5000_district_7.8526,2016,calculated_from_components,1.5,7.852646846764472,7.994627101997941,False,False,20000,20662736,194,228.05055,228.0,10.017979471586806,34.05054999999999,34.05054999999999,34.0,34.0,28.3945126525,0.0001467997651203758,8.826441041782578,0.8518,209.0,215.0,221.0,228.0,235.0,241.0,248.0,14.0,26.0,39.0,0.0,0.0,0.0
national_1.5000_district_7.8526,2018,calculated_from_components,1.5,7.852646846764472,7.994627101997941,False,False,20000,20663738,238,244.3549,244.0,8.875690670829183,6.3548999999999864,6.3548999999999864,6.0,6.0,3.7581658499999993,0.03523194362889019,3.3458021184405875,0.99925,227.0,233.0,238.0,244.0,250.0,256.0,262.0,12.0,23.0,35.0,1.0,1.0,1.0
national_1.5000_district_7.8526,2020,calculated_from_components,1.5,7.852646846764472,7.994627101997941,False,False,20000,20664740,222,235.9991,236.0,8.41114359387758,13.999099999999999,13.999099999999999,14.0,14.0,9.526992449999998,0.011303581914268937,4.482635619928895,0.98885,220.0,225.0,230.0,236.0,242.0,247.0,253.0,12.0,22.0,33.0,0.0,0.0,1.0
national_1.5000_district_7.8526,2022,calculated_from_components,1.5,7.852646846764472,7.994627101997941,False,False,20000,20665742,215,218.23455,218.0,7.429427711291487,3.234550000000013,3.234550000000013,3.0,3.0,2.3036777424999997,0.046192992757878255,3.074927164305188,0.54295,204.0,209.0,213.0,218.0,223.0,228.0,233.0,10.0,19.0,29.0,1.0,1.0,1.0
national_1.9000_district_7.7656,2016,calculated_from_components,1.9,7.765569039033778,7.994627101997941,False,True,20000,20762736,194,228.06205,228.0,11.981092484675857,34.06205,34.06205,34.0,34.0,27.3028740525,0.0006850655705617538,7.28599600083543,0.80945,205.0,213.0,220.0,228.0,236.0,244.0,252.0,16.0,31.0,47.0,0.0,0.0,0.0
national_1.9000_district_7.7656,2018,calculated_from_components,1.9,7.765569039033778,7.994627101997941,False,True,20000,20763738,238,244.48575,244.0,10.537089182972805,6.485749999999996,6.485749999999996,6.0,6.0,3.9273867174999992,0.02999608533959679,3.506688394514477,0.9965,224.0,231.0,237.0,244.0,251.0,258.0,266.0,14.0,27.0,42.0,1.0,1.0,1.0
national_1.9000_district_7.7656,2020,calculated_from_components,1.9,7.765569039033778,7.994627101997941,False,True,20000,20764740,222,235.89985,236.0,9.929811178214909,13.899849999999986,13.899849999999986,14.0,14.0,8.9471360625,0.015218242317478958,4.185260418271454,0.9722,217.0,223.0,229.0,236.0,242.0,249.0,256.0,13.0,26.0,39.0,0.0,0.0,1.0
national_1.9000_district_7.7656,2022,calculated_from_components,1.9,7.765569039033778,7.994627101997941,False,True,20000,20765742,215,218.1981,218.0,8.803296614993986,3.198100000000011,3.198100000000011,3.0,3.0,2.5101209099999995,0.04266979839498924,3.154263906541709,0.53145,201.0,207.0,212.0,218.0,224.0,229.0,235.0,12.0,22.0,34.0,1.0,1.0,1.0
national_2.0000_district_7.7404,2016,calculated_from_components,2.0,7.740417462902114,7.994627101997941,False,False,20000,20862736,194,227.97095,228.0,12.389075048466202,33.97094999999999,33.97094999999999,34.0,34.0,26.9809183625,0.0008807985907222549,7.034681572554524,0.79895,204.0,212.0,219.0,228.0,236.0,244.0,252.0,17.0,32.0,48.0,0.0,0.0,0.0
national_2.0000_district_7.7404,2018,calculated_from_components,2.0,7.740417462902114,7.994627101997941,False,False,20000,20863738,238,244.35035,244.0,10.90778409509435,6.350349999999992,6.350349999999992,6.0,6.0,3.9061176125,0.032736347621843805,3.4192692703224603,0.9944,224.0,230.0,237.0,244.0,252.0,258.0,266.0,15.0,28.0,42.0,1.0,1.0,1.0
national_2.0000_district_7.7404,2020,calculated_from_components,2.0,7.740417462902114,7.994627101997941,False,False,20000,20864740,222,235.7941,236.0,10.368967208167273,13.794099999999986,13.794099999999986,14.0,14.0,8.748938079999999,0.01653944020356234,4.10200743496767,0.96465,216.0,223.0,229.0,236.0,243.0,249.0,257.0,14.0,26.0,41.0,0.0,0.0,1.0
national_2.0000_district_7.7404,2022,calculated_from_components,2.0,7.740417462902114,7.994627101997941,False,False,20000,20865742,215,218.2054,218.0,9.185539153826374,3.2053999999999974,3.2053999999999974,3.0,3.0,2.5697300049999994,0.03963593658250147,3.228019082784204,0.5287,200.0,206.0,212.0,218.0,224.0,230.0,236.0,12.0,24.0,36.0,1.0,1.0,1.0
national_2.5000_district_7.5937,2016,calculated_from_components,2.5,7.593685699316242,7.994627101997942,False,False,20000,20962736,194,228.3953,228.0,15.12323621199101,34.39529999999999,34.39529999999999,34.0,34.0,25.90750928,0.002201996476805637,6.118390840680369,0.75615,199.0,209.0,218.0,228.0,239.0,248.0,259.0,21.0,39.0,60.0,0.0,0.0,0.0
national_2.5000_district_7.5937,2018,calculated_from_components,2.5,7.593685699316242,7.994627101997942,False,False,20000,20963738,238,244.37265,244.0,13.37157888708722,6.372649999999993,6.372649999999993,6.0,6.0,4.1762738325,0.027647289097670776,3.588227599304248,0.983,219.0,227.0,235.0,244.0,253.0,262.0,272.0,18.0,35.0,53.0,1.0,1.0,1.0
national_2.5000_district_7.5937,2020,calculated_from_components,2.5,7.593685699316242,7.994627101997942,False,False,20000,20964740,222,235.8848,235.0,12.36948176618399,13.884800000000013,13.884800000000013,13.0,13.0,8.341291125,0.017762771579565472,4.030650496185838,0.93815,213.0,220.0,227.0,235.0,244.0,252.0,261.0,17.0,32.0,48.0,0.0,1.0,1.0
national_2.5000_district_7.5937,2022,calculated_from_components,2.5,7.593685699316242,7.994627101997942,False,False,20000,20965742,215,218.19725,218.0,10.99174159797563,3.197249999999997,3.197249999999997,3.0,3.0,2.9234625324999994,0.03410647876296731,3.3782679196901646,0.52605,197.0,204.0,211.0,218.0,226.0,232.0,240.0,15.0,28.0,43.0,1.0,1.0,1.0
national_3.0000_district_7.4104,2016,calculated_from_components,3.0,7.410402317013564,7.994627101997941,False,False,20000,21062736,194,228.22765,228.0,17.840354239461433,34.22765000000001,34.22765000000001,34.0,34.0,24.4157610025,0.003327461342728518,5.705545625274582,0.71945,194.0,205.0,216.0,228.0,240.0,251.0,264.0,24.0,46.0,70.0,0.0,0.0,1.0
national_3.0000_district_7.4104,2018,calculated_from_components,3.0,7.410402317013564,7.994627101997941,False,False,20000,21063738,238,244.4271,244.0,15.654633146993522,6.427099999999996,6.427099999999996,6.0,6.0,4.5581141899999995,0.02480916030534351,3.6965423268595052,0.96415,215.0,225.0,234.0,244.0,255.0,265.0,276.0,21.0,40.0,61.0,1.0,1.0,1.0
national_3.0000_district_7.4104,2020,calculated_from_components,3.0,7.410402317013564,7.994627101997941,False,False,20000,21064740,222,235.8634,235.0,14.758683253480603,13.863400000000013,13.863400000000013,13.0,13.0,8.053358014999999,0.018741436680367977,3.9770183412700426,0.89875,208.0,217.0,226.0,235.0,246.0,255.0,266.0,20.0,38.0,58.0,0.0,1.0,1.0
