recommended,national_error_sd,district_error_sd,mean_crps,mean_realized_seat_log_loss,mean_absolute_median_seat_error,mean_simulation_dem_seat_sd,coverage_50,coverage_80,coverage_95,composite_rank_score,is_current_production,is_empirical_residual_allocation
True,3.5,7.187771733993784,9.837349209375,4.210115358580872,13.75,17.593037310767247,0.5,0.75,1.0,5,False,False
False,4.5,6.607878820014786,9.932678196874999,4.2685011574579015,13.5,22.417936837933162,0.75,1.0,1.0,9,False,False
False,4.0,6.921998446980467,9.9682787325,4.241412418821092,13.75,19.95731851771935,0.5,0.75,1.0,9,False,False
False,5.0,6.238113697264582,9.995531273125001,4.262126690382537,13.375,24.627578494638882,0.75,1.0,1.0,9,False,False
False,5.0625,6.1875,10.06269097875,4.271633887176399,13.75,24.991182934867087,0.75,1.0,1.0,14,True,False
False,3.0,7.410402317013564,10.08379526375,4.23228370100668,14.0,15.2693564793127,0.5,0.75,1.0,14,False,False
False,2.5,7.593685699316242,10.337134192499999,4.278884213965155,14.0,12.964009615809463,0.5,0.75,0.75,20,False,False
False,2.0,7.740417462902114,10.551426014999999,4.445994340157215,14.25,10.712841376388551,0.5,0.5,0.75,24,False,False
False,1.9,7.765569039033778,10.671879435625,4.533052180040768,14.25,10.312822365214387,0.5,0.5,0.75,26,False,True
False,1.5,7.852646846764472,10.995837173750001,4.932451486114312,14.25,8.683560361896264,0.5,0.5,0.75,28,False,False
False,1.0,7.93183853214373,11.532750095625,5.286105664189435,14.25,6.737840987848511,0.25,0.5,0.5,30,False,False
False,0.5,7.978976281453655,11.917709944375002,5.605691454486603,14.25,5.268313825299557,0.25,0.5,0.5,32,False,False
False,0.0,7.994627101997941,12.137986567499999,5.735012201945308,14.25,4.686945019954194,0.25,0.5,0.5,34,False,False
