allocation_id,national_error_sd,district_error_sd,is_current_production,is_empirical_residual_allocation,loo_mean_rank,loo_median_rank,loo_best_rank,loo_worst_rank,loo_times_recommended,loo_mean_crps,loo_mean_log_loss
national_5.0000_district_6.2381,5.0,6.238113697264582,False,False,3.5,1.5,1,10,2,9.995531273125001,4.262126690382537
national_4.0000_district_6.9220,4.0,6.921998446980467,False,False,4.5,4.5,1,8,1,9.9682787325,4.241412418821091
national_4.5000_district_6.6079,4.5,6.607878820014786,False,False,4.5,3.5,2,9,0,9.932678196874999,4.2685011574579015
national_3.5000_district_7.1878,3.5,7.187771733993784,False,False,4.75,4.5,3,7,0,9.837349209374999,4.210115358580872
national_5.0625_district_6.1875,5.0625,6.1875,True,False,5.25,4.0,2,11,0,10.06269097875,4.271633887176399
national_3.0000_district_7.4104,3.0,7.410402317013564,False,False,5.75,6.0,5,6,0,10.08379526375,4.23228370100668
national_2.5000_district_7.5937,2.5,7.593685699316242,False,False,6.0,7.0,3,7,0,10.337134192499999,4.278884213965155
national_2.0000_district_7.7404,2.0,7.740417462902114,False,False,6.25,8.0,1,8,1,10.551426015,4.445994340157215
national_1.9000_district_7.7656,1.9,7.765569039033778,False,True,7.25,9.0,2,9,0,10.671879435625,4.533052180040768
national_1.5000_district_7.8526,1.5,7.852646846764472,False,False,8.5,10.0,4,10,0,10.99583717375,4.932451486114312
national_1.0000_district_7.9318,1.0,7.93183853214373,False,False,10.0,11.0,6,12,0,11.532750095625,5.286105664189435
national_0.5000_district_7.9790,0.5,7.978976281453655,False,False,11.75,12.0,11,12,0,11.917709944375,5.605691454486603
national_0.0000_district_7.9946,0.0,7.994627101997941,False,False,13.0,13.0,13,13,0,12.1379865675,5.735012201945307
