replay_spec,probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
canonical_fixed_6_5,0–10%,0.0,0.1,96,0.032962996450211064,0.0,0.032962996450211064,0.0018531774678246262
canonical_fixed_6_5,10–20%,0.1,0.2,29,0.14962155261061524,0.0,0.14962155261061524,0.023096486996651712
canonical_fixed_6_5,20–30%,0.2,0.30000000000000004,18,0.24155194527980978,0.05555555555555555,0.18599638972425422,0.08928031667998082
canonical_fixed_6_5,30–40%,0.30000000000000004,0.4,14,0.3311755970700815,0.0,0.3311755970700815,0.11009808279284881
canonical_fixed_6_5,40–50%,0.4,0.5,16,0.46098558051034844,0.125,0.33598558051034844,0.22232447739239447
canonical_fixed_6_5,50–60%,0.5,0.6000000000000001,10,0.5433417433582284,0.0,0.5433417433582284,0.2959783904599812
canonical_fixed_6_5,60–70%,0.6000000000000001,0.7000000000000001,10,0.6446127637923365,0.6,0.044612763792336474,0.23822174702985283
canonical_fixed_6_5,70–80%,0.7000000000000001,0.8,13,0.7433196436037804,0.46153846153846156,0.2817811820653189,0.3252823475368599
canonical_fixed_6_5,80–90%,0.8,0.9,14,0.868584709404289,0.7857142857142857,0.0828704236900033,0.16542966612720553
canonical_fixed_6_5,90–100%,0.9,1.0,125,0.9810446769497282,0.984,-0.0029553230502717964,0.014708975584495807
production_election_day_v1,0–10%,0.0,0.1,116,0.016706576302690884,0.0,0.016706576302690884,0.0009116884634487504
production_election_day_v1,10–20%,0.1,0.2,21,0.13723736217112006,0.047619047619047616,0.08961831455207245,0.05185798485029255
production_election_day_v1,20–30%,0.2,0.30000000000000004,16,0.25045328769285546,0.0,0.25045328769285546,0.06369266199799392
production_election_day_v1,30–40%,0.30000000000000004,0.4,5,0.32867633344782565,0.0,0.32867633344782565,0.108874438473425
production_election_day_v1,40–50%,0.4,0.5,15,0.45381693540723506,0.13333333333333333,0.3204836020739017,0.21947884426122233
production_election_day_v1,50–60%,0.5,0.6000000000000001,9,0.5495568339598442,0.0,0.5495568339598442,0.30298953851265603
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,7,0.6467565505230762,0.42857142857142855,0.2181851219516477,0.28905079259695265
production_election_day_v1,70–80%,0.7000000000000001,0.8,11,0.7638192161223082,0.5454545454545454,0.21836467066776277,0.30698741026709925
production_election_day_v1,80–90%,0.8,0.9,8,0.8507129128840808,0.5,0.3507129128840808,0.36894887748541766
production_election_day_v1,90–100%,0.9,1.0,137,0.9918234314778291,0.9708029197080292,0.02102051176979991,0.026789304347491737
canonical_fixed_6_5,0–10%,0.0,0.1,108,0.02640197415529137,0.018518518518518517,0.007883455636772854,0.01813567016260497
