cycle,race_id,district_id,state,district,actual_dem_margin,actual_winner,model_margin_dem,total_error_sd_used,party_control_fixed,held_out_cycle,training_bias_dem,loo_corrected_margin_dem,raw_margin_error,corrected_margin_error
2016,AK-AL,AK-AL,AK,AL,-14.29892472,R,-12.256666667,3.553167600887974,,2016,3.6374554460122592,-15.894122113012259,2.042258053000001,-1.595197393012258
2016,AL-1,AL-1,AL,1,-96.38246724,R,-22.556666667,3.553167600887974,R,2016,3.6374554460122592,-26.194122113012256,73.825800573,70.18834512698774
2016,AL-2,AL-2,AL,2,-8.24234229,R,-24.656666667,3.553167600887974,,2016,3.6374554460122592,-28.294122113012257,-16.414324377,-20.051779823012257
2016,AL-3,AL-3,AL,3,-33.99987461,R,-23.656666667,3.553167600887974,,2016,3.6374554460122592,-27.294122113012257,10.343207943,6.705752496987742
2016,AL-4,AL-4,AL,4,-98.5303453,R,-48.956666667,3.553167600887974,R,2016,3.6374554460122592,-52.59412211301226,49.57367863299999,45.93622318698773
2016,AL-5,AL-5,AL,5,-33.54014906,R,-27.156666667,3.553167600887974,,2016,3.6374554460122592,-30.794122113012257,6.383482392999998,2.7460269469877403
2016,AL-6,AL-6,AL,6,-49.07411344,R,-47.756666667000005,3.553167600887974,,2016,3.6374554460122592,-51.394122113012266,1.3174467729999932,-2.3200086730122678
2016,AL-7,AL-7,AL,7,98.41306624,D,47.143333332999994,3.553167600887974,D,2016,3.6374554460122592,43.50587788698773,-51.26973290700001,-54.90718835301227
2016,AR-1,AR-1,AR,1,-76.27807025,R,-22.856666667,3.553167600887974,,2016,3.6374554460122592,-26.49412211301226,53.421403583,49.78394813698774
2016,AR-2,AR-2,AR,2,-21.53148804,R,-9.956666667,3.553167600887974,,2016,3.6374554460122592,-13.59412211301226,11.574821372999999,7.93736592698774
2016,AR-3,AR-3,AR,3,-77.31811596,R,-32.056666667,3.553167600887974,,2016,3.6374554460122592,-35.69412211301226,45.261449293,41.62399384698774
2016,AR-4,AR-4,AR,4,-74.90405842,R,-24.056666667,3.553167600887974,,2016,3.6374554460122592,-27.694122113012256,50.847391753,47.20993630698774
2016,AZ-1,AZ-1,AZ,1,7.293648249,D,-0.6566666670000001,3.553167600887974,,2016,3.6374554460122592,-4.294122113012259,-7.950314916,-11.58777036201226
2016,AZ-2,AZ-2,AZ,2,-13.91698529,R,0.3433333329999999,3.553167600887974,,2016,3.6374554460122592,-3.2941221130122593,14.260318623,10.62286317698774
2016,AZ-3,AZ-3,AZ,3,98.41493694,D,26.343333333,3.553167600887974,D,2016,3.6374554460122592,22.705877886987743,-72.071603607,-75.70905905301225
