replay_spec,probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
canonical_fixed_6_5,0–10%,0.0,0.1,96,0.032962996450211064,0.0,0.032962996450211064,0.0018531774678246262
canonical_fixed_6_5,10–20%,0.1,0.2,29,0.14962155261061524,0.0,0.14962155261061524,0.023096486996651712
canonical_fixed_6_5,20–30%,0.2,0.30000000000000004,18,0.24155194527980978,0.05555555555555555,0.18599638972425422,0.08928031667998082
canonical_fixed_6_5,30–40%,0.30000000000000004,0.4,14,0.3311755970700815,0.0,0.3311755970700815,0.11009808279284881
canonical_fixed_6_5,40–50%,0.4,0.5,16,0.46098558051034844,0.125,0.33598558051034844,0.22232447739239447
canonical_fixed_6_5,50–60%,0.5,0.6000000000000001,10,0.5433417433582284,0.0,0.5433417433582284,0.2959783904599812
canonical_fixed_6_5,60–70%,0.6000000000000001,0.7000000000000001,10,0.6446127637923365,0.6,0.044612763792336474,0.23822174702985283
canonical_fixed_6_5,70–80%,0.7000000000000001,0.8,13,0.7433196436037804,0.46153846153846156,0.2817811820653189,0.3252823475368599
canonical_fixed_6_5,80–90%,0.8,0.9,14,0.868584709404289,0.7857142857142857,0.0828704236900033,0.16542966612720553
canonical_fixed_6_5,90–100%,0.9,1.0,125,0.9810446769497282,0.984,-0.0029553230502717964,0.014708975584495807
production_election_day_v1,0–10%,0.0,0.1,116,0.01749321219916393,0.0,0.01749321219916393,0.000982714525539058
production_election_day_v1,10–20%,0.1,0.2,21,0.14022817459248071,0.047619047619047616,0.0926091269734331,0.05240032776929415
production_election_day_v1,20–30%,0.2,0.30000000000000004,16,0.25311902704815104,0.0,0.25311902704815104,0.06502171106092905
production_election_day_v1,30–40%,0.30000000000000004,0.4,5,0.33067720674899004,0.0,0.33067720674899004,0.11017598009583651
production_election_day_v1,40–50%,0.4,0.5,15,0.45439028900780787,0.13333333333333333,0.32105695567447456,0.21982091337364315
production_election_day_v1,50–60%,0.5,0.6000000000000001,9,0.5489427484657132,0.0,0.5489427484657132,0.3022911080682087
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,7,0.6450056325949161,0.42857142857142855,0.2164342040234875,0.28832399777011497
production_election_day_v1,70–80%,0.7000000000000001,0.8,11,0.7610502487607236,0.5454545454545454,0.21559570330617817,0.305705752924573
production_election_day_v1,80–90%,0.8,0.9,9,0.8534453899211777,0.4444444444444444,0.40900094547673327,0.4159557039057596
production_election_day_v1,90–100%,0.9,1.0,136,0.9920741255523962,0.9779411764705882,0.014132949081807955,0.02096036769822891
canonical_fixed_6_5,0–10%,0.0,0.1,108,0.02640197415529137,0.018518518518518517,0.007883455636772854,0.01813567016260497
