cycle,district_id,state,district,actual_dem_margin,model_margin_dem,fundamentals_margin_dem,district_partisan_baseline_dem,general_election_party_structure,party_control_fixed,_actual_dem_win,probability_shared,log_loss_shared,brier_shared,predicted_dem_win_shared,correct_winner_shared,probability_comparison,log_loss_comparison,brier_comparison,predicted_dem_win_comparison,correct_winner_comparison,shared_minus_comparison_log_loss,shared_minus_comparison_brier,shared_probability_extremity,comparison_probability_extremity,shared_more_extreme_by,shared_confidence_bucket,shared_calibration_bucket,shared_confident_wrong,comparison_confident_wrong,shared_catastrophic_miss,actual_margin_abs,actual_close_race
2020,FL-27,FL,27,-2.735767913,24.508,24.508,17.5,D_vs_R,,0.0,1.0,34.53957599234088,1.0,True,False,0.9989136819805472,6.824961264746467,0.9978285440479338,True,False,27.714614727594412,0.002171455952066248,0.5,0.4989136819805472,0.0010863180194528033,99%+,99–100%,True,True,True,2.735767913,True
2018,MN-7,MN,7,4.264162069,-25.487,-25.487,-32.9,D_vs_R,,1.0,0.0,34.538776394910684,1.0,False,False,0.0007162627735831,7.2414634561214335,0.9985679874851947,False,False,27.29731293878925,0.001432012514805292,0.5,0.4992837372264169,0.0007162627735831095,99%+,0–1%,True,True,True,4.264162069,True
2018,NY-27,NY,27,4.788293025,-22.187,-22.187,-26.6,D_vs_R,,1.0,0.0,34.538776394910684,1.0,False,False,0.0027580587144548,5.89322821105779,0.9944914894589628,False,False,28.645548183852895,0.0055085105410371815,0.5,0.4972419412855452,0.002758058714454781,99%+,0–1%,True,True,True,4.788293025,True
2020,FL-26,FL,26,-3.448618043,21.208,21.208,14.2,D_vs_R,,0.0,0.9995,7.600902459542192,0.9990002500000001,True,False,0.9960084251683464,5.523569431301789,0.9920327830063296,True,False,2.0773330282404032,0.006967466993670568,0.49950000000000006,0.4960084251683464,0.003491574831653632,99%+,99–100%,True,True,True,3.448618043,True
2020,CA-21,CA,21,-0.8935385771,18.98105,18.98105,13.4,D_vs_R,,0.0,0.997,5.809142990314027,0.994009,True,False,0.9912071039876028,4.733811154835437,0.9824915229954905,True,False,1.0753318354785897,0.011517477004509558,0.497,0.4912071039876028,0.005792896012397186,99%+,99–100%,True,True,True,0.8935385771,True
2022,AK-AL,AK,AL,23.02150905,-14.092,-14.092,-14.62,D_vs_R,,1.0,0.0085,4.767689115485866,0.9830722500000001,False,False,0.0389769138865653,3.2447857597515575,0.92356537204299,False,False,1.5229033557343086,0.05950687795701004,0.4915,0.4610230861134347,0.030476913886565316,99%+,0–1%,True,True,True,23.02150905,False
2020,CA-39,CA,39,-1.195230712,12.935225,12.935225,6.5,D_vs_R,,0.0,0.9825,4.045554398052671,0.96530625,True,False,0.9471676006365825,2.9406306521531844,0.8971264636956605,True,False,1.1049237458994865,0.06817978630433952,0.48250000000000004,0.44716760063658245,0.03533239936341759,95–99%,95–99%,True,True,True,1.195230712,True
2018,NY-22,NY,22,2.339060236,-11.848250000000002,-11.848250000000002,-17.6,D_vs_R,,1.0,0.024,3.7297014486341915,0.952576,False,False,0.0691666090405263,2.671237061128858,0.8664508017251125,False,False,1.0584643875053334,0.08612519827488752,0.476,0.4308333909594737,0.04516660904052627,95–99%,1–5%,True,True,True,2.339060236,True
2016,MN-7,MN,7,5.026252709,-11.734,-11.734,-13.72,D_vs_R,,1.0,0.0275,3.5935692743096115,0.9457562500000001,False,False,0.0710880080202715,2.643836619966856,0.8628774888437473,False,False,0.9497326543427556,0.08287876115625281,0.4725,0.4289119919797285,0.04358800802027146,95–99%,1–5%,True,True,True,5.026252709,False
2016,NY-24,NY,24,-12.61139591,11.17975,11.17975,11.98,D_vs_R,,0.0,0.9685,3.4577677331505505,0.9379922500000001,True,False,0.9190046995906064,2.5133641456300184,0.8445696378696207,True,False,0.9444035875205321,0.09342261213037939,0.4685,0.4190046995906064,0.04949530040939365,95–99%,95–99%,True,True,True,12.61139591,False
