variant,scored_races,mean_probability,expected_dem_seats,log_loss,brier_score,winner_accuracy,exact_zero_count,exact_one_count,below_0_001_count,above_0_999_count,below_0_01_count,above_0_99_count,below_0_05_count,above_0_95_count,cycle
raw_simulation_frequency,345,0.4447927536231884,153.4535,0.11091885553172946,0.03322093260869565,0.9594202898550724,94,88,103,93,129,105,152,126,2016
add_half_smoothing,345,0.4448435622348665,153.47102897102894,0.11107732858394771,0.03320938063803893,0.9594202898550724,0,0,103,93,129,105,152,126,2016
laplace_smoothing,345,0.44489860857994157,153.49001996007985,0.11138739785494756,0.03321011366142141,0.9594202898550724,0,0,103,93,129,105,152,126,2016
raw_simulation_frequency,393,0.4690241730279898,184.3265,0.3068227842659589,0.04536464440203562,0.9414758269720102,98,112,108,117,129,134,160,148,2018
add_half_smoothing,393,0.4690258850564194,184.32717282717283,0.17003537312225314,0.04536063349959377,0.9414758269720102,0,0,108,117,128,134,159,148,2018
laplace_smoothing,393,0.46905679734678224,184.33932135728543,0.16679770700945434,0.045352049072359055,0.9414758269720102,0,0,108,117,128,134,159,148,2018
raw_simulation_frequency,407,0.5084864864864865,206.954,0.21317046068220666,0.03530681326781327,0.9582309582309583,95,129,104,138,128,155,156,170,2020
add_half_smoothing,407,0.5084804630259175,206.95154845154843,0.1468146252479188,0.03529081734966759,0.9582309582309583,0,0,104,138,126,155,156,170,2020
laplace_smoothing,407,0.5084719994899636,206.94810379241517,0.1434324799553798,0.03528871871229074,0.9582309582309583,0,0,104,138,126,155,156,170,2020
raw_simulation_frequency,400,0.48833875000000004,195.33550000000002,0.11219250616391722,0.03400620437500001,0.9525,121,112,129,117,154,136,170,150,2022
add_half_smoothing,400,0.4883541458541458,195.34165834165833,0.1125840112616152,0.03400827943285485,0.9525,0,0,129,117,153,134,170,150,2022
laplace_smoothing,400,0.4883657684630738,195.34630738522952,0.11282872372696984,0.03400831321389158,0.9525,0,0,129,117,153,134,170,150,2022
raw_simulation_frequency,1545,0.4790093851132686,740.0695000000001,0.18801665976582105,0.037062706634304214,0.9527508090614887,408,441,444,465,540,530,638,594,overall
add_half_smoothing,1545,0.47902356543133234,740.0914085914085,0.1358787941612016,0.0370554302394307,0.9527508090614887,0,0,444,465,536,528,637,594,overall
laplace_smoothing,1545,0.4790444999967702,740.12375249501,0.13429686727980583,0.03705286621364819,0.9527508090614887,0,0,444,465,536,528,637,594,overall
