model_id,model_description,alpha,categorical_feature_count,numeric_feature_count,cv_rows,cv_mae,cv_rmse,cv_r2,cv_correlation,weighted_mae,weighted_rmse,weighted_r2,prediction_mean,prediction_sd,prediction_min,prediction_max,weighted_rmse_rank_within_model,weighted_mae_rank_within_model,selection_rank_within_model
A_continuous_demographics,Current best continuous-demographics specification.,0.01,3,7,393,0.5635512845290223,0.8292637076963939,0.041501761001192405,0.24215132239710946,0.5409716342359526,0.7926547116869037,0.023560025491368597,0.9349697200287433,0.3151687106306532,-0.10839784761495919,1.75775815871649,12.0,12.0,24.0
A_continuous_demographics,Current best continuous-demographics specification.,0.03,3,7,393,0.5635486441205302,0.8292611064050155,0.04150777435803299,0.2421545361783,0.5409690007970809,0.792652096583191,0.023566468366312043,0.9349691373871513,0.31515683394586796,-0.10832387465929305,1.7577365482645908,11.0,11.0,22.0
A_continuous_demographics,Current best continuous-demographics specification.,0.1,3,7,393,0.5635394244158691,0.8292520540085371,0.041528700467367785,0.2421656999186576,0.5409598033955675,0.7926429888404954,0.02358890709904715,0.9349671142880417,0.31511544118282686,-0.10806541978285877,1.7576609382688981,10.0,10.0,20.0
A_continuous_demographics,Current best continuous-demographics specification.,0.3,3,7,393,0.5635132662893159,0.8292266276692466,0.04158747642752181,0.2421968872030449,0.5409336914687133,0.7926173458352447,0.023652082349764902,0.9349614699743087,0.31499865282959033,-0.10733078809803276,1.7574451359300491,9.0,9.0,18.0
A_continuous_demographics,Current best continuous-demographics specification.,1.0,3,7,393,0.5634237714476505,0.8291424082616089,0.041782146577647894,0.24229832192148112,0.540844168320861,0.7925317394181095,0.02386297133406534,0.9349432117103544,0.3146060686094232,-0.10480217476130127,1.7566924048294612,8.0,8.0,16.0
A_continuous_demographics,Current best continuous-demographics specification.,3.0,3,7,393,0.5631837692504715,0.8289356138304674,0.04226006063284782,0.24253369215718368,0.5406027631460896,0.7923167276777051,0.02439254621644049,0.934901928749927,0.31360049818730795,-0.09790169420469574,1.7545624180322426,7.0,7.0,14.0
A_continuous_demographics,Current best continuous-demographics specification.,10.0,3,7,393,0.5625702524684933,0.8284439034274729,0.0433959534807038,0.24299146437304625,0.5399106312887091,0.7917715118369933,0.02573477112727507,0.9348367690075216,0.31090621781676975,-0.07648979946542811,1.7473094918651793,6.0,6.0,12.0
A_continuous_demographics,Current best continuous-demographics specification.,30.0,3,7,393,0.5613699925514933,0.8277062139696253,0.04509881478957678,0.24331722016052898,0.5384997051072276,0.7908471761541336,0.028008210976855685,0.9348924815358022,0.30577818641449506,-0.028101567586932386,1.7278555598686676,5.0,5.0,10.0
A_continuous_demographics,Current best continuous-demographics specification.,100.0,3,7,393,0.5590508854916223,0.8265741716673423,0.047709038783106616,0.2427144777104308,0.5358807741530758,0.7892018863612846,0.03204829535621967,0.9354471547186376,0.29428907393935355,0.0801005770407699,1.669909451113375,4.0,4.0,8.0
A_continuous_demographics,Current best continuous-demographics specification.,300.0,3,7,393,0.5568432072786937,0.8256101497296401,0.04992903080972144,0.2393201850917738,0.5333007278692613,0.787376825802173,0.036519972065896744,0.936913029438778,0.27438726293560056,0.14956633466173974,1.5906439281837557,3.0,2.0,5.0
