feature,coefficient,absolute_coefficient
<INTERCEPT>,1.0758285164907677,1.0758285164907677
categorical__district_type_Urban,-0.550212251013145,0.550212251013145
categorical__region_Mid-Atlantic,0.5440542141253821,0.5440542141253821
categorical__region_Midwest,0.4944210309650219,0.4944210309650219
categorical__hispanic_share_tier_Unknown,-0.44362270932787706,0.44362270932787706
categorical__region_Great Plains,0.4170129752014265,0.4170129752014265
categorical__district_type_Rural,-0.3965854777749146,0.3965854777749146
categorical__region_Urban South,0.3449308572730147,0.3449308572730147
categorical__district_type_Mixed,-0.2960960577311142,0.2960960577311142
categorical__district_type_Suburban,-0.26523375890354156,0.26523375890354156
categorical__hispanic_share_tier_Very High,0.22976294353731475,0.22976294353731475
categorical__region_Northeast,0.20195703280901942,0.20195703280901942
categorical__hispanic_share_tier_Medium,-0.16843774218221605,0.16843774218221605
categorical__white_share_tier_Very High,-0.16817081477549853,0.16817081477549853
categorical__white_share_tier_Unknown,0.15585261293858466,0.15585261293858466
categorical__college_share_tier_Unknown,0.15585261293858463,0.15585261293858463
categorical__region_Southwest,-0.15288557655259732,0.15288557655259732
categorical__college_share_tier_Very High,0.14481520978802764,0.14481520978802764
categorical__region_Pacific,0.12784405423082632,0.12784405423082632
numeric__pres_2020_margin_dem,-0.1252616247968318,0.1252616247968318
categorical__region_Mountain West,0.12252567117280888,0.12252567117280888
categorical__hispanic_share_tier_Low,-0.11420777289577586,0.11420777289577586
categorical__region_Northwest,-0.0959647009742374,0.0959647009742374
categorical__region_Deep South,-0.09504610773479896,0.09504610773479896
categorical__region_Middle South,-0.0944214817115237,0.0944214817115237
categorical__black_share_tier_Low,0.09063152387871228,0.09063152387871228
categorical__region_Southeast,0.08791469607500271,0.08791469607500271
categorical__black_share_tier_Unknown,-0.07286325227474433,0.07286325227474433
categorical__white_share_tier_Low,0.05530982575666433,0.05530982575666433
categorical__college_share_tier_Medium,0.05371656542307301,0.05371656542307301
categorical__black_share_tier_Medium,0.04450570222108466,0.04450570222108466
categorical__white_share_tier_Medium,0.03707968397933224,0.03707968397933224
categorical__college_share_tier_Low,-0.01868855876217633,0.01868855876217633
categorical__black_share_tier_Very High,0.005704029680929387,0.005704029680929387
