alpha,cv_mae,cv_rmse,weighted_cv_mae,weighted_cv_rmse,prediction_mean,prediction_sd,prediction_min,prediction_max,weighted_rmse_rank,weighted_mae_rank,combined_rank
300.0,0.5680771622187815,0.8417671143635037,0.5432690973791715,0.8002390841616389,0.937277626752382,0.27085500972845655,0.2595762822058547,1.6568158096036547,1.0,1.0,2.0
100.0,0.5730032759193985,0.8453320638131963,0.5486423907000099,0.8044221271977422,0.9388021984485184,0.2969450972172858,0.13571735442634636,1.8391556802509081,2.0,2.0,4.0
30.0,0.5772670694596953,0.848576260741446,0.5531666588165304,0.8083590641281153,0.9409326916742343,0.3127593923956912,0.02730800691375701,1.9292150887619521,3.0,3.0,6.0
10.0,0.5794419713618362,0.8501930290674773,0.5554194327602648,0.8103571030241002,0.9422198285889958,0.3192639077592537,-0.020967400096599143,1.9534626777001005,4.0,4.0,8.0
3.0,0.5803525863380115,0.8509114223586546,0.5563580345954783,0.8112508272439614,0.942837995913109,0.3219602482277798,-0.041187585134988325,1.9606672030796188,5.0,5.0,10.0
1.0,0.580639551387832,0.8511366114299255,0.5566555595606444,0.8115316014840646,0.943037360951267,0.3227848532550573,-0.04736737819561854,1.96251820191211,6.0,6.0,12.0
0.3,0.5807417202439514,0.8512177946762752,0.5567614859622053,0.8116328906106846,0.9431098711688979,0.32307987985798003,-0.04957658455772895,1.9631398611385644,7.0,7.0,14.0
0.1,0.5807710802768306,0.8512412243113551,0.55679192567687,0.8116621292094582,0.9431308598672088,0.3231648077633669,-0.05021232074759774,1.963314838694405,8.0,8.0,16.0
0.03,0.5807813741730087,0.8512494496280542,0.5568025981104266,0.8116723945167937,0.9431382348315542,0.32319460003098915,-0.0504353091307983,1.9633757983749376,9.0,9.0,18.0
0.01,0.5807843169937073,0.8512518021037158,0.5568056491466907,0.811675330502173,0.9431403447304232,0.3232031185611728,-0.05049906601266496,1.963393188371052,10.0,10.0,20.0
