race_id,region,district_type,college_share_tier,white_share_tier,black_share_tier,hispanic_share_tier,pres_2020_margin_dem,raw_elasticity,observation_count,national_swing_sum_squares,residual_rmse,low_information_estimate,eligible_for_characteristics_model,model_sample_weight,bounded_model_sample_weight,target_definition,characteristics_boundary_warning
AK-AL,Northwest,Mixed,Low,High,Low,Unknown,-10.0,-0.6664562037043746,4,173.83295368567016,14.18915363220328,False,True,173.83295368567016,173.83295368567016,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AL-1,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-30.199999999999996,0.4736705669067055,1,26.970694074586252,0.0,True,True,26.970694074586252,43.45823842141754,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AL-2,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-11.799999999999995,0.3076663105084346,4,173.83295368567016,15.33775761157029,False,True,173.83295368567016,173.83295368567016,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AL-3,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-40.10000000000001,0.7134727409842215,4,173.83295368567016,2.785719445316784,False,True,173.83295368567016,173.83295368567016,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AL-4,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-63.7,0.9443636694254128,1,26.970694074586252,0.0,True,True,26.970694074586252,43.45823842141754,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AL-5,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-27.1,1.26328446963524,1,82.069099035773,1.7763568394002505e-15,True,True,82.069099035773,82.069099035773,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AL-6,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-34.60000000000001,1.2339299739508596,3,146.8622596110839,0.681926302768064,False,True,146.8622596110839,146.8622596110839,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AR-1,Middle South,Rural,Low,Very High,Medium,Low,-40.9,1.952449253445829,1,54.031050975264655,1.7763568394002505e-15,True,True,54.031050975264655,54.031050975264655,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AR-2,Middle South,Rural,Medium,High,Medium,Low,-13.1,0.3721094919028914,4,173.83295368567016,11.344370850750783,False,True,173.83295368567016,173.83295368567016,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AR-3,Middle South,Rural,Medium,High,Low,Low,-23.40000000000001,0.1604214531492621,1,26.970694074586252,0.0,True,True,26.970694074586252,43.45823842141754,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AR-4,Middle South,Rural,Low,High,Medium,Low,-35.2,-0.6457754231130565,2,81.00174504985091,9.04162007881297,True,True,81.00174504985091,81.00174504985091,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AZ-1,Southwest,Suburban,Very High,High,Low,Low,1.5,0.12123250834268,4,173.83295368567016,2.531565184553038,False,True,173.83295368567016,173.83295368567016,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AZ-2,Southwest,Mixed,Low,Medium,Low,Low,-7.900000000000006,0.9753164633247288,4,173.83295368567016,11.9967426278079,False,True,173.83295368567016,173.83295368567016,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
AZ-3,Southwest,Mixed,Low,Low,Medium,Very High,50.6,0.881794367796767,2,81.00174504985091,5.190716919678348,True,True,81.00174504985091,81.00174504985091,2012-2020 district elasticity estimated by constrained OLS through the origin,Characteristics describe post-2020 districts; historical elasticity targets use 2012-2020 district-label matches.
