race_id,state,district,region,district_type,college_share_tier,white_share_tier,black_share_tier,hispanic_share_tier,pres_2020_margin_dem,characteristics_elasticity_raw_prediction,characteristics_elasticity,characteristics_elasticity_model_alpha,characteristics_elasticity_prediction_mean_before_normalization,characteristics_model_training_match,characteristics_elasticity_method,characteristics_elasticity_limitations
AL-1,AL,1,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-30.199999999999996,0.5191662422059049,0.5592064101536939,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AL-2,AL,2,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-11.799999999999995,0.4429038019818117,0.47706230685823736,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AL-3,AL,3,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-40.10000000000001,0.5601987508047376,0.6034035092094013,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AL-4,AL,4,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-63.7,0.6580136197878135,0.708762250392704,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AL-5,AL,5,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-27.1,0.5063176789072805,0.5453669144897855,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AL-6,AL,6,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,-34.60000000000001,0.537402912694275,0.5788495652895639,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AL-7,AL,7,Deep South,Rural,Unknown,Unknown,Unknown,Unknown,30.300000000000004,0.26841202299081623,0.2891130270354814,300.0,0.9283982314566384,False,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AK-AL,AK,AL,Northwest,Mixed,Low,High,Low,Unknown,-10.0,0.368115164191406,0.3965056715089177,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AZ-1,AZ,1,Southwest,Suburban,Very High,High,Low,Low,1.5,0.7873112672828657,0.8480318473330027,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AZ-2,AZ,2,Southwest,Mixed,Low,Medium,Low,Low,-7.900000000000006,0.6689850435641211,0.7205798340594606,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AZ-3,AZ,3,Southwest,Mixed,Low,Low,Medium,Very High,50.6,0.7425952565783593,0.7998671598213217,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AZ-4,AZ,4,Southwest,Suburban,High,Medium,Low,Medium,10.300000000000004,0.58887243121099,0.634288618028775,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AZ-5,AZ,5,Southwest,Suburban,High,High,Low,Medium,-16.4,0.662456179513358,0.7135474380148026,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AZ-6,AZ,6,Southwest,Mixed,High,High,Low,Medium,0.0999999999999943,0.5632063663543976,0.6066430840467436,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AZ-7,AZ,7,Southwest,Mixed,Low,Low,Low,Very High,32.699999999999996,0.862911169540947,0.9294623150962454,300.0,0.9283982314566384,False,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AZ-8,AZ,8,Southwest,Mixed,Medium,High,Low,Medium,-13.6,0.6737052921617138,0.7256641270251922,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AZ-9,AZ,9,Southwest,Rural,Low,High,Low,Medium,-25.800000000000004,0.5513760615595084,0.5939003790371404,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AR-1,AR,1,Middle South,Rural,Low,Very High,Medium,Low,-40.9,0.5123584266117116,0.5518735487117757,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AR-2,AR,2,Middle South,Rural,Medium,High,Medium,Low,-13.1,0.6377117656686667,0.6868946364407756,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AR-3,AR,3,Middle South,Rural,Medium,High,Low,Low,-23.40000000000001,0.7265279750604334,0.7825607055719241,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
AR-4,AR,4,Middle South,Rural,Low,High,Medium,Low,-35.2,0.6569044637090944,0.7075675517804728,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
CA-1,CA,1,Pacific,Mixed,Medium,High,Low,Medium,17.800000000000004,0.8242914108235873,0.8878640468005744,300.0,0.9283982314566384,True,weighted ridge regression with one-hot categorical district characteristics and standardized 2020 presidential margin,Exploratory model: post-2020 characteristics predict 2012-2020 district-label elasticity estimates.
