feature,coefficient,absolute_coefficient
<INTERCEPT>,0.9226635441269407,0.9226635441269407
numeric__selected_regime_trend_residual_rmse,0.34859568687244047,0.34859568687244047
numeric__selected_regime_swing_std,0.3464015690282088,0.3464015690282088
categorical__region_Mid-Atlantic,0.331433758918038,0.331433758918038
numeric__selected_regime_largest_absolute_swing,-0.29135353039248535,0.29135353039248535
categorical__region_Midwest,0.2899820388815854,0.2899820388815854
categorical__district_type_Urban,-0.2533611047418673,0.2533611047418673
categorical__region_Deep South,-0.2383534621268287,0.2383534621268287
categorical__region_Great Plains,0.21800494735010936,0.21800494735010936
numeric__behavior_reliability_score,-0.16570457011084405,0.16570457011084405
categorical__region_Urban South,0.1622603139986629,0.1622603139986629
numeric__selected_regime_scorable_elections,-0.1456422457299405,0.1456422457299405
categorical__selected_regime_reliability_medium,-0.1298297435035666,0.1298297435035666
categorical__selected_regime_reliability_low,0.11829494984955274,0.11829494984955274
numeric__selected_regime_trend_slope_points_per_election,0.11412235587841094,0.11412235587841094
numeric__selected_regime_competitive_within_15_rate,-0.10913502938529861,0.10913502938529861
categorical__region_Northwest,-0.08642786191028101,0.08642786191028101
categorical__district_type_Rural,-0.08203677749090751,0.08203677749090751
categorical__district_type_Mixed,-0.08095449688069235,0.08095449688069235
categorical__region_Northeast,0.07966617504979395,0.07966617504979395
numeric__selected_regime_margin_mad,0.07942585612068002,0.07942585612068002
numeric__selected_regime_party_switch_count,0.07414930898420437,0.07414930898420437
numeric__selected_regime_mean_absolute_swing,-0.04977080545782276,0.04977080545782276
categorical__region_Pacific,0.04754642591546556,0.04754642591546556
numeric__selected_regime_competitive_within_10_rate,0.04572019808960954,0.04572019808960954
numeric__selected_regime_margin_std,0.035967907200543846,0.035967907200543846
categorical__region_Southwest,-0.03438057322141845,0.03438057322141845
categorical__district_type_Suburban,-0.03247797113338053,0.03247797113338053
numeric__pres_2020_margin_dem,-0.030962116832836145,0.030962116832836145
categorical__region_Southeast,0.02317498197639655,0.02317498197639655
numeric__selected_regime_competitive_within_5_rate,0.021117664735902025,0.021117664735902025
categorical__region_Middle South,0.01586483373108991,0.01586483373108991
categorical__region_Mountain West,-0.00792888637241287,0.00792888637241287
