cycle_from,cycle_to,transition,race_id,state,district,dem_vote_total_from,gop_vote_total_from,actual_winner_from,party_structure_from,district_margin_from,dem_vote_total_to,gop_vote_total_to,actual_winner_to,party_structure_to,district_margin_to,district_swing_dem,national_common_district_margin_from,national_common_district_margin_to,national_swing_dem,raw_swing_ratio,same_boundary_era,eligible_for_elasticity_estimation
2012,2014,2012_to_2014,AK-AL,AK,AL,82927,185296,R,D_vs_R,-38.1656308370274,114602,142572,R,D_vs_R,-10.875905029279787,27.289725807747615,0.9449832650086638,-6.405598410972133,-7.350581675980797,-3.712594051831458,True,True
2012,2014,2012_to_2014,AL-2,AL,2,103092,180591,R,D_vs_R,-27.318873531371285,54692,113103,R,D_vs_R,-34.81093000387377,-7.492056472502487,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.0192467484558374,True,True
2012,2014,2012_to_2014,AL-3,AL,3,98141,175306,R,D_vs_R,-28.219362435865087,52816,103558,R,D_vs_R,-32.4491283717242,-4.229765935859113,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.5754328191033576,True,True
2012,2014,2012_to_2014,AL-6,AL,6,88267,219262,R,D_vs_R,-42.59598281788059,42291,135945,R,D_vs_R,-52.54494041607756,-9.94895759819697,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.3534925583789896,True,True
2012,2014,2012_to_2014,AR-1,AR,1,96601,138800,R,D_vs_R,-17.926431918301112,63555,124139,R,D_vs_R,-32.27806962396241,-14.351637705661297,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.9524492534458289,True,True
2012,2014,2012_to_2014,AR-2,AR,2,113156,158175,R,D_vs_R,-16.591911724056594,103477,123073,R,D_vs_R,-8.649746192893401,7.942165531163193,0.9449832650086638,-6.405598410972133,-7.350581675980797,-1.080481230093054,True,True
2012,2014,2012_to_2014,AR-4,AR,4,95013,154149,R,D_vs_R,-23.733956221253642,87742,110789,R,D_vs_R,-11.608766389128146,12.125189832125496,0.9449832650086638,-6.405598410972133,-7.350581675980797,-1.6495551463289628,True,True
2012,2014,2012_to_2014,AZ-1,AZ,1,122774,113594,D,D_vs_R,3.8837744533947065,97391,87723,D,D_vs_R,5.2227276164957805,1.338953163101074,0.9449832650086638,-6.405598410972133,-7.350581675980797,-0.18215608262354502,True,True
2012,2014,2012_to_2014,AZ-2,AZ,2,147338,144884,D,D_vs_R,0.8397725017281382,109543,109704,R,D_vs_R,-0.07343315986079627,-0.9132056615889345,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.1242358362703431,True,True
2012,2014,2012_to_2014,AZ-3,AZ,3,98468,62663,D,D_vs_R,22.221049953143716,58192,46185,D,D_vs_R,11.50349214865344,-10.717557804490276,0.9449832650086638,-6.405598410972133,-7.350581675980797,1.4580557399302987,True,True
2012,2014,2012_to_2014,AZ-4,AZ,4,69154,162907,R,D_vs_R,-40.40015340794015,45179,122560,R,D_vs_R,-46.13178807552209,-5.731634667581936,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.7797525311923232,True,True
2012,2014,2012_to_2014,AZ-5,AZ,5,89589,183470,R,D_vs_R,-34.38121431631992,54596,124867,R,D_vs_R,-39.156260621966645,-4.775046305646725,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.6496147537887994,True,True
2012,2014,2012_to_2014,AZ-6,AZ,6,97666,179706,R,D_vs_R,-29.577606968259232,70198,129578,R,D_vs_R,-29.723290084895083,-0.1456831166358512,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.019819263706965413,True,True
2012,2014,2012_to_2014,AZ-9,AZ,9,121881,111630,D,D_vs_R,4.389943086192941,88609,67841,D,D_vs_R,13.274528603387663,8.884585517194722,0.9449832650086638,-6.405598410972133,-7.350581675980797,-1.2086914898485557,True,True
2012,2014,2012_to_2014,CA-1,CA,1,125386,168827,R,D_vs_R,-14.76515313735287,84320,132052,R,D_vs_R,-22.06015565784852,-7.295002520495649,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.9924388085276622,True,True
2012,2014,2012_to_2014,CA-2,CA,2,226216,91310,D,D_vs_R,42.486599522558784,163124,54400,D,D_vs_R,49.98253066328313,7.495931140724345,0.9449832650086638,-6.405598410972133,-7.350581675980797,-1.019773872483929,True,True
2012,2014,2012_to_2014,CA-3,CA,3,126882,107086,D,D_vs_R,8.460986117759694,79224,71036,D,D_vs_R,5.449221349660588,-3.0117647680991055,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.40973148804543313,True,True
2012,2014,2012_to_2014,CA-6,CA,6,160667,53406,D,D_vs_R,50.104870768382746,97008,36448,D,D_vs_R,45.3782520081525,-4.726618760230245,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.6430264934916959,True,True
2012,2014,2012_to_2014,CA-7,CA,7,141241,132050,D,D_vs_R,3.3630818431635143,92521,91066,D,D_vs_R,0.7925397767815804,-2.570542066381934,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.34970593888937956,True,True
2012,2014,2012_to_2014,CA-9,CA,9,118373,94704,D,D_vs_R,11.108190935671143,63475,57729,D,D_vs_R,4.740767631431306,-6.3674233042398365,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.8662475413403558,True,True
2012,2014,2012_to_2014,CA-10,CA,10,98934,110265,R,D_vs_R,-5.41637388324036,55123,70582,R,D_vs_R,-12.297840181377033,-6.881466298136673,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.9361798292267083,True,True
2012,2014,2012_to_2014,CA-11,CA,11,200743,87136,D,D_vs_R,39.46345513219096,117502,57160,D,D_vs_R,34.54786959956945,-4.915585532621506,0.9449832650086638,-6.405598410972133,-7.350581675980797,0.66873422394366,True,True
