model_id,model_description,categorical_feature_count,numeric_feature_count,alpha,cv_rows,cv_mae,cv_rmse,cv_r2,cv_correlation,weighted_mae,weighted_rmse,weighted_r2,prediction_mean,prediction_sd,prediction_min,prediction_max,weighted_rmse_rank_within_model,weighted_mae_rank_within_model,selection_rank_within_model
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,0.01,393,0.5798257742257588,0.8500678028410635,-0.007194012577355746,0.18195730762219173,0.5558699996565192,0.810032475817895,-0.01972325040874945,0.9332792654181937,0.3234925519581515,-0.13355530534878501,1.8061964697548991,11.0,11.0,22.0
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,0.03,393,0.5798236553923035,0.8500660571612385,-0.007189875880361685,0.18195855717067158,0.5558677787610414,0.8100305295764336,-0.019718350295867326,0.9332796670832885,0.3234858476306823,-0.13348249451274685,1.8061835515652591,10.0,10.0,20.0
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,0.1,393,0.5798162425262685,0.8500599511328351,-0.007175406633294301,0.1819629268315249,0.5558600087160088,0.8100237219394977,-0.01970121058845642,0.933281072338573,0.32346239306746244,-0.1332278033724834,1.8061383476968471,9.0,9.0,18.0
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,0.3,393,0.5797950890135368,0.8500425382683209,-0.007134144533486708,0.18197537943493494,0.5558378350181683,0.8100043075350041,-0.019652331391500244,0.9332850824567924,0.32339547054729445,-0.13250137001275109,1.8060092776270293,8.0,8.0,16.0
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,1.0,393,0.5797213544336072,0.8499819744366243,-0.006990637056716098,0.1820185915252342,0.5557605335934778,0.8099367737384283,-0.01948231224010466,0.9332990611530355,0.3231622902866605,-0.12997340316731743,1.805558505859802,7.0,7.0,14.0
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,3.0,393,0.579513232740824,0.8498121272836942,-0.006588234630686252,0.18213894015293985,0.5555422534134847,0.8097473103635605,-0.019005405957919885,0.9333385244651661,0.3225048614014345,-0.12287287240961242,1.8042788134378382,6.0,6.0,12.0
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,10.0,393,0.5788128525243393,0.8492522034648212,-0.005262230838008586,0.18252650998837996,0.5548066935644633,0.8091219987525198,-0.017432199420937655,0.9334714682392433,0.32029975871999705,-0.09935657142232612,1.7998915573787055,5.0,5.0,10.0
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,30.0,393,0.5770206651692397,0.8478930074724474,-0.0020470375292680476,0.1834009614437726,0.5529179090767031,0.807599598265966,-0.013607109811819784,0.933814653568659,0.3146809118190863,-0.04169979944661595,1.7880484416544047,4.0,4.0,8.0
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,100.0,393,0.572406162041429,0.8447538762220046,0.005358930645530613,0.18494615965814368,0.5480190135412458,0.8040619308676841,-0.0047464043930109945,0.934756863259828,0.2998650306354365,0.09291261781595717,1.7523382371238039,3.0,3.0,6.0
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,300.0,393,0.5663318040494969,0.8405914681572704,0.0151366948781545,0.18538667061377323,0.5412982083326251,0.7993272511083043,0.00705155830387405,0.9365604010659148,0.27389172188469335,0.2601085070680573,1.6759138967831375,2.0,2.0,4.0
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,1000.0,393,0.5627307899680836,0.8364100499502404,0.024910486211214278,0.18106411019738805,0.5371514075286843,0.794337669076664,0.01940928652843199,0.940037303068732,0.22805810279286529,0.32172202748771317,1.5158555728619167,1.0,1.0,2.0
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,0.01,393,0.5635512845290223,0.8292637076963939,0.041501761001192405,0.24215132239710946,0.5409716342359526,0.7926547116869037,0.023560025491368597,0.9349697200287433,0.3151687106306532,-0.10839784761495919,1.75775815871649,11.0,11.0,22.0
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,0.03,393,0.5635486441205302,0.8292611064050155,0.04150777435803299,0.2421545361783,0.5409690007970809,0.792652096583191,0.023566468366312043,0.9349691373871513,0.31515683394586796,-0.10832387465929305,1.7577365482645908,10.0,10.0,20.0
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,0.1,393,0.5635394244158691,0.8292520540085371,0.041528700467367785,0.2421656999186576,0.5409598033955675,0.7926429888404954,0.02358890709904715,0.9349671142880417,0.31511544118282686,-0.10806541978285877,1.7576609382688981,9.0,9.0,18.0
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,0.3,393,0.5635132662893159,0.8292266276692466,0.04158747642752181,0.2421968872030449,0.5409336914687133,0.7926173458352447,0.023652082349764902,0.9349614699743087,0.31499865282959033,-0.10733078809803276,1.7574451359300491,8.0,8.0,16.0
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,1.0,393,0.5634237714476505,0.8291424082616089,0.041782146577647894,0.24229832192148112,0.540844168320861,0.7925317394181095,0.02386297133406534,0.9349432117103544,0.3146060686094232,-0.10480217476130127,1.7566924048294612,7.0,7.0,14.0
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,3.0,393,0.5631837692504715,0.8289356138304674,0.04226006063284782,0.24253369215718368,0.5406027631460896,0.7923167276777051,0.02439254621644049,0.934901928749927,0.31360049818730795,-0.09790169420469574,1.7545624180322426,6.0,6.0,12.0
