target_cycle,target_race_id,history_cycle,history_race_id,history_state,history_district,history_actual_dem_margin,history_actual_winner,history_boundary_regime_id,target_boundary_regime_id,history_selection_method
2014,AK-AL,2012,AK-AL,AK,AL,-35.323529005810826,R,AK_2012_2020_default,AK_2012_2020_default,same_boundary_regime_only
2014,AL-2,2012,AL-2,AL,2,-27.29289706395073,R,AL_2012_2020_default,AL_2012_2020_default,same_boundary_regime_only
2014,AL-3,2012,AL-3,AL,3,-28.1696053736356,R,AL_2012_2020_default,AL_2012_2020_default,same_boundary_regime_only
2014,AL-4,2012,AL-4,AL,4,-48.06999160219681,R,AL_2012_2020_default,AL_2012_2020_default,same_boundary_regime_only
2014,AL-5,2012,AL-5,AL,5,-30.008616753578018,R,AL_2012_2020_default,AL_2012_2020_default,same_boundary_regime_only
2014,AL-6,2012,AL-6,AL,6,-42.516763928828766,R,AL_2012_2020_default,AL_2012_2020_default,same_boundary_regime_only
2014,AL-7,2012,AL-7,AL,7,51.76345096197131,D,AL_2012_2020_default,AL_2012_2020_default,same_boundary_regime_only
2014,AR-1,2012,AR-1,AR,1,-17.095481743456368,R,AR_2012_2020_default,AR_2012_2020_default,same_boundary_regime_only
2014,AR-2,2012,AR-2,AR,2,-15.708064955093894,R,AR_2012_2020_default,AR_2012_2020_default,same_boundary_regime_only
2014,AR-4,2012,AR-4,AR,4,-22.83657652160817,R,AR_2012_2020_default,AR_2012_2020_default,same_boundary_regime_only
2014,AZ-1,2012,AZ-1,AZ,1,3.648721159005545,D,AZ_2012_2020_default,AZ_2012_2020_default,same_boundary_regime_only
2014,AZ-2,2012,AZ-2,AZ,2,0.8396087300148146,D,AZ_2012_2020_default,AZ_2012_2020_default,same_boundary_regime_only
2014,AZ-3,2012,AZ-3,AZ,3,21.224318012068903,D,AZ_2012_2020_default,AZ_2012_2020_default,same_boundary_regime_only
2014,AZ-4,2012,AZ-4,AZ,4,-38.461191335740075,R,AZ_2012_2020_default,AZ_2012_2020_default,same_boundary_regime_only
2014,AZ-5,2012,AZ-5,AZ,5,-34.38121431631992,R,AZ_2012_2020_default,AZ_2012_2020_default,same_boundary_regime_only
2014,AZ-6,2012,AZ-6,AZ,6,-27.983095536143693,R,AZ_2012_2020_default,AZ_2012_2020_default,same_boundary_regime_only
2014,AZ-8,2012,AZ-8,AZ,8,-28.290522781176797,R,AZ_2012_2020_default,AZ_2012_2020_default,same_boundary_regime_only
2014,AZ-9,2012,AZ-9,AZ,9,4.098252515681783,D,AZ_2012_2020_default,AZ_2012_2020_default,same_boundary_regime_only
2014,CA-1,2012,CA-1,CA,1,-14.76515313735287,R,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-2,2012,CA-2,CA,2,42.486599522558784,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-3,2012,CA-3,CA,3,8.460986117759694,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-4,2012,CA-4,CA,4,-22.218308988902898,R,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-5,2012,CA-5,CA,5,48.942246629248544,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-6,2012,CA-6,CA,6,50.104870768382746,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-7,2012,CA-7,CA,7,3.3630818431635143,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-9,2012,CA-9,CA,9,11.108190935671145,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-10,2012,CA-10,CA,10,-5.41637388324036,R,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-11,2012,CA-11,CA,11,39.46345513219096,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-12,2012,CA-12,CA,12,70.1677135488804,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-14,2012,CA-14,CA,14,57.83307457323943,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-16,2012,CA-16,CA,16,14.817226178365548,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-17,2012,CA-17,CA,17,47.08943929718357,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-18,2012,CA-18,CA,18,40.97849198831533,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-19,2012,CA-19,CA,19,46.4715517591477,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
2014,CA-20,2012,CA-20,CA,20,48.13711134516745,D,CA_2012_2020_default,CA_2012_2020_default,same_boundary_regime_only
