cycle,chamber,race_id,district_id,state,district,election_date,election_type,dem_candidate,gop_candidate,other_candidates,dem_vote_total,gop_vote_total,other_vote_total,total_vote,dem_vote_share,gop_vote_share,actual_dem_margin,actual_winner,has_dem_candidate,has_gop_candidate,major_party_contested,named_candidate_count,named_dem_count,named_gop_count,named_other_count,general_election_party_structure,uncontested,uncontested_dem,uncontested_gop,include_in_major_party_margin_scoring,special_handling_notes,source_name,source_url,retrieved_date
2020,House,AK-AL,AK-AL,AK,AL,2020-11-08,General,ALYSE S GALVIN,DON YOUNG,,159856,192126,1183,353165,45.26382852207892,54.401200571970605,-9.137372049891693,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AL-1,AL-1,AL,1,2020-11-08,General,JAMES AVERHART,JERRY CARL,,116949,211825,301,329075,35.53870698169111,64.36982450809086,-28.83111752639976,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AL-2,AL-2,AL,2,2020-11-08,General,PHYLLIS HARVEY-HALL,BARRY MOORE,,105286,197996,287,303569,34.68272452061969,65.22273354657426,-30.54000902595456,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AL-3,AL-3,AL,3,2020-11-08,General,ADIA WINFREY,MIKE ROGERS,,104595,217384,255,322234,32.45933079687432,67.4615341646133,-35.00220336773897,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AL-4,AL-4,AL,4,2020-11-08,General,RICK NEIGHBORS,ROBERT B ADERHOLT,,56237,261553,239,318029,17.682978596291534,82.24187102434055,-64.55889242804902,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AL-5,AL-5,AL,5,2020-11-08,General,,MO BROOKS,,0,253094,11066,264160,0.0,95.81087219866747,-95.81087219866747,R,False,True,False,1,0,1,0,R_unopposed,True,False,True,False,Nonstandard general-election party structure: R_unopposed,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AL-6,AL-6,AL,6,2020-11-08,General,,GARY J PALMER,,0,274160,8101,282261,0.0,97.12996127697414,-97.12996127697414,R,False,True,False,1,0,1,0,R_unopposed,True,False,True,False,Nonstandard general-election party structure: R_unopposed,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AL-7,AL-7,AL,7,2020-11-08,General,TERRI A SEWELL,,,225742,0,6589,232331,97.16396003977084,0.0,97.16396003977084,D,True,False,False,1,1,0,0,D_unopposed,True,True,False,False,Nonstandard general-election party structure: D_unopposed,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AR-1,AR-1,AR,1,2020-11-08,General,,"ERIC A \""RICK\"" CRAWFORD",,0,237596,0,237596,0.0,100.0,-100.0,R,False,True,False,1,0,1,0,R_unopposed,True,False,True,False,Nonstandard general-election party structure: R_unopposed,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AR-2,AR-2,AR,2,2020-11-08,General,JOYCE ELLIOTT,J FRENCH HILL,,148410,184093,0,332503,44.63418375172555,55.36581624827445,-10.731632496548903,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AR-3,AR-3,AR,3,2020-11-08,General,CELESTE WILLIAMS,STEVE WOMACK,MICHAEL J KALAGIAS,106325,214960,12977,334262,31.808880459041113,64.3088355840628,-32.49995512502169,R,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AR-4,AR-4,AR,4,2020-11-08,General,WILLIAM H HANSON,BRUCE WESTERMAN,FRANK GILBERT,75750,191617,7668,275035,27.541949206464633,69.67004199465522,-42.12809278819059,R,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AZ-1,AZ-1,AZ,1,2020-11-08,General,TOM O'HALLERAN,TIFFANY SHEDD,,188469,176709,0,365178,51.61017366873141,48.38982633126859,3.2203473374628264,D,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AZ-2,AZ-2,AZ,2,2020-11-08,General,ANN KIRKPATRICK,BRANDON MARTIN,BRANDON SCHLASS | IMAN BAH,209945,170975,134,381054,55.09586567783044,44.86896870259858,10.226896975231856,D,True,True,True,4,1,1,2,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AZ-3,AZ-3,AZ,3,2020-11-08,General,RAUL M GRIJALVA,DANIEL WOOD,,174243,95594,0,269837,64.57342766188476,35.426572338115236,29.146855323769536,D,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AZ-4,AZ-4,AZ,4,2020-11-08,General,DELINA DISANTO,PAUL A GOSAR,ANA PEREZ GISSY | BRETT BRENNAN | DON OVERHOLSER | EMILY ROBINSON | MIKO JONES,120484,278002,137,398623,30.22504973370829,69.74058195337449,-39.5155322196662,R,True,True,True,7,1,1,5,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AZ-5,AZ-5,AZ,5,2020-11-08,General,JOAN GREENE,ANDY BIGGS,KAREN STEPHENS,183171,262414,72,445657,41.101340268412706,58.882503808983145,-17.78116354057044,R,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2020,House,AZ-6,AZ-6,AZ,6,2020-11-08,General,HIRAL TIPIRNENI,DAVID SCHWEIKERT,,199644,217783,0,417427,47.82728477075033,52.17271522924967,-4.34543045849933,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
