race_id,candidate,party,party_code,candidatevotes,candidate_norm,candidate_id,candidate_name,incumbent_challenger_status,candidate_status,fec_key_count,match_status
AL-1,JERRY L CARL,REPUBLICAN,R,140592,JERRY L CARL,,,,,,No exact FEC match
AL-2,BARRY MOORE,REPUBLICAN,R,137460,BARRY MOORE,,,,,,No exact FEC match
AL-2,PHYLLIS HARVEY-HALL,DEMOCRAT,D,58014,PHYLLIS HARVEY HALL,,,,,,No exact FEC match
AL-3,MIKE ROGERS,REPUBLICAN,R,135602,MIKE ROGERS,,,,,,No exact FEC match
AL-3,LIN VEASEY,DEMOCRAT,D,47859,LIN VEASEY,,,,,,No exact FEC match
AL-4,ROBERT B ADERHOLT,REPUBLICAN,R,164655,ROBERT B ADERHOLT,,,,,,No exact FEC match
AL-4,RICK NEIGHBORS,DEMOCRAT,D,26694,RICK NEIGHBORS,,,,,,No exact FEC match
AL-5,DALE STRONG,REPUBLICAN,R,142435,DALE STRONG,,,,,,No exact FEC match
AL-5,KATHY WARNER-STANTON,DEMOCRAT,D,62740,KATHY WARNER STANTON,,,,,,No exact FEC match
AL-6,GARY J PALMER,REPUBLICAN,R,154233,GARY J PALMER,,,,,,No exact FEC match
AL-7,BEATRICE NICHOLS,REPUBLICAN,R,67416,BEATRICE NICHOLS,,,,,,No exact FEC match
AL-7,TERRI A SEWELL,DEMOCRAT,D,123233,TERRI A SEWELL,,,,,,No exact FEC match
AZ-1,DAVID SCHWEIKERT,REPUBLICAN,R,182336,DAVID SCHWEIKERT,,,,,,No exact FEC match
AZ-1,JEVIN HODGE,DEMOCRAT,D,179141,JEVIN HODGE,,,,,,No exact FEC match
AZ-2,ELI CRANE,REPUBLICAN,R,174169,ELI CRANE,,,,,,No exact FEC match
AZ-2,TOM OâHALLERAN,DEMOCRAT,D,149151,TOM OAHALLERAN,,,,,,No exact FEC match
AZ-3,JEFF ZINK,REPUBLICAN,R,32475,JEFF ZINK,,,,,,No exact FEC match
AZ-3,RUBEN GALLEGO,DEMOCRAT,D,108599,RUBEN GALLEGO,,,,,,No exact FEC match
AZ-4,KELLY COOPER,REPUBLICAN,R,116521,KELLY COOPER,,,,,,No exact FEC match
AZ-4,GREG STANTON,DEMOCRAT,D,148941,GREG STANTON,,,,,,No exact FEC match
AZ-5,ANDY BIGGS,REPUBLICAN,R,182464,ANDY BIGGS,,,,,,No exact FEC match
AZ-5,JAVIER RAMOS,DEMOCRAT,D,120243,JAVIER RAMOS,,,,,,No exact FEC match
AZ-6,JUAN CISCOMANI,REPUBLICAN,R,177201,JUAN CISCOMANI,,,,,,No exact FEC match
AZ-6,KIRSTEN ENGEL,DEMOCRAT,D,171969,KIRSTEN ENGEL,,,,,,No exact FEC match
AZ-7,LUIS POZZOLO,REPUBLICAN,R,69444,LUIS POZZOLO,,,,,,No exact FEC match
AZ-7,RAÃL M GRIJALVA,DEMOCRAT,D,126418,RAAL M GRIJALVA,,,,,,No exact FEC match
AZ-8,DEBBIE LESKO,REPUBLICAN,R,197555,DEBBIE LESKO,,,,,,No exact FEC match
AZ-9,PAUL GOSAR,REPUBLICAN,R,192796,PAUL GOSAR,,,,,,No exact FEC match
AR-1,ERIC A âRICKâ CRAWFORD,REPUBLICAN,R,153774,ERIC A ARICKA CRAWFORD,,,,,,No exact FEC match
AR-1,MONTE HODGES,DEMOCRAT,D,54598,MONTE HODGES,,,,,,No exact FEC match
AR-2,J FRENCH HILL,REPUBLICAN,R,147975,J FRENCH HILL,,,,,,No exact FEC match
AR-2,QUINTESSA HATHAWAY,DEMOCRAT,D,86887,QUINTESSA HATHAWAY,,,,,,No exact FEC match
AR-3,STEVE WOMACK,REPUBLICAN,R,142401,STEVE WOMACK,,,,,,No exact FEC match
AR-3,LAUREN MALLETT-HAYS,DEMOCRAT,D,73541,LAUREN MALLETT HAYS,,,,,,No exact FEC match
