race_id,party_structure,named_candidate_count,named_dem_count,named_gop_count,named_other_count,all_candidates
AL-1,R_vs_Other,2,0,1,1,JERRY L CARL [REPUBLICAN; 140592 votes; write-in=False] | ALEXANDER M REMREY [LIBERTARIAN; 26369 votes; write-in=False] | WRITEIN [nan; 1189 votes; write-in=True]
AL-6,R_vs_Other,2,0,1,1,GARY J PALMER [REPUBLICAN; 154233 votes; write-in=False] | ANDRIA CHIEFFO [LIBERTARIAN; 27833 votes; write-in=False] | WRITEIN [nan; 2137 votes; write-in=True]
AZ-8,R_unopposed,1,0,1,0,DEBBIE LESKO [REPUBLICAN; 197555 votes; write-in=False] | JEREMY SPREITZER [DEMOCRATIC; 5145 votes; write-in=True] | ALIXANDRIA GUZMAN [DEMOCRATIC; 2013 votes; write-in=True]
AZ-9,R_unopposed,1,0,1,0,PAUL GOSAR [REPUBLICAN; 192796 votes; write-in=False] | RICHARD GRAYSON [DEMOCRATIC; 3531 votes; write-in=True] | TOM T [DEMOCRATIC; 858 votes; write-in=True]
CA-10,D_vs_Other,2,1,0,1,MARK DESAULNIER [DEMOCRAT; 198415 votes; write-in=False] | MICHAEL ERNEST KERR [GREEN; 52965 votes; write-in=False]
CA-15,D_vs_D,2,2,0,0,KEVIN MULLIN [DEMOCRAT; 108077 votes; write-in=False] | DAVID J CANEPA [DEMOCRAT; 86797 votes; write-in=False]
CA-16,D_vs_D,2,2,0,0,ANNA G ESHOO [DEMOCRAT; 139235 votes; write-in=False] | RISHI KUMAR [DEMOCRAT; 101772 votes; write-in=False]
CA-29,D_vs_D,2,2,0,0,TONY CÃRDENAS [DEMOCRAT; 69915 votes; write-in=False] | ANGÃLICA MARIA DUEÃAS [DEMOCRAT; 49520 votes; write-in=False]
CA-30,D_vs_D,2,2,0,0,ADAM B SCHIFF [DEMOCRAT; 150100 votes; write-in=False] | G âMAEBE A GIRLâ PUDLO [DEMOCRAT; 60968 votes; write-in=False]
CA-34,D_vs_D,2,2,0,0,JIMMY GOMEZ [DEMOCRAT; 62244 votes; write-in=False] | DAVID KIM [DEMOCRAT; 59223 votes; write-in=False]
CA-37,D_vs_D,2,2,0,0,SYDNEY KAMLAGER [DEMOCRAT; 84338 votes; write-in=False] | JAN C PERRY [DEMOCRAT; 47542 votes; write-in=False]
FL-18,R_vs_Other,2,0,1,1,"C SCOTT FRANKLIN [REPUBLICAN; 167429 votes; write-in=False] | KEITH R HAYDEN, JR [NO PARTY AFFILIATION; 56647 votes; write-in=False] | LEONARD L SERRATORE [nan; 158 votes; write-in=True]"
FL-5,R_unopposed,1,0,1,0,JOHN H RUTHERFORD [REPUBLICAN; 1 votes; write-in=False]
FL-6,R_vs_Other,2,0,1,1,MICHAEL WALTZ [REPUBLICAN; 226548 votes; write-in=False] | JOSEPH âJOEâ HANNOUSH [LIBERTARIAN; 74207 votes; write-in=False]
IL-7,D_unopposed,1,1,0,0,DANNY K DAVIS [DEMOCRAT; 167650 votes; write-in=False] | CHAD KOPPIE [nan; 83 votes; write-in=True] | ROGER ROMANELLI [nan; 10 votes; write-in=True] | JOSHUA O LOYD [nan; 3 votes; write-in=True]
LA-4,R_unopposed,1,0,1,0,MIKE JOHNSON [REPUBLICAN; 1 votes; write-in=False]
LA-6,R_vs_R,3,0,2,1,"GARRET GRAVES [REPUBLICAN; 189684 votes; write-in=False] | RUFUS HOLT CRAIG, JR [LIBERTARIAN; 30709 votes; write-in=False] | BRIAN BELZER [REPUBLICAN; 15535 votes; write-in=False]"
MA-4,D_vs_Other,3,1,0,2,JAKE AUCHINCLOSS [DEMOCRAT; 201882 votes; write-in=False] | BLANKS [nan; 83290 votes; write-in=False] | ALL OTHERS [nan; 6397 votes; write-in=False]
ND-AL,R_vs_Other,2,0,1,1,KELLY ARMSTRONG [REPUBLICAN; 148399 votes; write-in=False] | CARA MUND [INDEPENDENT; 89644 votes; write-in=False] | WRITEIN [nan; 543 votes; write-in=True]
NY-13,D_vs_Other,3,1,0,2,ADRIANO ESPAILLAT [DEMOCRAT; 116589 votes; write-in=False] | BLANK [nan; 24949 votes; write-in=False] | SCATTERING [nan; 1257 votes; write-in=False]
NY-9,D_vs_Other,5,1,0,4,YVETTE D CLARKE [DEMOCRAT; 99771 votes; write-in=False] | MENACHEM M RAITPORT [CONSERVATIVE; 26521 votes; write-in=False] | BLANK [nan; 23680 votes; write-in=False] | YVETTE D CLARKE [WORKING FAMILIES; 17199 votes; write-in=False] | SCATTERING [nan; 362 votes; write-in=False]
PA-13,R_unopposed,1,0,1,0,JOHN JOYCE [REPUBLICAN; 260345 votes; write-in=False]
PA-14,R_unopposed,1,0,1,0,GUY RESCHENTHALER [REPUBLICAN; 230865 votes; write-in=False]
PA-3,D_vs_Other,2,1,0,1,DWIGHT EVANS [DEMOCRAT; 251115 votes; write-in=False] | CHRISTOPHER HOEPPNER [SOCIALIST WORKERS; 12820 votes; write-in=False]
SC-3,R_unopposed,1,0,1,0,JEFF DUNCAN [REPUBLICAN; 189971 votes; write-in=False] | WRITEIN [nan; 4598 votes; write-in=True]
SC-4,R_unopposed,1,0,1,0,WILLIAM R TIMMONS IV [REPUBLICAN; 165607 votes; write-in=False] | WRITEIN [nan; 16758 votes; write-in=True]
SD-AL,R_vs_Other,2,0,1,1,DUSTY JOHNSON [REPUBLICAN; 253821 votes; write-in=False] | COLLIN DUPREL [LIBERTARIAN; 74020 votes; write-in=False]
TX-11,R_unopposed,1,0,1,0,AUGUST PFLUGER [REPUBLICAN; 151066 votes; write-in=False]
TX-19,R_vs_Other,2,0,1,1,JODEY C ARRINGTON [REPUBLICAN; 152321 votes; write-in=False] | NATHAN LEWIS [INDEPENDENT; 37360 votes; write-in=False]
TX-25,R_unopposed,1,0,1,0,ROGER WILLIAMS [REPUBLICAN; 185270 votes; write-in=False]
TX-26,R_vs_Other,2,0,1,1,MICHAEL C BURGESS [REPUBLICAN; 183639 votes; write-in=False] | MIKE KOLLS [LIBERTARIAN; 81384 votes; write-in=False]
TX-31,R_unopposed,1,0,1,0,JOHN R CARTER [REPUBLICAN; 183185 votes; write-in=False]
TX-6,R_unopposed,1,0,1,0,JAKE ELLZEY [REPUBLICAN; 149321 votes; write-in=False]
WI-6,R_vs_Other,2,0,1,1,GLENN GROTHMAN [REPUBLICAN; 239231 votes; write-in=False] | SCATTERING [nan; 12428 votes; write-in=False] | TOM POWELL [nan; 340 votes; write-in=True]
WI-8,R_vs_Other,4,0,1,3,MIKE GALLAGHER [REPUBLICAN; 223981 votes; write-in=False] | PAUL DAVID BOUCHER [INDEPENDENT; 48896 votes; write-in=False] | JACOB J VANDENPLAS [LIBERTARIAN; 32057 votes; write-in=False] | JULIE HANCOCK [DEMOCRATIC; 3160 votes; write-in=True] | SCATTERING [nan; 1967 votes; write-in=False] | ROBBIE HOFFMAN [DEMOCRATIC; 135 votes; write-in=True]
