candidate_uid,cycle,chamber,race_id,state,district,party_code,candidate_name_canonical,candidate_name_mit,candidate_name_fec,fec_candidate_id,principal_campaign_committee_id,incumbent_challenger_status,is_incumbent,is_challenger,is_open_seat_candidate,fec_candidate_status,candidate_vote_total,candidate_vote_share,match_method,match_score,match_reason,second_best_score,candidate_count_considered,source_results,source_candidate_identity
HOUSE_2022_AK_AL_D_MARY_SATTLER_PELTOLA,2022,House,AK-AL,AK,AL,D,MARY SATTLER PELTOLA,MARY SATTLER PELTOLA,"PELTOLA, MARY",H2AK01158,C00812388,I,True,False,False,C,128553,0.48766359394560144,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,6,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AK_AL_R_NICK_BEGICH,2022,House,AK-AL,AK,AL,R,NICK BEGICH,NICK BEGICH,"BEGICH, NICHOLAS III",H2AK01083,C00792341,C,False,True,False,C,61513,0.23334850726451956,high_confidence_automatic,90.0,last_exact+first_match+scope_same_race,2.0,23,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AK_AL_R_SARAH_PALIN,2022,House,AK-AL,AK,AL,R,SARAH PALIN,SARAH PALIN,"PALIN, SARAH",H2AK00226,C00811323,O,False,False,True,C,67866,0.25744850347103676,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,23,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AL_1_R_JERRY_L_CARL,2022,House,AL-1,AL,1,R,JERRY L CARL,JERRY L CARL,"CARL, JERRY LEE, JR",H0AL01055,C00697789,I,True,False,False,C,140592,0.8361106155218555,high_confidence_automatic,92.5,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AL_2_D_PHYLLIS_HARVEY_HALL,2022,House,AL-2,AL,2,D,PHYLLIS HARVEY-HALL,PHYLLIS HARVEY-HALL,"HARVEY-HALL, PHYLLIS",H0AL02202,C00728873,C,False,True,False,C,58014,0.2915847829474118,high_confidence_automatic,100.0,last_exact+first_match+token_overlap+scope_same_race,2.0,4,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AL_2_R_BARRY_MOORE,2022,House,AL-2,AL,2,R,BARRY MOORE,BARRY MOORE,"MOORE, FELIX BARRY",H8AL02171,C00720375,I,True,False,False,C,137460,0.6908891692341715,high_confidence_automatic,92.0,last_exact+alternate_given_name_match+token_overlap+scope_same_race,2.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AL_3_D_LIN_VEASEY,2022,House,AL-3,AL,3,D,LIN VEASEY,LIN VEASEY,"VEASEY, KAREN LIN MRS",H2AL03131,C00817130,C,False,True,False,C,47859,0.2513523733495793,manual_override,100.0,"Verified 2022 MIT-to-FEC identity; manual override resolves duplicate ID, nickname, or name-format ambiguity.",,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AL_3_R_MIKE_ROGERS,2022,House,AL-3,AL,3,R,MIKE ROGERS,MIKE ROGERS,"ROGERS, MICHAEL",H2AL03032,C00367862,I,True,False,False,C,135602,0.7121729357268153,high_confidence_automatic,90.0,last_exact+first_match+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AL_4_D_RICK_NEIGHBORS,2022,House,AL-4,AL,4,D,RICK NEIGHBORS,RICK NEIGHBORS,"NEIGHBORS, RICKY",H8AL04086,C00802025,C,False,True,False,C,26694,0.13637966004710497,probable_automatic,72.0,last_exact+first_initial+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AL_4_R_ROBERT_B_ADERHOLT,2022,House,AL-4,AL,4,R,ROBERT B ADERHOLT,ROBERT B ADERHOLT,"ADERHOLT, ROBERT B. REP.",H6AL04098,C00313247,I,True,False,False,C,164655,0.8412224816459156,high_confidence_automatic,96.25,last_exact+first_match+token_overlap+scope_same_race,0.0,2,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AL_5_D_KATHY_WARNER_STANTON,2022,House,AL-5,AL,5,D,KATHY WARNER-STANTON,KATHY WARNER-STANTON,"WARNER-STANTON, KATHY L",H2AL05177,C00791558,O,False,False,True,C,62740,0.295501537794901,high_confidence_automatic,96.25,last_exact+first_match+token_overlap+scope_same_race,,1,MIT Election Data and Science Lab,Federal Election Commission
HOUSE_2022_AL_5_R_DALE_STRONG,2022,House,AL-5,AL,5,R,DALE STRONG,DALE STRONG,"STRONG, DALE WHITNEY",H2AL05102,C00774281,C,False,True,False,C,142435,0.6708600818587301,high_confidence_automatic,95.0,last_exact+first_match+token_overlap+scope_same_race,2.0,9,MIT Election Data and Science Lab,Federal Election Commission
