race_id,state,boundary_regime_id,boundary_regime_status,boundary_regime_notes,regime_scorable_elections,regime_first_cycle,regime_last_cycle,regime_mean_dem_margin,regime_median_dem_margin,regime_margin_std,regime_margin_mad,regime_mean_absolute_margin,regime_margin_range,regime_democratic_wins,regime_republican_wins,regime_democratic_win_rate,regime_competitive_within_5_rate,regime_competitive_within_10_rate,regime_competitive_within_15_rate,regime_party_switch_count,regime_longest_democratic_streak,regime_longest_republican_streak,regime_current_party_streak_party,regime_current_party_streak_length,regime_consecutive_swing_count,regime_mean_swing_dem,regime_mean_absolute_swing,regime_swing_std,regime_largest_absolute_swing,regime_first_to_last_margin_change_dem,regime_trend_intercept_dem,regime_trend_slope_points_per_election,regime_trend_residual_rmse,regime_reliability
AK-AL,AK,AK_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,5,2012,2020,-15.068627293766099,-9.998534358567388,10.42798967789504,3.4137580212340453,15.068627293766099,28.73875266847748,0,5,0.0,0.0,0.6,0.8,0,0,5,R,5,4,6.546539238979783,9.973032274588881,11.773315560925756,25.324994647243436,26.186156955919135,-15.068627293766095,5.5786071933072305,6.819182670074702,high
AL-2,AL,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,5,2012,2020,-24.763221852877432,-27.29289706395073,9.124212439176038,4.330425243237297,24.763221852877432,26.53604677331549,0,5,0.0,0.0,0.2,0.2,0,0,5,R,5,4,-0.8117779905009574,14.079801377158702,16.059730059213422,26.53604677331549,-3.2471119620038316,-24.763221852877425,0.5321693318820836,9.093120709614665,high
AL-3,AL,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,5,2012,2020,-31.413742525088743,-32.398161154386415,3.045812794107941,2.6040422133525567,31.413742525088743,7.503335247953704,0,5,0.0,0.0,0.0,0.0,0,0,5,R,5,4,-1.7081494985258425,4.958652743581939,5.180207437325633,7.503335247953704,-6.83259799410337,-31.41374252508875,-0.8765902953605595,2.782113312737458,high
AL-4,AL,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,3,2012,2020,-57.424850254914226,-59.645666734496835,6.912306994927561,4.913225693552185,57.424850254914226,16.488900825852213,0,3,0.0,0.0,0.0,0.0,0,0,3,R,3,2,-8.244450412926106,8.244450412926106,3.331224719373921,11.575675132300027,-16.488900825852213,-57.42485025491439,-4.061379015148506,0.35825267421128604,medium
AL-5,AL,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,3,2012,2018,-28.558062440562285,-30.008616753578018,4.771588286691026,3.531532309426723,28.558062440562285,11.414727557900644,0,3,0.0,0.0,0.0,0.0,0,0,3,R,3,2,3.9415976242369606,7.473129933663683,7.473129933663683,11.414727557900644,7.883195248473921,-28.558062440562363,2.0000891917477825,4.067588668021262,medium
AL-6,AL,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,4,2012,2018,-45.62007554773515,-45.79543868369675,5.492620101334686,4.982728941222522,45.62007554773515,14.075018799000517,0,4,0.0,0.0,0.0,0.0,0,0,4,R,4,3,1.3698536388518245,8.01349222714852,8.545545322053554,10.666910426291444,4.109560916555473,-45.620075547735155,1.57367911223755,5.203200278887975,high
AL-7,AL,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,1,2012,2012,51.76345096197131,51.76345096197131,0.0,0.0,51.76345096197131,0.0,1,0,1.0,0.0,0.0,0.0,0,1,0,D,1,0,,,,,,,,,insufficient_single_cycle
AR-1,AR,AR_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,3,2012,2018,-29.380092384737527,-30.869884232838743,9.480844743237771,9.305026945078723,29.380092384737527,23.079429434461098,0,3,0.0,0.0,0.0,0.0,0,0,3,R,3,2,-11.539714717230549,11.539714717230549,2.234687772151826,13.774402489382375,-23.079429434461098,-29.380092384737793,-7.258767477351656,2.815076066562579,medium
AR-2,AR,AR_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,5,2012,2020,-12.5073810069435,-10.731632496548904,5.501286322033568,4.42277049846642,12.5073810069435,15.222626046775748,0,5,0.0,0.0,0.4,0.6,0,0,5,R,5,4,1.2441081146362474,10.09280861623158,10.918268287784631,15.222626046775748,4.9764324585449895,-12.507381006943497,1.190086045914147,5.237512921572077,high
AR-4,AR,AR_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,4,2012,2020,-27.91371560387175,-29.17300782037693,11.890257358508169,9.645758133291213,27.91371560387175,30.947338801648055,0,4,0.0,0.0,0.0,0.25,0,0,4,R,4,3,-6.430505422194141,14.201053778904564,14.69121614759929,24.32868513260316,-19.291516266582423,-27.91371560387175,-6.291171766576799,6.513916990576791,high
