race_id,state,district,region,district_type,dra_population_dataset,dra_data_status,total_population,voting_age_population,white_population_share,black_population_share,hispanic_population_share,asian_population_share,native_population_share,pacific_population_share,white_vap_share,black_vap_share,hispanic_vap_share,asian_vap_share,native_vap_share,pacific_vap_share,pres_2020_margin_dem,pres_2024_margin_dem,dra_composite_margin_dem,dra_composite_dem_two_party_share,dra_map_year,dra_source_zip,dra_data_available,presidential_margin_average_2020_2024_dem,presidential_swing_2020_to_2024_dem,presidential_margin_range_2020_2024,presidential_average_absolute_margin,presidential_baseline_competitiveness,presidential_party_lean,presidential_trend_direction,dra_composite_minus_presidential_average_dem,dra_composite_absolute_margin,dra_composite_competitiveness,structural_profile_version,structural_profile_stage,political_baseline_method,demographic_source,structural_profile_notes,boundary_regime_count,selected_boundary_regime_id,selected_boundary_regime_status,selected_boundary_regime_notes,selected_regime_reliability,selected_regime_scorable_elections,selected_regime_first_cycle,selected_regime_last_cycle,selected_regime_mean_dem_margin,selected_regime_median_dem_margin,selected_regime_margin_std,selected_regime_margin_mad,selected_regime_mean_absolute_margin,selected_regime_margin_range,selected_regime_democratic_wins,selected_regime_republican_wins,selected_regime_democratic_win_rate,selected_regime_competitive_within_5_rate,selected_regime_competitive_within_10_rate,selected_regime_competitive_within_15_rate,selected_regime_party_switch_count,selected_regime_longest_democratic_streak,selected_regime_longest_republican_streak,selected_regime_current_party_streak_party,selected_regime_current_party_streak_length,selected_regime_consecutive_swing_count,selected_regime_mean_swing_dem,selected_regime_mean_absolute_swing,selected_regime_swing_std,selected_regime_largest_absolute_swing,selected_regime_first_to_last_margin_change_dem,selected_regime_trend_intercept_dem,selected_regime_trend_slope_points_per_election,selected_regime_trend_residual_rmse,behavior_boundary_method,behavior_profile_version,behavior_profile_notes,historical_elasticity_observation_count,historical_raw_elasticity,historical_shrunk_elasticity,historical_elasticity_residual_rmse,historical_elasticity_low_information,historical_elasticity_information,historical_elasticity_shrinkage_strength,behavior_data_available,behavior_multi_cycle_available,behavior_high_or_medium_reliability,behavior_reliability_score,historical_elasticity_available,historical_elasticity_reliable,core_structural_features_available,complete_master_feature_row,historical_behavior_competitiveness,historical_behavior_volatility_index,historical_behavior_swing_index,historical_behavior_predictability_index,district_dna_feature_version,district_dna_stage,district_dna_notes
AK-AL,AK,AL,Northwest,Mixed,Unknown,at_large_state_fallback_pending,,,,,,,,,,,,,,,-10.0,-13.1,,,,,False,-11.55,-3.0999999999999996,3.0999999999999996,11.55,88.45,Republican,Republican,,,,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,DRA unavailable for at-large district,At-large district retained without DRA demographic or composite-election data; future state-level fallback pending.,1,AK_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,high,5,2012.0,2020.0,-15.0686272937661,-9.998534358567388,10.42798967789504,3.4137580212340453,15.0686272937661,28.73875266847748,0,5,0.0,0.0,0.6,0.8,0,0,5,R,5,4,6.546539238979783,9.97303227458888,11.773315560925756,25.324994647243436,26.186156955919135,-15.068627293766095,5.5786071933072305,6.819182670074702,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",4.0,-0.6664562037043746,0.1537963620486596,14.18915363220328,False,173.83295368567016,0.5,True,True,True,1.0,True,True,True,False,84.9313727062339,10.42798967789504,9.97303227458888,65.90408664962649,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
AL-1,AL,1,Deep South,Rural,2020 Census,available,717754.0,557393.0,64.50204387575687,26.456696862713407,3.828052508240985,2.0461049328878698,3.0708292813415183,0.1397414713118979,67.0796009278911,24.62678935688105,3.2630477957204342,1.8676230236117064,2.9465744995003527,0.116793716462173,-30.199999999999996,-36.3,-23.9355493914177,38.03222530429115,2026.0,AL-2026-Congressional-district-data.zip,True,-33.25,-6.100000000000001,6.100000000000001,33.25,66.75,Republican,Republican,9.314450608582298,23.9355493914177,76.06445060858229,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results.",1,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,medium,3,2014.0,2020.0,-30.551620943397086,-28.83111752639976,4.284962370353937,2.451267804409955,30.551620943397086,10.064045859811896,0,3,0.0,0.0,0.0,0.0,0,0,3,R,3,2,3.8063890277009698,6.257656832110925,6.257656832110925,10.064045859811896,7.6127780554019395,-30.5516209433972,2.8939398629585447,2.309393658090454,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",1.0,0.4736705669067055,0.7238597473541998,0.0,True,26.970694074586252,0.5,True,True,True,0.75,True,False,True,True,69.44837905660292,4.284962370353937,6.257656832110925,88.45303170954773,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
AL-2,AL,2,Deep South,Rural,2020 Census,available,717755.0,559067.0,49.85503409937932,41.629943365075825,4.643506488983009,2.3521953870053154,2.0151723080995603,0.196724509059498,52.49746452571874,39.9286668681929,3.744095072683596,2.2070699933997178,1.9044229045892531,0.1663485771830567,-11.799999999999995,-17.300000000000004,-5.107463322932615,47.44626833853369,2026.0,AL-2026-Congressional-district-data.zip,True,-14.55,-5.500000000000009,5.500000000000009,14.55,85.45,Republican,Republican,9.442536677067386,5.107463322932615,94.89253667706738,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results.",1,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,high,5,2012.0,2020.0,-24.763221852877432,-27.29289706395073,9.124212439176038,4.330425243237297,24.763221852877432,26.53604677331549,0,5,0.0,0.0,0.2,0.2,0,0,5,R,5,4,-0.8117779905009574,14.079801377158702,16.059730059213422,26.53604677331549,-3.2471119620038316,-24.763221852877425,0.5321693318820836,9.093120709614665,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",4.0,0.3076663105084346,0.6408576191550643,15.33775761157029,False,173.83295368567016,0.5,True,True,True,1.0,True,True,True,True,75.23677814712256,9.124212439176038,14.079801377158702,54.534396451926675,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
AL-3,AL,3,Deep South,Rural,2020 Census,available,717754.0,564595.0,69.95837013795813,21.76288812044238,3.827216567236128,2.1950417552531927,2.305525291395102,0.1266450622358078,71.75851716717293,20.695011468397706,3.1171016392281192,2.1240003896598445,2.257901681736466,0.104676803726565,-40.10000000000001,-45.900000000000006,-35.63103692904976,32.18448153547512,2026.0,AL-2026-Congressional-district-data.zip,True,-43.00000000000001,-5.799999999999997,5.799999999999997,43.00000000000001,56.99999999999999,Republican,Republican,7.368963070950244,35.63103692904976,64.36896307095023,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results.",1,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,high,5,2012.0,2020.0,-31.413742525088743,-32.398161154386415,3.045812794107941,2.6040422133525567,31.413742525088743,7.503335247953704,0,5,0.0,0.0,0.0,0.0,0,0,5,R,5,4,-1.7081494985258423,4.958652743581939,5.180207437325633,7.503335247953704,-6.83259799410337,-31.41374252508875,-0.8765902953605595,2.782113312737458,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",4.0,0.7134727409842215,0.8437608343929578,2.785719445316784,False,173.83295368567016,0.5,True,True,True,1.0,True,True,True,True,68.58625747491126,3.045812794107941,4.958652743581939,86.0894334363127,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
AL-4,AL,4,Deep South,Rural,2020 Census,available,717754.0,555217.0,80.21007197452052,7.902846936415541,8.016256266074448,0.9214856343538316,3.2359276298007393,0.1164744466767165,82.82905602674269,7.224562648477982,6.096715338327177,0.8272441225682932,3.1112159750151744,0.0968990502812413,-63.7,-67.80000000000001,-55.73664299157126,22.13167850421437,2026.0,AL-2026-Congressional-district-data.zip,True,-65.75,-4.1000000000000085,4.1000000000000085,65.75,34.25,Republican,Republican,10.01335700842874,55.73664299157126,44.26335700842874,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results.",1,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,medium,3,2012.0,2020.0,-57.424850254914226,-59.645666734496835,6.912306994927561,4.913225693552185,57.424850254914226,16.488900825852213,0,3,0.0,0.0,0.0,0.0,0,0,3,R,3,2,-8.244450412926106,8.244450412926106,3.331224719373921,11.575675132300027,-16.488900825852213,-57.42485025491439,-4.061379015148506,0.358252674211286,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",1.0,0.9443636694254128,0.9592062986135534,0.0,True,26.970694074586252,0.5,True,True,True,0.75,True,False,True,True,42.575149745085774,6.912306994927561,8.244450412926106,98.20873662894357,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
AL-5,AL,5,Deep South,Rural,2020 Census,available,717754.0,560406.0,67.81780387152143,19.287666805061345,6.605048526375332,2.76041652153802,3.80576074811147,0.2205491017813902,70.26941181928817,18.33224483677905,5.295624957620011,2.506218705724064,3.629154577217232,0.1791558263116383,-27.1,-29.0,-22.871584958156404,38.5642075209218,2026.0,AL-2026-Congressional-district-data.zip,True,-28.05,-1.8999999999999984,1.8999999999999984,28.05,71.95,Republican,Republican,5.178415041843596,22.871584958156404,77.1284150418436,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results.",1,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,medium,3,2012.0,2018.0,-28.558062440562285,-30.008616753578018,4.771588286691026,3.531532309426723,28.558062440562285,11.414727557900644,0,3,0.0,0.0,0.0,0.0,0,0,3,R,3,2,3.9415976242369606,7.473129933663683,7.473129933663683,11.414727557900644,7.883195248473921,-28.558062440562363,2.0000891917477825,4.067588668021262,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",1.0,1.26328446963524,1.118666698718467,1.7763568394002505e-15,True,82.069099035773,0.5,True,True,True,0.75,True,False,True,True,71.44193755943772,4.771588286691026,7.473129933663683,79.6620566598937,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
AL-6,AL,6,Deep South,Rural,2020 Census,available,717754.0,552230.0,69.27902874801116,20.507722701649868,5.6318738732211875,2.3875868333718797,2.1797161701641508,0.1127127121548608,71.64931278633902,19.258823316371803,4.678123245749054,2.185321333502345,2.1223041124169275,0.1001394346558499,-34.60000000000001,-34.99999999999999,-29.14564048584667,35.427179757076665,2026.0,AL-2026-Congressional-district-data.zip,True,-34.8,-0.3999999999999843,0.3999999999999843,34.8,65.2,Republican,Stable,5.654359514153327,29.14564048584667,70.85435951415333,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results.",1,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,high,4,2012.0,2018.0,-45.62007554773515,-45.79543868369675,5.492620101334686,4.982728941222522,45.62007554773515,14.075018799000516,0,4,0.0,0.0,0.0,0.0,0,0,4,R,4,3,1.3698536388518243,8.01349222714852,8.545545322053554,10.666910426291444,4.109560916555473,-45.620075547735155,1.57367911223755,5.203200278887975,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",3.0,1.2339299739508596,1.1039894508762769,0.681926302768064,False,146.8622596110839,0.5,True,True,True,1.0,True,True,True,True,54.37992445226485,5.492620101334686,8.01349222714852,73.98399860556012,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
AL-7,AL,7,Deep South,Rural,2020 Census,available,717754.0,568258.0,40.221301448685765,52.59197440905937,4.235991718611112,1.6564171011237834,1.6426240745436458,0.1291528852503782,42.70278641039809,50.65181660442968,3.6560857920170062,1.6650887449010836,1.577276518764364,0.1096333003670867,30.300000000000004,24.799999999999997,28.192133209432463,64.09606660471623,2026.0,AL-2026-Congressional-district-data.zip,True,27.55,-5.500000000000007,5.500000000000007,27.55,72.45,Democratic,Republican,0.6421332094324619,28.192133209432463,71.80786679056754,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results.",1,AL_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,insufficient_single_cycle,1,2012.0,2012.0,51.76345096197131,51.76345096197131,0.0,0.0,51.76345096197131,0.0,1,0,1.0,0.0,0.0,0.0,0,1,0,D,1,0,,,,,,,,,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",,,,,False,,,True,False,False,0.25,False,False,True,False,48.23654903802869,0.0,,,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
AR-1,AR,1,Middle South,Rural,2020 Census,available,752509.0,579039.0,73.2924124495521,18.593930438041273,3.893242472847501,1.043442669788667,2.7967771814024815,0.251824230673653,75.75931845696059,16.89212643707937,3.1263869963853903,0.9629748600698744,2.774597220567181,0.1863432342208383,-40.9,-45.3,-40.15059312269769,29.924703438651154,2022.0,AR-2022-Congressional-district-data.zip,True,-43.099999999999994,-4.399999999999999,4.399999999999999,43.099999999999994,56.900000000000006,Republican,Republican,2.9494068773023017,40.15059312269769,59.84940687730231,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results.",1,AR_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,medium,3,2012.0,2018.0,-29.380092384737527,-30.869884232838743,9.480844743237771,9.305026945078724,29.380092384737527,23.079429434461098,0,3,0.0,0.0,0.0,0.0,0,0,3,R,3,2,-11.539714717230549,11.539714717230549,2.234687772151826,13.774402489382377,-23.079429434461098,-29.380092384737793,-7.258767477351656,2.815076066562579,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",1.0,1.952449253445829,1.4632490906237616,1.7763568394002505e-15,True,54.031050975264655,0.5,True,True,True,0.75,True,False,True,True,70.61990761526248,9.480844743237771,11.539714717230549,85.9246196671871,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
AR-2,AR,2,Middle South,Rural,2020 Census,available,752710.0,582706.0,66.27226953275498,22.096026358092757,6.200661609384756,2.4476890170185066,3.116738186021177,0.1339161164326234,69.11821742010551,20.333924826584933,5.1497667777575655,2.277306223035287,3.031545925389476,0.1161820883944905,-13.1,-15.6,-16.422860733861675,41.78856963306916,2022.0,AR-2022-Congressional-district-data.zip,True,-14.35,-2.5,2.5,14.35,85.65,Republican,Republican,-2.072860733861676,16.422860733861675,83.57713926613832,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results.",1,AR_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,high,5,2012.0,2020.0,-12.5073810069435,-10.731632496548904,5.501286322033568,4.42277049846642,12.5073810069435,15.222626046775748,0,5,0.0,0.0,0.4,0.6,0,0,5,R,5,4,1.2441081146362474,10.09280861623158,10.918268287784633,15.222626046775748,4.9764324585449895,-12.507381006943495,1.190086045914147,5.237512921572077,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",4.0,0.3721094919028914,0.6730792098522927,11.344370850750783,False,173.83295368567016,0.5,True,True,True,1.0,True,True,True,True,87.4926189930565,5.501286322033568,10.09280861623158,73.81243539213962,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
AR-3,AR,3,Middle South,Rural,2020 Census,available,753219.0,566367.0,67.68668873196242,4.229579976076015,16.472367266359452,4.416909291985465,6.010469730583004,1.8045216597032203,71.62334669922507,3.560059113613611,13.889756995022662,4.179798611147895,5.618618316392022,1.3526564930513254,-23.40000000000001,-24.9,-28.682284699808967,35.65885765009551,2022.0,AR-2022-Congressional-district-data.zip,True,-24.15000000000001,-1.4999999999999891,1.4999999999999891,24.15000000000001,75.85,Republican,Republican,-4.532284699808962,28.682284699808967,71.31771530019103,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results.",1,AR_2012_2020_default,assumed_stable_2012_2020,No known mid-decade statewide boundary break configured.,low,2,2018.0,2020.0,-32.306231589362326,-32.306231589362326,0.193723535659366,0.193723535659366,32.306231589362326,0.3874470713187321,0,2,0.0,0.0,0.0,0.0,0,0,2,R,2,1,-0.3874470713187321,0.3874470713187321,0.0,0.3874470713187321,-0.3874470713187321,-32.30623158936232,-0.3874470713187353,7.105427357601002e-15,latest stable regime with at least two scorable elections; otherwise latest available single-cycle regime,2.0,"Swing, trend, volatility, and party-switch metrics are calculated only within the selected boundary regime.",1.0,0.1604214531492621,0.5672351904754781,0.0,True,26.970694074586252,0.5,True,True,False,0.5,True,False,True,True,67.69376841063767,0.193723535659366,0.3874470713187321,99.99999999999997,1.0,structural_behavior_elasticity_foundation,"Master feature warehouse combines current structural data, boundary-regime-aware House behavior, and historical district elasticity estimates. Composite indexes are descriptive only until validated in out-of-sample model comparisons."
