source_column,states_present,coverage_rate,present_state_list,missing_state_list,example_values
E_16-20_COMP_Dem,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 100364 | 122409
E_16-20_COMP_Rep,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 163528 | 135586
E_16-20_COMP_Total,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 266466 | 259850
E_16-22_COMP_Dem,2,0.045454545454545456,"GA,NY","AL,AR,AZ,CA,CO,CT,FL,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",0 | 118898 | 144933
E_16-22_COMP_Rep,2,0.045454545454545456,"GA,NY","AL,AR,AZ,CA,CO,CT,FL,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",0 | 165558 | 123816
E_16-22_COMP_Total,2,0.045454545454545456,"GA,NY","AL,AR,AZ,CA,CO,CT,FL,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",0 | 289044 | 271674
E_18-24_COMP_Dem,2,0.045454545454545456,"MO,UT","AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,VA,WA,WI,WV",0 | 248434 | 178008
E_18-24_COMP_Rep,2,0.045454545454545456,"MO,UT","AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,VA,WA,WI,WV",0 | 64662 | 222837
E_18-24_COMP_Total,2,0.045454545454545456,"MO,UT","AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,VA,WA,WI,WV",0 | 319684 | 408787
E_20-24_COMP_Dem,4,0.09090909090909091,"CA,FL,NC,OH","AL,AR,AZ,CO,CT,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NE,NH,NJ,NM,NV,NY,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",0 | 167660 | 215895
E_20-24_COMP_Rep,4,0.09090909090909091,"CA,FL,NC,OH","AL,AR,AZ,CO,CT,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NE,NH,NJ,NM,NV,NY,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",0 | 133836 | 132487
E_20-24_COMP_Total,4,0.09090909090909091,"CA,FL,NC,OH","AL,AR,AZ,CO,CT,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NE,NH,NJ,NM,NV,NY,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",0 | 303757 | 350901
ID,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 1 | 2
Label,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,Un | 1 | 2
T_20_CENS_ADJ_Asian,6,0.13636363636363635,"CA,MD,NJ,NV,VA,WA","AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV",0 | 40391 | 46719
