forecast_cycle,boundary_cycle,presidential_result_year,race_id,state,district,dem_presidential_candidate,gop_presidential_candidate,dem_presidential_share,gop_presidential_share,district_pres_margin_dem,major_party_share_total,source_name,source_file,source_boundary_description,warehouse_version,presidential_result_available,boundary_compatibility,presidential_baseline_available,baseline_selection_method
2016,2016,2012,AK-AL,AK,AL,Obama,Romney,41.2,55.3,-14.099999999999994,96.5,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AL-1,AL,1,Obama,Romney,37.4,61.8,-24.4,99.19999999999999,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AL-2,AL,2,Obama,Romney,36.4,62.9,-26.5,99.3,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AL-3,AL,3,Obama,Romney,36.8,62.3,-25.5,99.1,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AL-4,AL,4,Obama,Romney,24.0,74.8,-50.8,98.8,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AL-5,AL,5,Obama,Romney,34.9,63.9,-29.0,98.8,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AL-6,AL,6,Obama,Romney,24.7,74.3,-49.599999999999994,99.0,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AL-7,AL,7,Obama,Romney,72.4,27.1,45.300000000000004,99.5,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AR-1,AR,1,Obama,Romney,36.3,61.0,-24.700000000000003,97.3,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
2016,2016,2012,AR-2,AR,2,Obama,Romney,42.9,54.7,-11.800000000000004,97.6,Daily Kos Elections presidential results by congressional district,presidential_results_on_2016_districts.csv,Congressional district lines used in the 2016 elections,1.0,True,same_election_boundary_set,True,most_recent_completed_presidential_election_on_target_house_boundaries
