cycle,chamber,race_id,district_id,state,district,election_date,election_type,dem_candidate,gop_candidate,other_candidates,dem_vote_total,gop_vote_total,other_vote_total,total_vote,dem_vote_share,gop_vote_share,actual_dem_margin,actual_winner,has_dem_candidate,has_gop_candidate,major_party_contested,named_candidate_count,named_dem_count,named_gop_count,named_other_count,general_election_party_structure,uncontested,uncontested_dem,uncontested_gop,include_in_major_party_margin_scoring,special_handling_notes,source_name,source_url,retrieved_date
2012,House,AK-AL,AK-AL,AK,AL,2012-11-08,General,SHARON M CISSNA,DON YOUNG,JIM C MCDERMOTT | TED GIANOUTSOS,82927,185296,21581,289804,28.61485693779244,63.938385943603265,-35.323529005810826,R,True,True,True,4,1,1,2,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AL-1,AL-1,AL,1,2012-11-08,General,,JO BONNER,,0,196374,4302,200676,0.0,97.85624588889553,-97.85624588889553,R,False,True,False,1,0,1,0,R_unopposed,True,False,True,False,Nonstandard general-election party structure: R_unopposed,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AL-2,AL-2,AL,2,2012-11-08,General,THERESE FORD,MARTHA ROBY,,103092,180591,270,283953,36.306008388712215,63.59890545266294,-27.292897063950726,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AL-3,AL-3,AL,3,2012-11-08,General,JOHN ANDREW HARRIS,MIKE ROGERS,,98141,175306,483,273930,35.82703610411419,63.99664147774979,-28.1696053736356,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AL-4,AL-4,AL,4,2012-11-08,General,DANIEL H BOMAN,ROBERT B ADERHOLT,,69706,199071,341,269118,25.901649090733432,73.97164069293024,-48.06999160219681,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AL-5,AL-5,AL,5,2012-11-08,General,CHARLIE L HOLLEY,MO BROOKS,,101772,189185,336,291293,34.93801773472071,64.94663448829873,-30.008616753578014,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AL-6,AL-6,AL,6,2012-11-08,General,PENNY H BAILEY,SPENCER BACHUS,,88267,219262,573,308102,28.648629350020446,71.16539327884921,-42.516763928828766,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AL-7,AL-7,AL,7,2012-11-08,General,TERRI A SEWELL,DON CHAMBERLAIN,,232520,73835,203,306558,75.84861592259865,24.085164960627353,51.76345096197131,D,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AR-1,AR-1,AR,1,2012-11-08,General,SCOTT ELLINGTON,"ERIC A \""RICK\"" CRAWFORD",JACOB HOLLOWAY | JESSICA PAXTON,96601,138800,11442,246843,39.13459162301544,56.23007336647181,-17.095481743456368,R,True,True,True,4,1,1,2,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AR-2,AR-2,AR,2,2012-11-08,General,HERB RULE,TIM GRIFFIN,BARBARA WARD | CHRIS HAYES,113156,158175,15267,286598,39.482480687234386,55.19054564232828,-15.708064955093894,R,True,True,True,4,1,1,2,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AR-3,AR-3,AR,3,2012-11-08,General,,STEVE WOMACK,DAVID PANGRAC | REBEKAH J KENNEDY,0,186467,59193,245660,0.0,75.9045021574534,-75.9045021574534,R,False,True,False,3,0,1,2,R_vs_Other,False,False,False,False,Nonstandard general-election party structure: R_vs_Other,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AR-4,AR-4,AR,4,2012-11-08,General,GENE JEFFRESS,TOM COTTON,BOBBY TULLIS | J JOSHUA DRAKE,95013,154149,9791,258953,36.69121423578796,59.52779075739613,-22.83657652160817,R,True,True,True,4,1,1,2,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AZ-1,AZ-1,AZ,1,2012-11-08,General,ANN KIRKPATRICK,JONATHAN PATON,KIM ALLEN,122774,113594,15227,251595,48.79826705618156,45.14954589717602,3.648721159005545,D,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AZ-2,AZ-2,AZ,2,2012-11-08,General,RON BARBER,MARTHA MCSALLY,,147338,144884,57,292279,50.41005340787398,49.57044467785917,0.8396087300148146,D,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AZ-3,AZ-3,AZ,3,2012-11-08,General,RAUL M GRIJALVA,GABRIELA SAUCEDO MERCER,BLANCA GUERRA,98468,62663,7567,168698,58.369393828024045,37.14507581595514,21.224318012068903,D,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AZ-4,AZ-4,AZ,4,2012-11-08,General,JOHNNIE ROBINSON,PAUL A GOSAR,JOE PAMELIA | RICHARD GRAYSON,69154,162907,11699,243760,28.369707909419102,66.83089924515917,-38.461191335740075,R,True,True,True,4,1,1,2,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AZ-5,AZ-5,AZ,5,2012-11-08,General,SPENCER MORGAN,MATT SALMON,,89589,183470,0,273059,32.809392841840044,67.19060715815996,-34.38121431631992,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AZ-6,AZ-6,AZ,6,2012-11-08,General,MATT JETTE,DAVID SCHWEIKERT,JACK ANDERSON | MARK SALAZAR,97666,179706,15805,293177,33.31298157768174,61.29607711382543,-27.983095536143693,R,True,True,True,4,1,1,2,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AZ-7,AZ-7,AZ,7,2012-11-08,General,ED PASTOR,,JOE COBB,104489,0,23338,127827,81.74251136301407,0.0,81.74251136301407,D,True,False,False,2,1,0,1,D_vs_Other,False,False,False,False,Nonstandard general-election party structure: D_vs_Other,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AZ-8,AZ-8,AZ,8,2012-11-08,General,GENE SCHARER,TRENT FRANKS,STEPHEN DOLGOS,95635,172809,4347,272791,35.057974786558205,63.34849756773501,-28.290522781176797,R,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,AZ-9,AZ-9,AZ,9,2012-11-08,General,KYRSTEN SINEMA,VERNON B PARKER,POWELL GAMMILL,121881,111630,16620,250131,48.72686712162827,44.62861460594648,4.098252515681783,D,True,True,True,3,1,1,1,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,CA-1,CA-1,CA,1,2012-11-08,General,JIM REED,DOUG LA MALFA,,125386,168827,0,294213,42.617423431323566,57.382576568676434,-14.76515313735287,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,CA-2,CA-2,CA,2,2012-11-08,General,JARED HUFFMAN,DANIEL W ROBERTS,,226216,91310,0,317526,71.24329976127939,28.756700238720608,42.486599522558784,D,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,CA-3,CA-3,CA,3,2012-11-08,General,JOHN GARAMENDI,KIM VANN,,126882,107086,0,233968,54.230493058879844,45.769506941120156,8.460986117759694,D,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,CA-4,CA-4,CA,4,2012-11-08,General,JACK UPPAL,TOM MCCLINTOCK,,125885,197803,0,323688,38.890845505548555,61.109154494451445,-22.218308988902894,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,CA-5,CA-5,CA,5,2012-11-08,General,MIKE THOMPSON,RANDY LOFTIN,,202872,69545,0,272417,74.47112331462426,25.528876685375728,48.942246629248544,D,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,CA-6,CA-6,CA,6,2012-11-08,General,DORIS O MATSUI,JOSEPH MCCRAY SR,,160667,53406,0,214073,75.05243538419137,24.947564615808627,50.104870768382746,D,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,CA-7,CA-7,CA,7,2012-11-08,General,AMI BERA,DANIEL E LUNGREN,,141241,132050,0,273291,51.68154092158176,48.31845907841824,3.3630818431635143,D,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,CA-8,CA-8,CA,8,2012-11-08,General,,PAUL COOK,,0,103093,0,179644,0.0,57.38738839037207,-57.38738839037207,R,False,True,False,2,0,2,0,R_vs_R,False,False,False,False,Nonstandard general-election party structure: R_vs_R,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,CA-9,CA-9,CA,9,2012-11-08,General,JERRY MCNERNEY,RICKY GILL,,118373,94704,0,213077,55.55409546783557,44.44590453216443,11.108190935671143,D,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
2012,House,CA-10,CA-10,CA,10,2012-11-08,General,JOSE HERNANDEZ,JEFF DENHAM,,98934,110265,0,209199,47.29181305837982,52.70818694162018,-5.41637388324036,R,True,True,True,2,1,1,0,D_vs_R,False,False,False,True,,"MIT Election Data and Science Lab, U.S. House 1976-2024",doi:10.7910/DVN/IG0UN2,2026-07-15
