race_id,state,district,region,district_type,dra_population_dataset,dra_data_status,total_population,voting_age_population,white_population_share,black_population_share,hispanic_population_share,asian_population_share,native_population_share,pacific_population_share,white_vap_share,black_vap_share,hispanic_vap_share,asian_vap_share,native_vap_share,pacific_vap_share,pres_2020_margin_dem,pres_2024_margin_dem,dra_composite_margin_dem,dra_composite_dem_two_party_share,dra_map_year,dra_source_zip,dra_data_available,presidential_margin_average_2020_2024_dem,presidential_swing_2020_to_2024_dem,presidential_margin_range_2020_2024,presidential_average_absolute_margin,presidential_baseline_competitiveness,presidential_party_lean,presidential_trend_direction,dra_composite_minus_presidential_average_dem,dra_composite_absolute_margin,dra_composite_competitiveness,structural_profile_version,structural_profile_stage,political_baseline_method,demographic_source,structural_profile_notes
AK-AL,AK,AL,Northwest,Mixed,Unknown,at_large_state_fallback_pending,,,,,,,,,,,,,,,-10.0,-13.1,,,,,False,-11.55,-3.0999999999999996,3.0999999999999996,11.55,88.45,Republican,Republican,,,,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,DRA unavailable for at-large district,At-large district retained without DRA demographic or composite-election data; future state-level fallback pending.
AL-1,AL,1,Deep South,Rural,2020 Census,available,717754.0,557393.0,64.50204387575687,26.456696862713407,3.828052508240985,2.0461049328878698,3.0708292813415183,0.1397414713118979,67.0796009278911,24.62678935688105,3.2630477957204342,1.8676230236117064,2.9465744995003527,0.116793716462173,-30.199999999999996,-36.3,-23.9355493914177,38.03222530429115,2026.0,AL-2026-Congressional-district-data.zip,True,-33.25,-6.100000000000001,6.100000000000001,33.25,66.75,Republican,Republican,9.314450608582298,23.9355493914177,76.06445060858229,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AL-2,AL,2,Deep South,Rural,2020 Census,available,717755.0,559067.0,49.85503409937932,41.629943365075825,4.643506488983009,2.3521953870053154,2.0151723080995603,0.196724509059498,52.49746452571874,39.9286668681929,3.744095072683596,2.2070699933997178,1.9044229045892531,0.1663485771830567,-11.799999999999995,-17.300000000000004,-5.107463322932615,47.44626833853369,2026.0,AL-2026-Congressional-district-data.zip,True,-14.55,-5.500000000000009,5.500000000000009,14.55,85.45,Republican,Republican,9.442536677067386,5.107463322932615,94.89253667706738,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AL-3,AL,3,Deep South,Rural,2020 Census,available,717754.0,564595.0,69.95837013795813,21.76288812044238,3.827216567236128,2.1950417552531927,2.305525291395102,0.1266450622358078,71.75851716717293,20.695011468397706,3.1171016392281192,2.1240003896598445,2.257901681736466,0.104676803726565,-40.10000000000001,-45.900000000000006,-35.63103692904976,32.18448153547512,2026.0,AL-2026-Congressional-district-data.zip,True,-43.00000000000001,-5.799999999999997,5.799999999999997,43.00000000000001,56.99999999999999,Republican,Republican,7.368963070950244,35.63103692904976,64.36896307095023,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AL-4,AL,4,Deep South,Rural,2020 Census,available,717754.0,555217.0,80.21007197452052,7.902846936415541,8.016256266074448,0.9214856343538316,3.2359276298007393,0.1164744466767165,82.82905602674269,7.224562648477982,6.096715338327177,0.8272441225682932,3.1112159750151744,0.0968990502812413,-63.7,-67.80000000000001,-55.73664299157126,22.13167850421437,2026.0,AL-2026-Congressional-district-data.zip,True,-65.75,-4.1000000000000085,4.1000000000000085,65.75,34.25,Republican,Republican,10.013357008428741,55.73664299157126,44.26335700842874,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AL-5,AL,5,Deep South,Rural,2020 Census,available,717754.0,560406.0,67.81780387152143,19.287666805061345,6.605048526375332,2.76041652153802,3.80576074811147,0.2205491017813902,70.26941181928817,18.33224483677905,5.295624957620011,2.506218705724064,3.629154577217232,0.1791558263116383,-27.1,-29.0,-22.871584958156404,38.5642075209218,2026.0,AL-2026-Congressional-district-data.zip,True,-28.05,-1.8999999999999986,1.8999999999999986,28.05,71.95,Republican,Republican,5.178415041843596,22.871584958156404,77.1284150418436,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AL-6,AL,6,Deep South,Rural,2020 Census,available,717754.0,552230.0,69.27902874801116,20.507722701649868,5.6318738732211875,2.3875868333718797,2.1797161701641508,0.1127127121548608,71.64931278633902,19.258823316371803,4.678123245749054,2.185321333502345,2.1223041124169275,0.1001394346558499,-34.60000000000001,-34.99999999999999,-29.14564048584667,35.427179757076665,2026.0,AL-2026-Congressional-district-data.zip,True,-34.8,-0.39999999999998437,0.39999999999998437,34.8,65.2,Republican,Stable,5.654359514153327,29.14564048584667,70.85435951415333,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AL-7,AL,7,Deep South,Rural,2020 Census,available,717754.0,568258.0,40.221301448685765,52.59197440905937,4.235991718611112,1.6564171011237834,1.6426240745436458,0.1291528852503782,42.70278641039809,50.65181660442968,3.6560857920170062,1.6650887449010836,1.577276518764364,0.1096333003670867,30.300000000000004,24.799999999999997,28.192133209432463,64.09606660471623,2026.0,AL-2026-Congressional-district-data.zip,True,27.55,-5.500000000000007,5.500000000000007,27.55,72.45,Democratic,Republican,0.6421332094324619,28.192133209432463,71.80786679056754,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AR-1,AR,1,Middle South,Rural,2020 Census,available,752509.0,579039.0,73.2924124495521,18.593930438041273,3.893242472847501,1.043442669788667,2.7967771814024815,0.251824230673653,75.75931845696059,16.89212643707937,3.1263869963853903,0.9629748600698744,2.774597220567181,0.1863432342208383,-40.9,-45.3,-40.15059312269769,29.924703438651154,2022.0,AR-2022-Congressional-district-data.zip,True,-43.099999999999994,-4.399999999999999,4.399999999999999,43.099999999999994,56.900000000000006,Republican,Republican,2.9494068773023017,40.15059312269769,59.84940687730231,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AR-2,AR,2,Middle South,Rural,2020 Census,available,752710.0,582706.0,66.27226953275498,22.096026358092757,6.200661609384756,2.4476890170185066,3.116738186021177,0.1339161164326234,69.11821742010551,20.333924826584933,5.1497667777575655,2.277306223035287,3.031545925389476,0.1161820883944905,-13.1,-15.6,-16.422860733861675,41.78856963306916,2022.0,AR-2022-Congressional-district-data.zip,True,-14.35,-2.5,2.5,14.35,85.65,Republican,Republican,-2.072860733861676,16.422860733861675,83.57713926613832,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
