race_id,source_incumbent,source_incumbent_party,biden_vote_share,trump_vote_share,district_pres_margin_dem,presidential_result_year,boundary_cycle,boundary_compatibility,include_in_2022_backtest,source_organization,source_local_path,source_description
AK-AL,Mary Peltola,(D),43.0,53.1,-10.1,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AL-1,Jerry Carl,(R),35.3,63.6,-28.3,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AL-2,Barry Moore,(R),34.8,64.2,-29.4,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AL-3,Mike Rogers,(R),32.5,66.6,-34.1,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AL-4,Robert Aderholt,(R),18.6,80.4,-61.8,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AL-5,Dale Strong,(R),35.6,62.7,-27.1,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AL-6,Gary Palmer,(R),34.4,64.4,-29.9,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AL-7,Terri Sewell,(D),65.6,33.6,32.0,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AR-1,Rick Crawford,(R),28.1,69.0,-40.9,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AR-2,French Hill,(R),42.1,55.2,-13.1,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AR-3,Steve Womack,(R),36.8,60.2,-23.4,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AR-4,Bruce Westerman,(R),31.0,66.2,-35.2,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
AZ-1,David Schweikert,(R),50.1,48.6,1.5,2020,2022,authoritative_2022_boundary,True,Daily Kos Elections / The Downballot,historical/house/raw/2022/source_downloads/presidential_baselines/2020_presidential_results_by_2022_cd.csv,2020 presidential election results calculated for congressional districts used in the 2022 elections
