district_id,district,race,state,pollster,pollster_grade,sponsor,poll_sponsor_type,partisan_sponsor_party,is_internal_poll,pollster_partisan_affiliation,partisan_pollster_review_notes,start_date,end_date,sample_size,population,sample_type,mode,dem_candidate,gop_candidate,rep_candidate,dem_pct,gop_pct,rep_pct,ind_pct,other_pct,undecided_pct,notes,ind_candidate,other_candidate
MO-2,2.0,MO-2 House,MO,FM3 Research,B,,,,False,,,2026-05-26,2026-05-31,600,,LV,,,Wagner,,41.0,44.0,,0.0,0.0,15.0,,,
WI-3,3.0,WI-3 House,WI,Impact Research,B,,,,False,,,2026-05-26,2026-05-31,500,,LV,,Cooke,Van Orden,,50.0,46.0,,0.0,0.0,1.0,,,
NJ-7,7.0,NJ-7 House,NJ,Z to A Research,B,,,,False,,,2026-05-24,2026-06-26,430,,LV,,"Bennett, Rebecca","Kean, Tom",,47.0,43.0,,0.0,0.0,10.0,,,
MI-4,4.0,MI-4 House,MI,GBAO,B,,,,False,,,2026-05-28,2026-06-01,500,,LV,,McCann,Huizenga,,48.0,45.0,,0.0,0.0,7.0,,,
WI-6,6.0,WI-6 House,WI,,B,,,,False,,,2026-03-17,2026-03-20,640,,LV,,Thurow,Grothman,,38.0,42.0,,0.0,0.0,18.0,,,
OH-15,15.0,OH-15 House,OH,Tulchin,B,,independent,D,False,D,,2026-05-16,2026-06-21,392,,LV,,"Leonard, Don","Carey, Mike",,36.0,39.0,,2.0,0.0,24.0,,Barrington,
TN-05,,,TN,Impact Research,B,,campaign,D,True,D,,2026-05-11,2026-06-13,558,LV,LV,,Molder,Ogles,Ogles,41.0,47.0,,0.0,0.0,12.0,,,
AZ-06,,,AZ,House Majority PAC,B,,super PAC,D,False,D,,2026-06-08,2026-06-11,800,LV,LV,,Mendoza,Ciscomani,Ciscomani,47.0,45.0,,0.0,0.0,8.0,,,
OH-07,,,OH,GBAO,B,Brian Poindexter Camapaign,campaign,D,True,D,,2026-06-16,2026-06-20,800,LV,LV,,Poindexter,"Miller, Max","Miller, Max",43.0,44.0,,0.0,0.0,13.0,,,
FL-07,,,FL,PPP,B,,party,D,False,D,,2026-05-20,2026-06-21,800,RV,RV,,Dalton,Mills,Mills,41.0,39.0,,0.0,0.0,19.0,,,
FL-07,,,FL,PPP,B,,party,D,False,D,,2026-05-20,2026-06-21,800,RV,RV,,Dalton,Mills,Mills,41.0,39.0,,0.0,0.0,19.0,,,
PA-08,,,PA,Lake Research,B,House Majority PAC,super PAC,D,False,D,,2026-06-26,2026-06-26,400,LV,LV,,Cognetti,Bresnahan,Bresnahan,47.0,45.0,,0.0,0.0,8.0,,,
MT-01,,,MT,Impact Research,B,Sam Forstag Campaign,campaign,D,True,D,,2026-06-22,2026-06-25,500,LV,LV,,Forstag,Flint,Flint,44.0,44.0,,5.0,0.0,8.0,,,
WI-03,,,WI,FM3,B,House Majority PAC,super PAC,D,False,D,,2026-06-20,2026-06-25,535,LV,LV,,Cooke,Van Orden,Van Orden,50.0,46.0,,0.0,0.0,4.0,,,
OH-15,,,OH,Hart Research Associates,B,House Majority PAC,super PAC,D,False,D,,2026-06-23,2026-06-25,550,LV,LV,,Leonard,Carey,Carey,40.0,45.0,,3.0,0.0,2.0,,,
TX-15,,,TX,WelcomePAC,B,,super PAC,D,False,D,,2026-05-18,2026-05-25,802,LV,LV,,Pulido,De La Cruz,De La Cruz,48.0,46.0,,0.0,0.0,6.0,,,
AL-02,,,AL,IMPACT Research,B,DCCC,party,D,False,D,,2026-06-22,2026-06-25,400,LV,LV,,Figures,Marques,Marques,44.0,45.0,,0.0,0.0,0.0,,,
NY-17,,,NY,FM3 Research,B,DCCC,super PAC,D,False,D,,2026-06-27,2026-07-01,800,LV,LV,,Conley,Lawler,Lawler,51.0,45.0,,0.0,0.0,4.0,,,
KY-06,,,KY,GQR,B,Dembo Campaign,campaign,D,True,D,,2026-06-24,2026-06-28,440,LV,LV,,Dembo,Alvarado,Alvarado,39.0,42.0,,0.0,0.0,19.0,,,
WA-03,,,WA,Emerson,B+,Northwest Progressive Institute,,,False,,,2026-07-08,2026-07-10,500,LV,LV,,Gluesenkamp Perez,Braun,Braun,44.0,45.0,,0.0,0.0,0.0,,,
WA-03,,,WA,Emerson,B+,Northwest Progressive Institute,other,,False,,,2026-07-08,2026-07-10,500,LV,LV,,Gluesenkamp Perez,Braun,Braun,44.0,45.0,,0.0,0.0,11.0,,,
FL-14,,,FL,St. Pete Polls,B+,,media,,False,,,2026-07-14,2026-07-15,800,LV,LV,,Castor,Beltran,Beltran,46.0,38.0,,0.0,0.0,16.0,,,
AK-AL,,,AK,Alaska Survey Research,B,,media,,False,,,2026-05-14,2026-07-17,1401,LV,LV,,Schultz,Begich,Begich,28.0,47.0,,18.0,7.0,0.0,,,
AZ-02,,,AZ,GBAO,B,,party,D,False,D,,2026-06-11,2026-07-15,800,LV,LV,,Nez,Crane,Crane,41.0,44.0,,0.0,0.0,15.0,,,
AZ-06,,,AZ,PPP,B,"Normington, Petts and Associates",,,False,D,,2026-06-08,2026-06-11,500,LV,LV,,Mendoza,Ciscomani,Ciscomani,47.0,45.0,,0.0,0.0,8.0,,,
AZ-06,,,AZ,Ragnar,B,,,,False,R,,2026-03-12,2026-03-14,400,LV,LV,,Mendoza,Ciscomani,Ciscomani,47.0,44.0,,0.0,0.0,9.0,,,
CA-22,,,CA,Tulchin,B,House Majority PAC,super PAC,D,False,D,,2026-07-22,2026-07-22,800,LV,LV,,Villegas,Valadao,Valadao,48.0,44.0,,0.0,0.0,8.0,,,
IA-02,,,IA,PPP,B,,,,False,D,,2026-04-13,2026-04-14,673,LV,LV,,James,Mitchell,Mitchell,36.0,33.0,,0.0,0.0,31.0,,,
IA-03,,,IA,Ragnar Research,B,,,,False,R,,2026-03-12,2026-03-14,400,LV,LV,,Garriott,Nunn,Nunn,42.0,48.0,,0.0,0.0,10.0,,,
KY-06,,,KY,GQR,B,,,,False,D,,2026-06-24,2026-06-28,800,LV,LV,,Dembo,Alvarado,Alvarado,39.0,42.0,,0.0,0.0,19.0,,,
KY-06,,,KY,PPP,B,,,,False,D,,2026-04-24,2026-04-25,675,LV,LV,,Dembo,Alvarado,Alvarado,37.0,37.0,,0.0,0.0,26.0,,,
ME-02,,,ME,Tulchin Research,B,,,,False,D,,2026-07-11,2026-07-16,600,LV,LV,,Dunlap,LePage,LePage,48.0,48.0,,0.0,0.0,3.0,,,
ME-02,,,ME,co/Efficient,B,,,,False,R,,2026-04-26,2026-04-28,918,LV,LV,,Dunlap,LePage,LePage,40.0,50.0,,0.0,0.0,10.0,,,
MT-01,,,MT,Impact Research,B,,,,False,D,,2026-06-22,2026-06-25,500,LV,LV,,Forstag,Flint,Flint,44.0,44.0,,5.0,0.0,6.0,,,
MT-01,,,MT,Upswing Research,B,,,,False,D,,2026-04-30,2026-05-05,401,LV,LV,,Forstag,Flint,Flint,43.0,48.0,,0.0,0.0,9.0,,,
NC-01,,,NC,GQR,B,,,,False,D,,2026-06-22,2026-06-28,500,LV,LV,,Davis,Buckhout,Buckhout,45.0,41.0,,0.0,0.0,8.0,,,
NC-01,,,NC,GQR,B,,,,False,D,,2026-01-29,2026-02-02,500,LV,LV,,Davis,Buckhout,Buckhout,43.0,39.0,,9.0,0.0,10.0,,,
NC-10,,,NC,Ragnar Research,B,,,,False,R,,2026-03-10,2026-03-12,400,LV,LV,,Bell,Harrigan,Harrigan,37.0,52.0,,0.0,0.0,11.0,,,
NC-14,,,NC,Ragnar Research,B,,,,False,R,,2026-03-10,2026-03-12,400,LV,LV,,Womack,Moore,Moore,40.0,48.0,,0.0,0.0,12.0,,,
NE-01,,,NE,Zenith Research,B,,,,False,D,,2026-05-08,2026-05-11,401,LV,LV,,Backemeyer,Flood,Flood,38.0,45.0,,0.0,0.0,17.0,,,
NJ-07,,,NJ,Z to A Research,B,,,,False,D,,2026-05-24,2026-05-26,430,LV,LV,,Bennett,Kean,Kean,47.0,43.0,,0.0,0.0,10.0,,,
NM-02,,,NM,co/Efficient,B,,,,False,R,,2026-04-26,2026-04-28,879,LV,LV,,Vazquez,Cunningham,Cunningham,43.0,41.0,,0.0,0.0,16.0,,,
NV-02,,,NV,Wedgewood,C,,,,False,,,2026-07-09,2026-07-12,800,LV,LV,,Benitez-Thompson,Flippo,Flippo,48.0,46.0,,0.0,0.0,6.0,,,
NY-17,,,NY,FM3,B,,,,False,D,,2026-06-27,2026-07-01,509,LV,LV,,Conley,Lawler,Lawler,51.0,45.0,,0.0,0.0,4.0,,,
NY-21,,,NY,Impact Research,B,Gendebien,campaign,D,True,D,,2026-05-26,2026-05-31,500,LV,LV,,Gendebien,Constantino,Constantino,44.0,45.0,,0.0,0.0,11.0,,,
OH-07,,,OH,GBAO,B,Poindexter,campaign,D,True,D,,2026-06-16,2026-06-20,500,LV,LV,,Poindexter,Miller,Miller,43.0,44.0,,0.0,0.0,13.0,,,
OH-09,,,OHIO,McLaughlin,C,,party,R,False,R,,2026-04-18,2026-04-20,400,LV,LV,,Kaptur,Merrin,Merrin,43.0,47.0,,3.0,0.0,7.0,,,
PA-01,,,PA,Global Strategy Group,B,Harvie,campaign,D,False,D,,2026-03-19,2026-03-22,400,LV,LV,,Harvie,Fitzpatrick,Fitzpatrick,42.0,48.0,,0.0,0.0,10.0,,,
PA-07,,,PA,GBAO,B,House Majority PAC,super PAC,D,False,D,,2026-06-29,2026-07-02,800,LV,LV,,Brooks,MacKenzie,MacKenzie,47.0,43.0,,0.0,0.0,10.0,,,
PA-08,,,PA,Lake Research Partners,B,House Majority PAC,super PAC,D,False,D,,2026-06-18,2026-06-23,400,LV,LV,,Cognetti,Bresnahan,Bresnahan,47.0,45.0,,0.0,0.0,8.0,,,
PA-08,,,PA,Impact Research,B,,,,False,D,,2026-06-08,2026-06-11,400,LV,LV,,Cognetti,Bresnahan,Bresnahan,46.0,45.0,,0.0,0.0,9.0,,,
PA-10,,,PA,"Normington, Petts & Associates",B,Stelson,campaign,D,False,D,,2026-04-20,2026-04-23,400,RV,RV,,Stelson,Perry,Perry,51.0,45.0,,0.0,0.0,4.0,,,
TX-15,,,TX,Applecart,B,The Welcome PAC,super PAC,D,False,D,,2026-05-18,2026-05-25,802,LV,LV,,Pulido,De La Cruz,De La Cruz,48.0,46.0,,0.0,0.0,6.0,,,
TX-23,,,TX,PPP,B,House Majority PAC,super PAC,D,False,D,,2026-03-10,2026-03-11,521,RV,RV,,Padilla,Herrera,Herrera,40.0,42.0,,0.0,0.0,18.0,,,
