race,state,district,district_id,pollster,pollster_grade,house_effect_dem,start_date,end_date,sample_size,sample_type,dem_candidate,gop_candidate,dem_pct,gop_pct,raw_margin_dem,polling_margin_dem,poll_age_days,recency_weight,sample_size_weight,pollster_grade_weight,sample_type_weight,poll_weight,notes
MO-2 House,MO,2.0,MO-2,FM3 Research,B,0.0,2026-05-26,2026-05-31,600,LV,,Wagner,41.0,44.0,-3.0,-3.0,62,0.4375052091325493,1.0,0.95,1.0,0.35328545637453357,
WI-3 House,WI,3.0,WI-3,Impact Research,B,0.0,2026-05-26,2026-05-31,500,LV,Cooke,Van Orden,50.0,46.0,4.0,4.0,62,0.4375052091325493,0.9128709291752769,0.95,1.0,0.3225040228247322,
NJ-7 House,NJ,7.0,NJ-7,Z to A Research,B,0.0,2026-05-24,2026-06-26,430,LV,"Bennett, Rebecca","Kean, Tom",47.0,43.0,4.0,4.0,36,0.6187833918061408,0.8465616732800196,0.95,1.0,0.42299943012897373,
MI-4 House,MI,4.0,MI-4,GBAO,B,0.0,2026-05-28,2026-06-01,500,LV,McCann,Huizenga,48.0,45.0,3.0,3.0,61,0.4433776746921486,0.9128709291752769,0.95,1.0,0.3268328713214747,
WI-6 House,WI,6.0,WI-6,,B,0.0,2026-03-17,2026-03-20,640,LV,Thurow,Grothman,38.0,42.0,-4.0,-4.0,134,0.16751763215390675,1.0327955589886444,0.95,1.0,0.13970675923173495,
OH-15 House,OH,15.0,OH-15,Tulchin,B,0.0,2026-05-16,2026-06-21,392,LV,"Leonard, Don","Carey, Mike",36.0,39.0,-3.0,-3.0,41,0.5788761852562011,0.8082903768654761,0.95,1.0,0.44450504744222474,
,TN,,TN-5,Impact Research,B,0.0,2026-05-11,2026-06-13,558,LV,Molder,Ogles,41.0,47.0,-6.0,-7.5,49,0.5203085212063069,0.9643650760992956,0.95,1.0,0.3098413489052833,
,AZ,,AZ-6,House Majority PAC,B,0.0,2026-06-08,2026-06-11,800,LV,Mendoza,Ciscomani,47.0,45.0,2.0,2.0,51,0.5066169923655895,1.1547005383792515,0.95,1.0,0.4723801629230733,
,OH,,OH-7,GBAO,B,0.0,2026-06-16,2026-06-20,800,LV,Poindexter,"Miller, Max",43.0,44.0,-1.0,-2.5,42,0.5712090638488149,1.1547005383792515,0.95,1.0,0.40728781786918417,
,FL,,FL-7,PPP,B,0.0,2026-05-20,2026-06-21,800,RV,Dalton,Mills,41.0,39.0,2.0,1.0,41,0.5788761852562011,1.1547005383792515,0.95,0.85,0.4318049032295897,
,FL,,FL-7,PPP,B,0.0,2026-05-20,2026-06-21,800,RV,Dalton,Mills,41.0,39.0,2.0,1.0,41,0.5788761852562011,1.1547005383792515,0.95,0.85,0.4318049032295897,
,PA,,PA-8,Lake Research,B,0.0,2026-06-26,2026-06-26,400,LV,Cognetti,Bresnahan,47.0,45.0,2.0,2.0,36,0.6187833918061408,0.816496580927726,0.95,1.0,0.40797687792374465,
