district_id,state,district,polling_margin_dem,poll_count,latest_poll_end_date,avg_poll_age_days,total_poll_weight,polling_notes
AZ-6,AZ,,2.0,1,2026-06-11,19.0,0.8514746149362166,Manual House polling average from 1 poll(s): House Majority PAC
FL-7,FL,,2.0,2,2026-06-21,9.0,1.653965921829633,"Manual House polling average from 2 poll(s): PPP, PPP"
MI-4,MI,4.0,3.0,1,2026-06-01,29.0,0.5891227343987134,Manual House polling average from 1 poll(s): GBAO
MO-2,MO,2.0,-3.0,1,2026-05-31,30.0,0.6368040437338574,Manual House polling average from 1 poll(s): FM3 Research
MT-1,MT,,0.0,1,2026-06-25,5.0,0.8112972741419859,Manual House polling average from 1 poll(s): Impact Research
NJ-7,NJ,7.0,4.0,1,2026-06-26,4.0,0.7624648644400438,Manual House polling average from 1 poll(s): Z to A Research
OH-15,OH,15.0,-3.0,1,2026-06-21,9.0,0.6810447913416137,Manual House polling average from 1 poll(s): Tulchin
OH-7,OH,,-1.0,1,2026-06-20,10.0,0.9600349475403454,Manual House polling average from 1 poll(s): GBAO
PA-8,PA,,2.0,1,2026-06-26,4.0,0.7353864160666949,Manual House polling average from 1 poll(s): Lake Research
TN-5,TN,,-6.0,1,2026-06-13,17.0,0.730339848361616,Manual House polling average from 1 poll(s): Impact Research
WI-3,WI,3.0,4.0,1,2026-05-31,30.0,0.5813198991059001,Manual House polling average from 1 poll(s): Impact Research
WI-6,WI,6.0,-4.0,1,2026-03-20,102.0,0.2518242050739971,Manual House polling average from 1 poll(s): Unknown
