district_id,dem_candidate,gop_candidate,incumbent_party,dem_war_matched,gop_war_matched,dem_war_name,gop_war_name,dem_name_match_score,gop_name_match_score,dem_war_cycles,gop_war_cycles,dem_war_observations,gop_war_observations,dem_candidate_war,gop_candidate_war,dem_effective_war,gop_effective_war,candidate_war_net_dem,house_candidate_war_shrinkage,house_candidate_war_cap,house_candidate_war_one_sided_multiplier,candidate_war_adjustment_dem_before_match_quality,candidate_war_match_quality_multiplier,candidate_war_adjustment_dem,war_match_status
AL-1,,,R,False,False,,,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.45,3.0,0.5,0.0,0.0,0.0,Neither matched
AL-2,,,D,False,False,,,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.45,3.0,0.5,0.0,0.0,0.0,Neither matched
AL-3,"McGinnis, Lee","Rogers, Mike",R,False,True,,Mike Rogers,0.0,1.0,,"2022,2020,2018,2016,2014",0,5,0.0,-0.2783333333333333,0.0,-0.13916666666666666,0.13916666666666666,0.45,3.0,0.5,0.062625,0.5,0.0313125,Only R matched
AL-4,"Pusczek, Amanda","Aderholt, Robert",R,False,True,,Robert Aderholt,0.0,1.0,,"2022,2020,2018",0,3,0.0,-0.44230769230769235,0.0,-0.22115384615384617,0.22115384615384617,0.45,3.0,0.5,0.09951923076923078,0.5,0.04975961538461539,Only R matched
AL-5,"Sneed, Andrew","Strong, Dale",R,False,True,,Dale Strong,0.0,1.0,,2022,0,1,0.0,1.85,0.0,0.925,-0.925,0.45,3.0,0.5,-0.41625,0.5,-0.208125,Only R matched
AL-6,,"Strong, Dale",R,False,True,,Dale Strong,0.0,1.0,,2022,0,1,0.0,1.85,0.0,0.925,-0.925,0.45,3.0,0.5,-0.41625,0.5,-0.208125,Only R matched
AL-7,,,D,False,False,,,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.45,3.0,0.5,0.0,0.0,0.0,Neither matched
AK-AL,,,R,False,False,,,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.45,3.0,0.5,0.0,0.0,0.0,Neither matched
AZ-1,"Shah, Amish","Feely, Jay",R,True,False,Amish Shah,,1.0,0.0,2024,,1,0,2.0,0.0,2.0,0.0,2.0,0.45,3.0,0.5,0.9,0.5,0.45,Only D matched
AZ-2,"Nez, Jonathan","Crane, Eli",R,True,True,Jonathan Nez,Eli Crane,1.0,1.0,2024,"2024,2022",1,2,4.25,-2.9303030303030306,4.25,-1.4651515151515153,5.715151515151515,0.45,3.0,0.5,2.571818181818182,1.0,2.571818181818182,Both matched
AZ-3,"Ansari, Yassamin","Glenn, Nicholas",D,True,False,Yassamin Ansari,,1.0,0.0,2024,,1,0,1.45,0.0,0.725,0.0,0.725,0.45,3.0,0.5,0.32625,0.5,0.163125,Only D matched
AZ-4,"Stanton, Greg","Jasser, Zuhdi",D,True,False,Greg Stanton,,1.0,0.0,"2024,2022,2020,2018",,4,0,0.39239130434782615,0.0,0.19619565217391308,0.0,0.19619565217391308,0.45,3.0,0.5,0.08828804347826089,0.5,0.04414402173913044,Only D matched
AZ-5,"Lee, Elizabeth","Lamb, Mike",R,False,False,,,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.45,3.0,0.5,0.0,0.0,0.0,Neither matched
AZ-6,"Mendoza, JoAnn","Ciscomani, Juan",R,False,True,,Juan Ciscomani,0.0,1.0,,"2024,2022",0,2,0.0,-1.4363636363636365,0.0,-0.7181818181818183,0.7181818181818183,0.45,3.0,0.5,0.32318181818181824,0.5,0.16159090909090912,Only R matched
AZ-7,"Grijalva, Adelita","Butierez, Daniel",D,False,True,,Daniel Butierez,0.0,1.0,,2024,0,1,0.0,-0.3,0.0,-0.3,0.3,0.45,3.0,0.5,0.135,0.5,0.0675,Only R matched
AZ-8,"Greene-Placentia, Bernadette","Hamadeh, Abraham",R,False,True,,Abraham Hamadeh,0.0,1.0,,2024,0,1,0.0,-3.2,0.0,-1.6,1.6,0.45,3.0,0.5,0.7200000000000001,0.5,0.36000000000000004,Only R matched
AZ-9,"Sterbinsky, Danielle","Gosar, Paul",R,False,True,,Paul Gosar,0.0,1.0,,"2024,2020,2018,2016,2014",0,5,0.0,-1.6189189189189188,0.0,-0.8094594594594594,0.8094594594594594,0.45,3.0,0.5,0.3642567567567567,0.5,0.18212837837837836,Only R matched
AR-1,"Yarbrough Green, Terri","Crawford, Rick",R,False,True,,Rick Crawford,0.0,1.0,,"2024,2022,2018,2014",0,4,0.0,0.8756410256410255,0.0,0.43782051282051276,-0.43782051282051276,0.45,3.0,0.5,-0.19701923076923075,0.5,-0.09850961538461538,Only R matched
AR-2,"Jones, Chris","Hill, French",R,False,True,,French Hill,0.0,1.0,,"2024,2022,2020,2018,2016,2014",0,6,0.0,-0.517,0.0,-0.2585,0.2585,0.45,3.0,0.5,0.11632500000000001,0.5,0.058162500000000006,Only R matched
AR-3,"Ryerse, Robb","Womack, Steve",R,False,True,,Steve Womack,0.0,1.0,,"2024,2022,2020,2018",0,4,0.0,0.5076086956521739,0.0,0.25380434782608696,-0.25380434782608696,0.45,3.0,0.5,-0.11421195652173914,0.5,-0.05710597826086957,Only R matched
AR-4,"Russell, James","Westerman, Bruce",R,False,True,,Bruce Westerman,0.0,1.0,,"2024,2022,2020,2018,2014",0,5,0.0,0.75,0.0,0.375,-0.375,0.45,3.0,0.5,-0.16875,0.5,-0.084375,Only R matched
