district_id_off,rating_off,dem_win_probability_off,model_margin_dem_off,fundamentals_margin_dem_off,candidate_war_adjustment_dem_off,candidate_war_match_status_off,dem_candidate_off,gop_candidate_off,district_id_on,rating_on,dem_win_probability_on,model_margin_dem_on,fundamentals_margin_dem_on,candidate_war_adjustment_dem_on,candidate_war_match_status_on,dem_candidate_on,gop_candidate_on,district_id,dem_win_probability_change,model_margin_dem_change,fundamentals_margin_dem_change
NC-9,Safe R,0.02075,-12.338337371145236,-12.338337371145236,0.0,WAR inactive,"Ojeda, Richard","Hudson, Richard",NC-9,Likely R,0.057,-9.338337371145236,-9.338337371145236,3.0,Both matched,"Ojeda, Richard","Hudson, Richard",NC-9,0.036250000000000004,3.0,3.0
PA-12,Safe D,0.99995,24.341954166666667,24.341954166666667,0.0,WAR inactive,"Lee, Summer","Hayes, James",PA-12,Safe D,0.9998,21.75377234848485,21.75377234848485,-2.588181818181818,Both matched,"Lee, Summer","Hayes, James",PA-12,-0.00014999999999998348,-2.588181818181816,-2.588181818181816
PA-10,Toss-Up,0.5123,0.1705207052236762,0.1705207052236762,0.0,WAR inactive,"Stelson, Janelle","Perry, Scott",PA-10,Lean D,0.6649,2.513220705223676,2.513220705223676,2.3427,Both matched,"Stelson, Janelle","Perry, Scott",PA-10,0.15260000000000007,2.3427,2.3427
OH-9,Tilt R,0.39765,-1.611810646689693,-1.611810646689693,0.0,WAR inactive,"Kaptur, Marcy","Merrin, Derek",OH-9,Toss-Up,0.5192,0.263339353310307,0.263339353310307,1.87515,Both matched,"Kaptur, Marcy","Merrin, Derek",OH-9,0.12154999999999999,1.87515,1.87515
OR-4,Safe D,0.9996,19.330288558781245,19.330288558781245,0.0,WAR inactive,"Hoyle, Val","DeSpain, Monique",OR-4,Safe D,0.9986,17.48324310423579,17.48324310423579,-1.8470454545454549,Both matched,"Hoyle, Val","DeSpain, Monique",OR-4,-0.0010000000000000009,-1.847045454545455,-1.847045454545455
OK-2,Safe R,0.0,-51.508045833333334,-51.508045833333334,0.0,WAR inactive,"Wade, Brandon","Brecheen, Josh",OK-2,Safe R,0.0,-49.88531856060606,-49.88531856060606,1.622727272727273,Both matched,"Wade, Brandon","Brecheen, Josh",OK-2,0.0,1.6227272727272748,1.6227272727272748
CA-31,Safe D,0.99995,23.497920833333332,23.497920833333332,0.0,WAR inactive,"Cisneros, Gil","Ching, Eric",CA-31,Safe D,0.9999,22.02110265151515,22.02110265151515,-1.476818181818182,Both matched,"Cisneros, Gil","Ching, Eric",CA-31,-4.999999999999449e-05,-1.4768181818181816,-1.4768181818181816
CA-17,Safe D,1.0,46.62195416666666,46.62195416666666,0.0,WAR inactive,"Khanna, Ro","Tandon, Ritesh",CA-17,Safe D,1.0,45.17217155797101,45.17217155797101,-1.4497826086956522,Both matched,"Khanna, Ro","Tandon, Ritesh",CA-17,0.0,-1.4497826086956493,-1.4497826086956493
GA-14,Safe R,0.0,-35.186049999999994,-35.186049999999994,0.0,WAR inactive,"Harris, Shawn","Fuller, Clay",GA-14,Safe R,0.0,-33.779799999999994,-33.779799999999994,1.40625,Only D matched,"Harris, Shawn","Fuller, Clay",GA-14,0.0,1.40625,1.40625
CA-46,Safe D,1.0,24.661954166666668,24.661954166666668,0.0,WAR inactive,"Correa, Lou","Pan, David",CA-46,Safe D,1.0,25.967932427536233,25.967932427536233,1.3059782608695651,Both matched,"Correa, Lou","Pan, David",CA-46,0.0,1.3059782608695656,1.3059782608695656
