district_id,residual_observations,raw_residual_mse,residual_mean,raw_residual_rmse,reliability,shrunk_residual_variance,shrunk_residual_rmse,raw_district_uncertainty_multiplier,district_uncertainty_multiplier,pooled_residual_rmse,shrinkage_strength,multiplier_floor,multiplier_ceiling,uncertainty_source
AK-AL,4,312.16783282040114,-8.68552565275,17.668271925131815,0.5,197.02645183480254,14.036611123586866,1.5511718102792114,1.2,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AL-1,2,22.930231304818935,4.7813169580000014,4.788552109439651,0.3333333333333333,62.23345766774229,7.888818521663576,0.8717854188216682,0.8717854188216682,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AL-2,4,89.98352999924577,-1.291601224499999,9.485964895530964,0.5,85.93430042422486,9.270075534979467,1.0244267453456848,1.0244267453456848,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AL-3,4,66.51505885778019,7.460333918,8.15567648069614,0.5,74.20006485349208,8.613945951391388,0.9519185234543036,0.9519185234543036,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AL-4,3,37.272649188932895,5.9679471063333365,6.1051330197574645,0.42857142857142855,62.76546156623064,7.922465624174752,0.8755037263571107,0.8755037263571107,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AL-5,3,41.19496417616944,3.648808326333332,6.418330326196171,0.42857142857142855,64.44645370361773,8.027854863138579,0.8871501854025398,0.8871501854025398,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AL-6,2,1.6435133907109516,1.2814915579999955,1.281995862205082,0.3333333333333333,55.1378850297063,7.425488874795134,0.8205833244727514,0.8205833244727514,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AL-7,1,1.172418251982069,1.0827826430000016,1.0827826430000016,0.2,65.74254032975958,8.108177374093366,0.8960265454888104,0.8960265454888104,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AR-1,2,93.76808934536781,8.736112048000004,9.683392450240143,0.3333333333333333,85.84607701459191,9.26531580760159,1.0239007526492874,1.0239007526492874,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AR-2,4,66.74172940074472,7.4794740275,8.169561151049958,0.5,74.31340012497434,8.620522033205086,0.9526452396567892,0.9526452396567892,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AR-3,3,46.941092847105644,6.7417268030000015,6.851357007710637,0.42857142857142855,66.9090802768761,8.179797080421745,0.9039411673686155,0.9039411673686155,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AR-4,3,126.37340822579237,10.821385802999998,11.241592779752892,0.42857142857142855,100.95150115345612,10.047462423590153,1.1103349903398954,1.1103349903398954,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AZ-1,4,16.625307981383525,-1.9148604925500003,4.077414374500528,0.5,49.25518941529374,7.018204144600935,0.7755746976274295,0.8,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AZ-2,4,54.355097225148725,3.7984441429999998,7.372590943837094,0.5,68.12008403717634,8.253489203795953,0.9120848099765957,0.9120848099765957,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AZ-3,3,54.994281237130515,3.5256292963333316,7.415812918158772,0.42857142857142855,70.3604467297439,8.388113418984265,0.9269619969088578,0.9269619969088578,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AZ-4,4,34.68161918261183,3.606452000499996,5.889110219940855,0.5,58.2833450159079,7.6343529533227565,0.8436646842069093,0.8436646842069093,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AZ-5,4,8.643914036287399,2.3067329030000003,2.940053407046783,0.5,45.26449244274568,6.727889152085197,0.7434922791200799,0.8,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AZ-6,4,23.07260346463001,3.1870853602499998,4.803394993609209,0.5,52.47883715691698,7.2442278509801845,0.8005523506167022,0.8005523506167022,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AZ-7,3,5.434326219180979,-0.1558485270000011,2.3311641338998372,0.42857142857142855,49.120466007765536,7.008599432680223,0.7745132905508861,0.8,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AZ-8,2,10.104827566372672,0.5046091329999982,3.1788091428037437,0.3333333333333333,57.9583230882602,7.613036390840398,0.841309012277014,0.841309012277014,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
AZ-9,3,81.93684770054487,-5.068062780333332,9.05189746409806,0.42857142857142855,81.90726092835007,9.050263030893085,1.0001354860891878,1.0001354860891878,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-1,4,6.874157991943113,1.0181005867500001,2.6218615508724166,0.5,44.37961442057353,6.661802640470035,0.7361891250357674,0.8,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-10,3,39.197155658369795,4.389243881666667,6.260763184977515,0.42857142857142855,63.590250053132166,7.974349506582476,0.8812373621392878,0.8812373621392878,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-11,4,44.458565655416876,4.074643402999996,6.667725673377458,0.5,63.171818252310416,7.948070096086874,0.8783332508554015,0.8783332508554015,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-12,2,67.73268593591527,4.503464967999996,8.229986994881296,0.3333333333333333,77.16760921144106,8.784509617015685,0.9707673429909306,0.9707673429909306,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-13,3,38.64334598007856,4.480599715566669,6.216377239202794,0.42857142857142855,63.35290304815021,7.959453690307534,0.8795912404298988,0.8795912404298988,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-14,4,50.454231744881234,2.2341723504999993,7.103114228624036,0.5,66.16965129704259,8.134473019012516,0.8989324508225527,0.8989324508225527,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-15,3,66.5891289347401,3.105663119666668,8.16021623088139,0.42857142857142855,75.32966717157659,8.679266511150386,0.9591370329675831,0.9591370329675831,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-16,3,97.86651728463015,9.159456873000002,9.892750744086811,0.42857142857142855,88.73426217867231,9.419886526846929,1.0409822077296418,1.0409822077296418,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-17,3,127.63700234378062,9.98966855633333,11.297654727587519,0.42857142857142855,101.49304148973681,10.07437548881998,1.1133091261726222,1.1133091261726222,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-18,3,81.56859250927961,6.955185742999998,9.031533231366621,0.42857142857142855,81.74943727495065,9.041539541192675,0.9991714619959506,0.9991714619959506,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-19,4,79.68410797835438,5.973475440499998,8.926595542442504,0.5,80.78458941377917,8.988024778213463,0.9932575992383198,0.9932575992383198,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-2,4,24.968224517994123,-3.0601500569999995,4.9968214414759835,0.5,53.42664768359904,7.30935343813658,0.8077493139033126,0.8077493139033126,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-20,3,27.171162453235223,3.9180946063333337,5.212596517402361,0.42857142857142855,58.43625296521735,7.644360860478615,0.8447706479843039,0.8447706479843039,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-21,4,443.71180855373956,20.128040421199998,21.064467915277127,0.5,262.79843970147175,16.21105917888994,1.791467882928453,1.2,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-22,4,176.6204906049039,10.957581479,13.28986420566079,0.5,129.25278072705393,11.368939296480297,1.2563700735316359,1.2,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-23,4,137.93334713815813,11.443378138,11.744502847637193,0.5,109.90920899368103,10.483759296821013,1.1585497200000652,1.1585497200000652,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-24,4,63.752801814847054,7.737240387250001,7.984535165859504,0.5,72.8189363320255,8.533401217101273,0.9430176056902352,0.9430176056902352,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-25,4,56.34658271255011,5.63187888846,7.506436085956511,0.5,69.11582678087703,8.31359289241884,0.9187268082954746,0.9187268082954746,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-26,4,55.701749955600896,3.02119843425,7.463360500176908,0.5,68.79341040240243,8.294179308551415,0.9165814326227785,0.9165814326227785,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-27,3,107.61399938585349,5.002216063666669,10.373716758513002,0.42857142857142855,92.91175450776804,9.639074359489506,1.0652044351717085,1.0652044351717085,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-28,4,52.309822841496306,-0.011027787000001496,7.232552996106998,0.5,67.09744684535013,8.191303122541012,0.905212688537518,0.905212688537518,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-29,1,52.108464930389076,7.218619323000007,7.218619323000007,0.2,75.92974966544098,8.713767822557644,0.9629497382709788,0.9629497382709788,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-3,4,34.465251133354585,2.63965359225,5.870711297053755,0.5,58.17516099127927,7.627264318959929,0.8428813263365387,0.8428813263365387,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-30,3,74.26023551423839,1.3164936063333315,8.61743787411539,0.42857142857142855,78.61728427707585,8.866638837636044,0.979843360749407,0.979843360749407,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-31,4,69.70027081322704,7.868249885500003,8.348668804859074,0.5,75.7926708312155,8.705898622842762,0.9620801209068082,0.9620801209068082,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-32,3,69.33165014577922,6.854486742999998,8.326562925107767,0.42857142857142855,76.50503340487907,8.74671557814012,0.9665907616790882,0.9665907616790882,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-33,4,81.87604627377613,5.259285097999998,9.048538350130153,0.5,81.88055856149003,9.048787684628811,0.9999724470539539,0.9999724470539539,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-34,0,81.88507084920396,0.0,9.04903701225738,0.0,81.88507084920396,9.04903701225738,1.0,1.0,9.04903701225738,4.0,0.8,1.2,Pooled fallback
CA-35,4,76.01368231667236,5.4726069929999985,8.718582586445596,0.5,78.94937658293816,8.8853461712495,0.9819106894152215,0.9819106894152215,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-36,4,102.9123787846819,-6.140623477,10.144573859195955,0.5,92.39872481694293,9.612425542855608,1.0622595011861582,1.0622595011861582,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-37,2,63.40268315072875,7.660314312999993,7.96258018174566,0.3333333333333333,75.72427494971222,8.701969601746045,0.9616459287279725,0.9616459287279725,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-38,3,94.06171010777807,4.700567166333332,9.698541648504587,0.42857142857142855,87.10363053145,9.332932579390574,1.0313730142498747,1.0313730142498747,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-39,4,160.0432877821511,12.413520487,12.650821624785921,0.5,120.96417931567754,10.998371666554897,1.215419016593373,1.2,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-4,4,22.321595813089132,2.9119926757500014,4.724573611775896,0.5,52.103333331146544,7.218263872368933,0.7976830973938364,0.8,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-40,2,526.392866033721,21.484455838000002,22.943253170239853,0.3333333333333333,230.05433591070965,15.167542184240322,1.6761498669632047,1.2,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-41,4,16.867724834034632,2.321611496749998,4.1070335808262675,0.5,49.376397841619294,7.026834126519517,0.7765283882695267,0.8,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-42,4,50.53922837391833,6.9320222605,7.1090947647304805,0.5,66.21214961156114,8.137084834973834,0.8992210799836203,0.8992210799836203,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-43,4,218.61848570128132,13.1304231105,14.785752794541146,0.5,150.25177827524263,12.25772320927678,1.354588691887664,1.2,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-44,1,2.726096315764271,1.6510894330000028,1.6510894330000028,0.2,66.05327594251602,8.127316650808927,0.8981416077534068,0.8981416077534068,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-45,4,56.2763123294141,7.243571319999999,7.501753950204852,0.5,69.08069158930903,8.311479506640742,0.9184932601538066,0.9184932601538066,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-46,3,40.9010626080019,6.277701689666664,6.3953938587081485,0.42857142857142855,64.32049588868878,8.020005978095575,0.8862828129923738,0.8862828129923738,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-47,4,60.73308818689333,5.6325097387500005,7.793143665228643,0.5,71.30907951804865,8.444470351540625,0.9331899449744941,0.9331899449744941,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-48,4,44.764536827568556,6.15901990675,6.690630525411529,0.5,63.32480383838626,7.957688347653875,0.8793961541846699,0.8793961541846699,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-49,4,21.65671628374595,2.1808025419750003,4.653677715930267,0.5,51.77089356647495,7.195199341677404,0.7951342592511382,0.8,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-5,3,54.56584976589985,-1.0598891936666661,7.386870092664406,0.42857142857142855,70.17683324207363,8.377161407187618,0.9257517010749683,0.9257517010749683,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-50,4,20.414817490283962,1.4284844775000007,4.518275942246551,0.5,51.14994416974396,7.151918915210376,0.7903513827518596,0.8,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-51,4,134.01440653616856,7.603008863,11.5764591536518,0.5,107.94973869268625,10.389886365725385,1.1481759165811518,1.1481759165811518,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-52,4,13.810663759443372,0.9790647380000008,3.716270140805613,0.5,47.847867304323664,6.917215285382093,0.764414520132073,0.8,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-6,3,33.470118940683825,-0.037626797000002675,5.7853365451530845,0.42857142857142855,61.13580574555247,7.818938914299847,0.8640630935323502,0.8640630935323502,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-7,4,26.713340009304765,3.6640869432499996,5.168494946239647,0.5,54.29920542925436,7.368799456441623,0.8143186337353037,0.8143186337353037,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-8,3,54.11054336646856,5.166088156333333,7.35598690635516,0.42857142857142855,69.98170192803164,8.365506674914057,0.9244637483063175,0.9244637483063175,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
CA-9,4,69.72094994576578,6.964882156750001,8.349907181865303,0.5,75.80301039748487,8.70649242792325,0.9621457417104012,0.9621457417104012,9.04903701225738,4.0,0.8,1.2,Historical canonical backtest residuals
