district_id,rating,model_margin_label,model_margin_dem,dem_win_probability,district_partisan_baseline_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,region,district_type,tested_multiplier
AL-4,Safe R,R+64.3,-64.33746666666666,2.203379503842692e-05,-65.57,-2.0,0.0,Deep South,Rural,0.8
KY-5,Safe R,R+61.3,-61.28746666666666,3.663104659552557e-05,-62.52,-2.0,0.0,Appalachia,Rural,0.8
TN-1,Safe R,R+53.5,-53.51746666666666,0.0001337268176038,-56.74999999999999,0.0,0.0,Appalachia,Rural,0.8
NE-3,Safe R,R+52.0,-51.96746666666666,0.0001731386917677,-53.2,-2.0,0.0,Great Plains,Rural,0.8
OK-2,Safe R,R+51.7,-51.70746666666666,0.000180804913783,-54.94,0.0,0.0,Great Plains,Rural,0.8
AL-1,Safe R,R+50.4,-50.42746666666666,0.0002237901908535,-53.66,0.0,0.0,Deep South,Rural,0.8
MO-8,Safe R,R+49.2,-49.22973333333333,0.0002732212055618,-53.05,0.0,0.0,Midwest,Rural,0.8
TX-19,Safe R,R+46.5,-46.453599999999994,0.0004338981802931,-49.98,0.0,0.0,Middle South,Rural,0.8
TX-1,Safe R,R+46.2,-46.1936,0.0004531050589874,-47.72,-2.0,0.0,Middle South,Rural,0.8
KY-1,Safe R,R+44.7,-44.687466666666666,0.000582318156537,-45.92,-2.0,0.0,Appalachia,Rural,0.8
PA-13,Safe R,R+44.2,-44.17746666666666,0.0006339469645819,-45.41,-2.0,0.0,Appalachia,Rural,0.8
TX-13,Safe R,R+44.0,-43.9736,0.0006558428266039,-45.5,-2.0,0.0,Middle South,Rural,0.8
AL-3,Safe R,R+43.6,-43.58746666666666,0.0006994072064109,-44.81999999999999,-2.0,0.0,Deep South,Rural,0.8
WV-1,Safe R,R+43.2,-43.197466666666664,0.0007463436551556,-44.43,-2.0,0.0,Appalachia,Rural,0.8
AR-1,Safe R,R+42.5,-42.453599999999994,0.0008447708693676,-43.98,-2.0,0.0,Middle South,Rural,0.8
WY-AL,Safe R,R+42.1,-42.09746666666666,0.0008963843895188,-45.33,0.0,0.0,Great Plains,Rural,0.8
IL-12,Safe R,R+41.5,-41.46973333333333,0.0009951492152964,-43.29,-2.0,0.0,Midwest,Rural,0.8
ID-1,Safe R,R+41.4,-41.4436,0.0009994887544695,-42.97,-2.0,0.0,Mountain West,Rural,0.8
OK-3,Safe R,R+41.0,-40.96746666666666,0.0010819463939909,-44.2,0.0,0.0,Great Plains,Rural,0.8
OH-4,Safe R,R+40.1,-40.11973333333333,0.0012459351155624,-41.94,-2.0,0.0,Midwest,Rural,0.8
VA-9,Safe R,R+40.1,-40.06746666666667,0.0012568223048077,-43.3,0.0,0.0,Appalachia,Rural,0.8
MS-4,Safe R,R+39.9,-39.88746666666666,0.0012950486731609,-41.12,-2.0,0.0,Deep South,Rural,0.8
OH-2,Safe R,R+39.5,-39.529733333333326,0.0013745012572824,-41.349999999999994,-2.0,0.0,Midwest,Rural,0.8
WV-2,Safe R,R+39.1,-39.117466666666665,0.0014721211140012,-40.35,-2.0,0.0,Appalachia,Rural,0.8
KY-2,Safe R,R+38.6,-38.62746666666666,0.0015971897859558,-39.86,-2.0,0.0,Appalachia,Rural,0.8
MO-7,Safe R,R+38.4,-38.41973333333333,0.0016533634346505,-42.24,0.0,0.0,Midwest,Rural,0.8
SC-3,Safe R,R+37.8,-37.79359999999999,0.0018348915310998,-41.31999999999999,0.0,0.0,Southeast,Rural,0.8
IL-15,Safe R,R+37.7,-37.71973333333333,0.0018575784870229,-39.54,-2.0,0.0,Midwest,Rural,0.8
UT-3,Safe R,R+37.6,-37.593599999999995,0.0018969674081123,-41.12,0.0,0.0,Mountain West,Rural,0.8
AL-6,Safe R,R+37.3,-37.32746666666666,0.0019828318185273,-38.559999999999995,-2.0,0.0,Deep South,Rural,0.8
AR-4,Safe R,R+37.0,-36.96359999999999,0.0021065394240349,-38.489999999999995,-2.0,0.0,Middle South,Rural,0.8
PA-15,Safe R,R+36.5,-36.46746666666666,0.0022877157514644,-37.7,-2.0,0.0,Appalachia,Rural,0.8
PA-9,Safe R,R+36.2,-36.24746666666666,0.0023729527408205,-37.48,-2.0,0.0,Northeast,Rural,0.8
GA-14,Safe R,R+35.9,-35.90359999999999,0.0025125702008863,-37.42999999999999,-2.0,0.0,Southeast,Rural,0.8
LA-1,Safe R,R+34.2,-34.232,0.003317127852798,-38.64,0.0,0.0,Deep South,Exurban,0.8
MS-1,Safe R,R+34.2,-34.17746666666666,0.0033473129076351,-35.41,-2.0,0.0,Deep South,Rural,0.8
IN-8,Safe R,R+33.6,-33.569733333333325,0.0037028028069623,-35.38999999999999,-2.0,0.0,Midwest,Rural,0.8
GA-9,Safe R,R+32.6,-32.593599999999995,0.0043541306741911,-34.12,-2.0,0.0,Southeast,Rural,0.8
ND-AL,Safe R,R+32.5,-32.517466666666664,0.0044094865942778,-35.75,0.0,0.0,Great Plains,Rural,0.8
FL-1,Safe R,R+32.3,-32.257466666666666,0.0046038657836823,-35.49,0.0,0.0,Deep South,Rural,0.8
