district_id,state,district,dem_candidate,gop_candidate,old_district_partisan_baseline_dem,new_district_partisan_baseline_dem,delta_district_partisan_baseline_dem,old_district_elasticity,new_district_elasticity,delta_district_elasticity,old_house_national_environment_used_dem,new_house_national_environment_used_dem,delta_house_national_environment_used_dem,old_district_environment_adjustment_dem,new_district_environment_adjustment_dem,delta_district_environment_adjustment_dem,old_state_environment_adjustment_dem,new_state_environment_adjustment_dem,delta_state_environment_adjustment_dem,old_incumbency_adjustment_dem,new_incumbency_adjustment_dem,delta_incumbency_adjustment_dem,old_candidate_quality_adjustment_dem_before_war,new_candidate_quality_adjustment_dem_before_war,delta_candidate_quality_adjustment_dem_before_war,old_candidate_war_adjustment_dem,new_candidate_war_adjustment_dem,delta_candidate_war_adjustment_dem,old_candidate_quality_adjustment_dem,new_candidate_quality_adjustment_dem,delta_candidate_quality_adjustment_dem,old_special_adjustment_dem,new_special_adjustment_dem,delta_special_adjustment_dem,old_poll_spillover_adjustment_dem,new_poll_spillover_adjustment_dem,delta_poll_spillover_adjustment_dem,old_fundamentals_margin_dem_before_poll_spillover,new_fundamentals_margin_dem_before_poll_spillover,delta_fundamentals_margin_dem_before_poll_spillover,old_fundamentals_margin_dem,new_fundamentals_margin_dem,delta_fundamentals_margin_dem,old_polling_margin_dem,new_polling_margin_dem,delta_polling_margin_dem,old_bayesian_polling_weight,new_bayesian_polling_weight,delta_bayesian_polling_weight,old_bayesian_model_margin_dem,new_bayesian_model_margin_dem,delta_bayesian_model_margin_dem,old_model_margin_dem,new_model_margin_dem,delta_model_margin_dem,old_pre_sim_dem_win_probability,new_pre_sim_dem_win_probability,delta_pre_sim_dem_win_probability,old_simulated_dem_win_probability,new_simulated_dem_win_probability,delta_simulated_dem_win_probability,old_dem_win_probability,new_dem_win_probability,delta_dem_win_probability,old_avg_simulated_margin_dem,new_avg_simulated_margin_dem,delta_avg_simulated_margin_dem,old_district_posterior_sd,new_district_posterior_sd,delta_district_posterior_sd,old_margin_dem,new_margin_dem,delta_margin_dem,abs_delta_margin,old_dem_probability,new_dem_probability,delta_dem_probability,abs_delta_probability,old_polling_blend_effect_dem,new_polling_blend_effect_dem,delta_polling_blend_effect_dem,primary_cause,snapshot_status
WI-3,WI,3,,,-6.895999999999999,-6.895999999999999,0.0,1.0,1.0,0.0,5.4,5.4,0.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018978322261629,0.0018978322261629,0.0,-1.4959999999999989,-1.4959999999999989,0.0,-1.4941021677738358,-1.4941021677738358,0.0,4.0,4.0,0.0,0.1869161955821304,0.1869161955821305,8.326672684688674e-17,-0.4671654924340146,-0.4671654924340144,2.220446049250313e-16,-0.4671654924340146,-0.4671654924340144,2.220446049250313e-16,0.4805445988980589,0.4805445988980589,0.0,0.4777,0.4777,0.0,0.4380654568034866,0.48225,0.04418454319651344,-0.428150151020386,-0.4540624135359806,-0.025912262515594586,6.434578919955155,6.434578919955155,0.0,-0.4671654924340146,-0.4671654924340144,2.220446049250313e-16,2.220446049250313e-16,0.4777,0.4777,0.0,0.0,1.026936675339821,1.0269366753398215,4.440892098500626e-16,No component change,matched
AK-AL,AK,AL,,,-12.476,-12.476,0.0,0.95,0.95,0.0,5.4,5.4,0.0,5.13,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000879007600603,0.000879007600603,0.0,-7.345999999999999,-7.345999999999999,0.0,-7.345120992399396,-7.345120992399396,0.0,,,,0.0,0.0,0.0,-7.345120992399396,-7.345120992399396,0.0,-7.345120992399396,-7.345120992399396,0.0,0.2272004853012498,0.2272004853012498,0.0,0.18555,0.18555,0.0,0.2272004853012498,0.27825,0.05104951469875019,-7.35852310262942,-7.2388279046579616,0.11969519797145889,6.75,6.75,0.0,-7.345120992399396,-7.345120992399396,0.0,0.0,0.18555,0.18555,0.0,0.0,0.0,0.0,0.0,No component change,matched
AL-1,AL,1,,,-34.775999999999996,-34.775999999999996,0.0,0.55,0.55,0.0,5.4,5.4,0.0,2.9700000000000006,2.9700000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.805999999999997,-31.805999999999997,0.0,-31.805999999999997,-31.805999999999997,0.0,,,,0.0,0.0,0.0,-31.805999999999997,-31.805999999999997,0.0,-31.805999999999997,-31.805999999999997,0.0,0.0049618619632461,0.0049618619632461,0.0,5e-05,5e-05,0.0,0.0049618619632461,0.0049,-6.186196324609993e-05,-31.804637254541433,-31.63652688226248,0.16811037227895298,6.75,6.75,0.0,-31.805999999999997,-31.805999999999997,0.0,0.0,5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,No component change,matched
AL-2,AL,2,,,-15.956,-15.956,0.0,0.65,0.65,0.0,5.4,5.4,0.0,3.51,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.446,-12.446,0.0,-12.446,-12.446,0.0,-2.0,-2.0,0.0,0.0551249999999999,0.0551249999999999,0.0,-11.87016425,-11.87016425,0.0,-11.87016425,-11.87016425,0.0,0.1214936958372481,0.1214936958372481,0.0,0.0747,0.0747,0.0,0.1116166286399108,0.16175,0.050133371360089204,-11.827861140319577,-11.70919347986676,0.11866766045281629,6.656976562500001,6.656976562500001,0.0,-11.87016425,-11.87016425,0.0,0.0,0.0747,0.0747,0.0,0.0,0.5758357499999995,0.5758357499999995,0.0,No component change,matched
AL-3,AL,3,"McGinnis, Lee","Rogers, Mike",-44.466,-44.466,0.0,0.55,0.55,0.0,5.4,5.4,0.0,2.9700000000000006,2.9700000000000006,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0313125,0.0313125,0.0,0.0313125,0.0313125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.9646875,-42.9646875,0.0,-42.9646875,-42.9646875,0.0,,,,0.0,0.0,0.0,-42.9646875,-42.9646875,0.0,-42.9646875,-42.9646875,0.0,0.0007758453131027,0.0007758453131027,0.0,0.0,0.0,0.0,0.0007758453131027,0.00015,-0.0006258453131027,-42.97933566123368,-42.97902742682763,0.0003082344060487685,6.75,6.75,0.0,-42.9646875,-42.9646875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No component change,matched
AL-4,AL,4,"Pusczek, Amanda","Aderholt, Robert",-66.876,-66.876,0.0,0.55,0.55,0.0,5.4,5.4,0.0,2.9700000000000006,2.9700000000000006,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0497596153846153,0.0497596153846153,0.0,0.0497596153846153,0.0497596153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.35624038461539,-65.35624038461539,0.0,-65.35624038461539,-65.35624038461539,0.0,,,,0.0,0.0,0.0,-65.35624038461539,-65.35624038461539,0.0,-65.35624038461539,-65.35624038461539,0.0,1.85930012684702e-05,1.85930012684702e-05,0.0,0.0,0.0,0.0,1.85930012684702e-05,0.0,-1.85930012684702e-05,-65.2857565322263,-65.39908861847398,-0.11333208624768076,6.75,6.75,0.0,-65.35624038461539,-65.35624038461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No component change,matched
AL-5,AL,5,"Sneed, Andrew","Strong, Dale",-28.736,-28.736,0.0,0.55,0.55,0.0,5.4,5.4,0.0,2.9700000000000006,2.9700000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208125,-0.208125,0.0,-0.208125,-0.208125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.974124999999997,-25.974124999999997,0.0,-25.974124999999997,-25.974124999999997,0.0,,,,0.0,0.0,0.0,-25.974124999999997,-25.974124999999997,0.0,-25.974124999999997,-25.974124999999997,0.0,0.0130089828190962,0.0130089828190962,0.0,0.00095,0.00095,0.0,0.0130089828190962,0.01925,0.0062410171809038,-25.958493457035257,-25.87877615111429,0.07971730592096549,6.75,6.75,0.0,-25.974124999999997,-25.974124999999997,0.0,0.0,0.00095,0.00095,0.0,0.0,0.0,0.0,0.0,No component change,matched
AL-6,AL,6,,"Strong, Dale",-35.18599999999999,-35.18599999999999,0.0,0.55,0.55,0.0,5.4,5.4,0.0,2.9700000000000006,2.9700000000000006,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,0.0,-0.208125,-0.208125,0.0,-0.208125,-0.208125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.924125,-33.924125,0.0,-33.924125,-33.924125,0.0,,,,0.0,0.0,0.0,-33.924125,-33.924125,0.0,-33.924125,-33.924125,0.0,0.0034911708478558,0.0034911708478558,0.0,0.0,0.0,0.0,0.0034911708478558,0.00405,0.0005588291521441999,-33.84741787643717,-33.827149342299684,0.020268534137485972,6.75,6.75,0.0,-33.924125,-33.924125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No component change,matched
AL-7,AL,7,,,26.144,26.144,0.0,0.55,0.55,0.0,5.4,5.4,0.0,2.9700000000000006,2.9700000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.113999999999997,29.113999999999997,0.0,29.113999999999997,29.113999999999997,0.0,,,,0.0,0.0,0.0,29.113999999999997,29.113999999999997,0.0,29.113999999999997,29.113999999999997,0.0,0.992250392830851,0.992250392830851,0.0,0.9994,0.9994,0.0,0.992250392830851,0.9905,-0.0017503928308509886,29.053467277791224,29.16850646034464,0.11503918255341716,6.75,6.75,0.0,29.113999999999997,29.113999999999997,0.0,0.0,0.9994,0.9994,0.0,0.0,0.0,0.0,0.0,No component change,matched
AR-1,AR,1,"Yarbrough Green, Terri","Crawford, Rick",-44.285999999999994,-44.285999999999994,0.0,0.6000000000000001,0.6000000000000001,0.0,5.4,5.4,0.0,3.2400000000000007,3.2400000000000007,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,0.0,-0.0985096153846153,-0.0985096153846153,0.0,-0.0985096153846153,-0.0985096153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.64450961538461,-42.64450961538461,0.0,-42.64450961538461,-42.64450961538461,0.0,,,,0.0,0.0,0.0,-42.64450961538461,-42.64450961538461,0.0,-42.64450961538461,-42.64450961538461,0.0,0.0008183364967347,0.0008183364967347,0.0,0.0,0.0,0.0,0.0008183364967347,0.00035,-0.00046833649673470005,-42.69874428833238,-42.659244423507616,0.0394998648247622,6.75,6.75,0.0,-42.64450961538461,-42.64450961538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No component change,matched
