district_id,rating,model_margin_label,model_margin_dem,dem_win_probability,incumbent_party,inferred_incumbent_party,incumbency_adjustment_dem,generic_house_incumbency_points,district_partisan_baseline_dem,region,district_type,tested_incumbency_points
AL-4,Safe R,R+63.4,-63.38543333333333,2.582249073882892e-05,R,R,-1.25,1.25,-65.57,Deep South,Rural,1.25
KY-5,Safe R,R+60.3,-60.33543333333333,4.292962177243808e-05,R,R,-1.25,1.25,-62.52,Appalachia,Rural,1.25
TN-1,Safe R,R+53.3,-53.31543333333333,0.0001383057324381,R,R,0.0,1.25,-56.74999999999999,Appalachia,Rural,1.25
OK-2,Safe R,R+51.5,-51.50543333333333,0.0001869955193869,R,R,0.0,1.25,-54.94,Great Plains,Rural,1.25
NE-3,Safe R,R+51.0,-51.01543333333333,0.0002029044970899,R,R,-1.25,1.25,-53.2,Great Plains,Rural,1.25
AL-1,Safe R,R+50.2,-50.22543333333333,0.0002314522348705,R,R,0.0,1.25,-53.66,Deep South,Rural,1.25
MO-8,Safe R,R+49.0,-48.990966666666665,0.0002843099727933,R,R,0.0,1.25,-53.05,Midwest,Rural,1.25
TX-19,Safe R,R+46.2,-46.2332,0.0004501257542168,R,R,0.0,1.25,-49.98,Middle South,Rural,1.25
TX-1,Safe R,R+45.2,-45.2232,0.0005326038021908,R,R,-1.25,1.25,-47.72,Middle South,Rural,1.25
KY-1,Safe R,R+43.7,-43.73543333333333,0.0006823816152686,R,R,-1.25,1.25,-45.92,Appalachia,Rural,1.25
PA-13,Safe R,R+43.2,-43.22543333333333,0.0007428755376798,R,R,-1.25,1.25,-45.41,Appalachia,Rural,1.25
TX-13,Safe R,R+43.0,-43.0032,0.0007708851310883,R,R,-1.25,1.25,-45.5,Middle South,Rural,1.25
AL-3,Safe R,R+42.6,-42.63543333333333,0.0008195743269913,R,R,-1.25,1.25,-44.81999999999999,Deep South,Rural,1.25
WV-1,Safe R,R+42.2,-42.24543333333333,0.0008745680013947,R,R,-1.25,1.25,-44.43,Appalachia,Rural,1.25
WY-AL,Safe R,R+41.9,-41.89543333333333,0.0009270531066536,R,R,0.0,1.25,-45.33,Great Plains,Rural,1.25
AR-1,Safe R,R+41.5,-41.4832,0.0009929203780994,R,R,-1.25,1.25,-43.98,Middle South,Rural,1.25
OK-3,Safe R,R+40.8,-40.76543333333333,0.0011189567822366,R,R,0.0,1.25,-44.2,Great Plains,Rural,1.25
IL-12,Safe R,R+40.5,-40.48096666666667,0.001173221742621,R,R,-1.25,1.25,-43.29,Midwest,Rural,1.25
ID-1,Safe R,R+40.5,-40.4732,0.0011747396111319,R,R,-1.25,1.25,-42.97,Mountain West,Rural,1.25
VA-9,Safe R,R+39.9,-39.865433333333335,0.0012998069295172,R,R,0.0,1.25,-43.3,Appalachia,Rural,1.25
OH-4,Safe R,R+39.1,-39.130966666666666,0.0014688174246625,R,R,-1.25,1.25,-41.94,Midwest,Rural,1.25
MS-4,Safe R,R+38.9,-38.93543333333333,0.0015173992329882,R,R,-1.25,1.25,-41.12,Deep South,Rural,1.25
OH-2,Safe R,R+38.5,-38.54096666666666,0.0016203451388408,R,R,-1.25,1.25,-41.349999999999994,Midwest,Rural,1.25
MO-7,Safe R,R+38.2,-38.18096666666667,0.0017203693113727,R,R,0.0,1.25,-42.24,Midwest,Rural,1.25
WV-2,Safe R,R+38.2,-38.16543333333333,0.001724821234562,R,R,-1.25,1.25,-40.35,Appalachia,Rural,1.25
KY-2,Safe R,R+37.7,-37.67543333333333,0.0018713186043385,R,R,-1.25,1.25,-39.86,Appalachia,Rural,1.25
SC-3,Safe R,R+37.6,-37.57319999999999,0.0019034157768747,R,R,0.0,1.25,-41.31999999999999,Southeast,Rural,1.25
UT-3,Safe R,R+37.4,-37.3732,0.001967805314796,R,R,0.0,1.25,-41.12,Mountain West,Rural,1.25
IL-15,Safe R,R+36.7,-36.73096666666667,0.0021896363156614,R,R,-1.25,1.25,-39.54,Midwest,Rural,1.25
AL-6,Safe R,R+36.4,-36.375433333333326,0.0023229951344772,R,R,-1.25,1.25,-38.559999999999995,Deep South,Rural,1.25
AR-4,Safe R,R+36.0,-35.993199999999995,0.0024754201106349,R,R,-1.25,1.25,-38.489999999999995,Middle South,Rural,1.25
PA-15,Safe R,R+35.5,-35.51543333333333,0.0026800427599192,R,R,-1.25,1.25,-37.7,Appalachia,Rural,1.25
PA-9,Safe R,R+35.3,-35.29543333333333,0.0027798565599281,R,R,-1.25,1.25,-37.48,Northeast,Rural,1.25
GA-14,Safe R,R+34.9,-34.93319999999999,0.0029523414599546,R,R,-1.25,1.25,-37.42999999999999,Southeast,Rural,1.25
LA-1,Safe R,R+34.0,-33.956500000000005,0.0034724490403402,R,R,0.0,1.25,-38.64,Deep South,Exurban,1.25
MS-1,Safe R,R+33.2,-33.22543333333333,0.0039206392389448,R,R,-1.25,1.25,-35.41,Deep South,Rural,1.25
IN-8,Safe R,R+32.6,-32.58096666666666,0.0043632681527312,R,R,-1.25,1.25,-35.38999999999999,Midwest,Rural,1.25
ND-AL,Safe R,R+32.3,-32.31543333333333,0.0045598033266978,R,R,0.0,1.25,-35.75,Great Plains,Rural,1.25
FL-1,Safe R,R+32.1,-32.05543333333333,0.0047607770992563,R,R,0.0,1.25,-35.49,Deep South,Rural,1.25
GA-9,Safe R,R+31.6,-31.623199999999997,0.0051145746918642,R,R,-1.25,1.25,-34.12,Southeast,Rural,1.25
LA-3,Safe R,R+31.6,-31.595433333333336,0.0051381767613126,R,R,0.0,1.25,-35.03,Deep South,Rural,1.25
MN-7,Safe R,R+31.5,-31.450966666666663,0.0052627350818879,R,R,0.0,1.25,-35.51,Midwest,Rural,1.25
KY-4,Safe R,R+31.2,-31.22543333333333,0.0054632190905287,R,R,0.0,1.25,-34.66,Appalachia,Rural,1.25
