dem_seats,probability
147,5e-05
161,5e-05
168,5e-05
169,5e-05
170,0.0001
173,0.0001
174,0.00025
175,0.00025
176,0.0001
177,0.0002
178,0.0003
179,0.00035
180,0.0004
181,0.00045
182,0.00035
183,0.0007
184,0.0004
185,0.0004
186,0.00075
187,0.00095
188,0.0011
189,0.0012
190,0.0015
191,0.00185
192,0.0022
193,0.00265
194,0.00285
195,0.00265
196,0.0038
197,0.00355
198,0.0047
199,0.00445
200,0.00605
201,0.0064
202,0.0068
203,0.00705
204,0.00885
205,0.0087
206,0.0093
207,0.01015
208,0.0116
209,0.01265
210,0.0133
211,0.01315
212,0.01585
213,0.0159
214,0.01605
215,0.01875
216,0.01745
217,0.01925
218,0.0189
219,0.02035
220,0.01955
221,0.02145
222,0.02115
223,0.02065
224,0.02285
225,0.0226
226,0.0207
227,0.02255
228,0.02065
229,0.0211
230,0.01995
231,0.0209
232,0.02145
233,0.01955
234,0.02025
235,0.01715
236,0.0164
237,0.0198
238,0.0183
239,0.0166
240,0.01785
241,0.01705
242,0.0146
243,0.01405
244,0.01505
245,0.013
246,0.0138
247,0.01225
248,0.0122
249,0.00945
250,0.01075
251,0.01075
252,0.0095
253,0.0088
254,0.0088
255,0.00805
256,0.0083
257,0.00785
258,0.00625
259,0.00585
260,0.0061
261,0.0049
262,0.00505
263,0.00425
264,0.0048
265,0.0042
266,0.00425
267,0.004
268,0.0025
269,0.0036
270,0.00295
271,0.0026
272,0.00285
273,0.00195
274,0.00205
275,0.0022
276,0.0021
277,0.00125
278,0.00155
279,0.00105
280,0.0011
281,0.00115
282,0.00095
283,0.0006
284,0.00095
285,0.0008
286,0.00135
287,0.0006
288,0.0005
289,0.0006
290,0.00025
291,0.00055
292,0.00025
293,0.00055
294,0.00035
295,0.0001
296,0.00035
297,0.00025
298,0.00015
299,0.00025
300,0.0001
301,5e-05
302,0.00015
304,0.0001
305,0.0001
306,0.0001
308,5e-05
310,5e-05
312,5e-05
314,5e-05
316,5e-05
322,0.0001
324,5e-05
327,5e-05
329,5e-05
